event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod
1;1;1;0;0;0;0;79864746;" 22:11:04.75";" ";0;"";"";
1;1;1;50;2;0;1;32120;"       32.12";" ";31450;"       31.45";" "
1;1;1;50;3;0;2;32530;"       32.53";" ";31630;"       31.63";" "
1;1;1;50;5;0;3;33340;"       33.34";" ";31750;"       31.75";" "
1;1;1;50;6;0;4;33820;"       33.82";" ";31920;"       31.92";" "
1;1;1;50;7;0;5;34330;"       34.33";" ";32100;"       32.10";" "
1;1;1;50;4;0;6;34820;"       34.82";" ";33620;"       33.62";" "
1;1;1;100;2;0;1;64730;"     1:04.73";" ";64060;"     1:04.06";" "
1;1;1;100;3;0;2;65550;"     1:05.55";" ";64650;"     1:04.65";" "
1;1;1;100;5;0;3;66140;"     1:06.14";" ";64550;"     1:04.55";" "
1;1;1;100;6;0;4;67330;"     1:07.33";" ";65430;"     1:05.43";" "
1;1;1;100;4;0;5;68290;"     1:08.29";" ";67090;"     1:07.09";" "
1;1;1;100;7;0;6;69110;"     1:09.11";" ";66870;"     1:06.87";" "
1;1;1;150;2;0;1;97690;"     1:37.69";" ";97020;"     1:37.02";" "
1;1;1;150;6;0;2;98890;"     1:38.89";" ";96980;"     1:36.98";" "
1;1;1;150;5;0;3;99470;"     1:39.47";" ";97880;"     1:37.88";" "
1;1;1;150;3;0;4;100160;"     1:40.16";" ";99260;"     1:39.26";" "
1;1;1;150;4;0;5;100820;"     1:40.82";" ";99620;"     1:39.62";" "
1;1;1;150;7;0;6;101420;"     1:41.42";" ";99180;"     1:39.18";" "
1;1;1;200;4;0;1;129640;"     2:09.64";" ";128440;"     2:08.44";" "
1;1;1;200;6;0;2;130670;"     2:10.67";" ";128770;"     2:08.77";" "
1;1;1;200;3;0;3;131840;"     2:11.84";" ";130940;"     2:10.94";" "
1;1;1;200;5;0;4;132690;"     2:12.69";" ";131100;"     2:11.10";" "
1;1;1;200;2;0;5;133190;"     2:13.19";" ";132520;"     2:12.52";" "
1;1;1;200;7;0;6;134440;"     2:14.44";" ";132210;"     2:12.21";" "
1;1;2;0;0;0;0;80059236;" 22:14:19.24";" ";0;"";"";
1;1;2;50;3;0;1;33350;"       33.35";" ";32880;"       32.88";" "
1;1;2;50;5;0;2;33770;"       33.77";" ";33010;"       33.01";" "
1;1;2;50;6;0;3;37580;"       37.58";" ";36580;"       36.58";" "
1;1;2;50;4;128;4;36870;"       36.87";" ";35620;"       35.62";" "
1;1;2;100;6;0;1;67030;"     1:07.03";" ";66030;"     1:06.03";" "
1;1;2;100;3;0;2;68030;"     1:08.03";" ";67560;"     1:07.56";" "
1;1;2;100;5;0;3;69290;"     1:09.29";" ";68540;"     1:08.54";" "
1;1;2;100;4;128;4;71780;"     1:11.78";" ";70530;"     1:10.53";" "
1;1;2;150;5;0;1;103320;"     1:43.32";"B";102570;"     1:42.57";"B"
1;1;2;150;3;0;2;102620;"     1:42.62";" ";102150;"     1:42.15";" "
1;1;2;150;6;0;3;106400;"     1:46.40";" ";105400;"     1:45.40";" "
1;1;2;150;4;128;4;105420;"     1:45.42";" ";104170;"     1:44.17";" "
1;1;2;200;3;0;1;137340;"     2:17.34";" ";136870;"     2:16.87";" "
1;1;2;200;5;0;2;142270;"     2:22.27";" ";141520;"     2:21.52";" "
1;1;2;200;6;0;3;144140;"     2:24.14";" ";143130;"     2:23.13";" "
1;1;2;200;4;128;4;139890;"     2:19.89";" ";138640;"     2:18.64";" "
