event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
401 ;0 ;0 ;0 ;0 ;0 ;0 ;2915650 ;"    48:35.65" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;50 ;3 ;0 ;1 ;40840 ;"       40.84" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;50 ;2 ;0 ;2 ;41990 ;"       41.99" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;50 ;4 ;0 ;3 ;42500 ;"       42.50" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;100 ;3 ;0 ;1 ;87900 ;"     1:27.90" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;100 ;2 ;0 ;2 ;88390 ;"     1:28.39" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;100 ;4 ;0 ;3 ;90700 ;"     1:30.70" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;150 ;3 ;0 ;1 ;134440 ;"     2:14.44" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;150 ;2 ;0 ;2 ;136020 ;"     2:16.02" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;150 ;4 ;0 ;3 ;138280 ;"     2:18.28" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;200 ;3 ;0 ;1 ;181250 ;"     3:01.25" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;200 ;2 ;0 ;2 ;183980 ;"     3:03.98" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;200 ;4 ;0 ;3 ;187150 ;"     3:07.15" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
401 ;0 ;0 ;250 ;3 ;0 ;1 ;229410 ;"     3:49.41" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
