event; round;heat;lane;relais;idBib;
703 ;0 ;0 ;1 ;0 ;127 ;
703 ;0 ;0 ;2 ;0 ;20 ;
703 ;0 ;0 ;3 ;0 ;107 ;
703 ;0 ;0 ;4 ;0 ;63 ;
703 ;0 ;0 ;5 ;0 ;44 ;
703 ;0 ;1 ;1 ;0 ;111 ;
703 ;0 ;1 ;2 ;0 ;120 ;
703 ;0 ;1 ;3 ;0 ;92 ;
703 ;0 ;1 ;4 ;0 ;18 ;
703 ;0 ;1 ;5 ;0 ;33 ;
703 ;0 ;2 ;1 ;0 ;129 ;
703 ;0 ;2 ;2 ;0 ;70 ;
703 ;0 ;2 ;3 ;0 ;28 ;
703 ;0 ;2 ;4 ;0 ;26 ;
703 ;0 ;2 ;5 ;0 ;81 ;
703 ;0 ;2 ;6 ;0 ;27 ;
703 ;0 ;3 ;1 ;0 ;134 ;
703 ;0 ;3 ;2 ;0 ;83 ;
703 ;0 ;3 ;3 ;0 ;87 ;
703 ;0 ;3 ;4 ;0 ;21 ;
703 ;0 ;3 ;5 ;0 ;16 ;
703 ;0 ;3 ;6 ;0 ;17 ;
704 ;0 ;0 ;1 ;0 ;29 ;
704 ;0 ;0 ;2 ;0 ;121 ;
704 ;0 ;0 ;3 ;0 ;110 ;
704 ;0 ;0 ;4 ;0 ;116 ;
704 ;0 ;0 ;5 ;0 ;113 ;
704 ;0 ;0 ;6 ;0 ;23 ;
704 ;0 ;1 ;1 ;0 ;36 ;
704 ;0 ;1 ;2 ;0 ;85 ;
704 ;0 ;1 ;3 ;0 ;1 ;
704 ;0 ;1 ;4 ;0 ;86 ;
704 ;0 ;1 ;5 ;0 ;103 ;
704 ;0 ;1 ;6 ;0 ;102 ;
705 ;0 ;0 ;2 ;0 ;105 ;
705 ;0 ;0 ;3 ;0 ;6 ;
705 ;0 ;0 ;4 ;0 ;93 ;
705 ;0 ;1 ;2 ;0 ;24 ;
705 ;0 ;1 ;3 ;0 ;77 ;
705 ;0 ;1 ;4 ;0 ;37 ;
705 ;0 ;1 ;5 ;0 ;35 ;
705 ;0 ;2 ;1 ;0 ;96 ;
705 ;0 ;2 ;2 ;0 ;7 ;
705 ;0 ;2 ;3 ;0 ;13 ;
705 ;0 ;2 ;4 ;0 ;15 ;
705 ;0 ;2 ;5 ;0 ;31 ;
705 ;0 ;2 ;6 ;0 ;78 ;
706 ;0 ;0 ;1 ;0 ;8 ;
706 ;0 ;0 ;2 ;0 ;84 ;
706 ;0 ;0 ;3 ;0 ;79 ;
706 ;0 ;0 ;4 ;0 ;80 ;
706 ;0 ;0 ;5 ;0 ;32 ;
707 ;0 ;0 ;2 ;0 ;69 ;
707 ;0 ;0 ;3 ;0 ;11 ;
707 ;0 ;0 ;4 ;0 ;65 ;
707 ;0 ;0 ;5 ;0 ;57 ;
707 ;0 ;1 ;2 ;0 ;12 ;
707 ;0 ;1 ;3 ;0 ;59 ;
707 ;0 ;1 ;4 ;0 ;124 ;
707 ;0 ;1 ;5 ;0 ;97 ;
708 ;0 ;0 ;2 ;0 ;51 ;
708 ;0 ;0 ;3 ;0 ;91 ;
708 ;0 ;0 ;4 ;0 ;2 ;
709 ;0 ;0 ;1 ;0 ;54 ;
709 ;0 ;0 ;2 ;0 ;50 ;
709 ;0 ;0 ;3 ;0 ;52 ;
709 ;0 ;0 ;4 ;0 ;133 ;
709 ;0 ;0 ;5 ;0 ;38 ;
709 ;0 ;1 ;1 ;0 ;41 ;
709 ;0 ;1 ;2 ;0 ;40 ;
709 ;0 ;1 ;3 ;0 ;98 ;
709 ;0 ;1 ;4 ;0 ;46 ;
709 ;0 ;1 ;5 ;0 ;4 ;
709 ;0 ;2 ;1 ;0 ;3 ;
709 ;0 ;2 ;2 ;0 ;64 ;
709 ;0 ;2 ;3 ;0 ;127 ;
709 ;0 ;2 ;4 ;0 ;39 ;
709 ;0 ;2 ;5 ;0 ;75 ;
709 ;0 ;2 ;6 ;0 ;123 ;
709 ;0 ;3 ;1 ;0 ;62 ;
709 ;0 ;3 ;2 ;0 ;112 ;
709 ;0 ;3 ;3 ;0 ;63 ;
709 ;0 ;3 ;4 ;0 ;20 ;
709 ;0 ;3 ;5 ;0 ;95 ;
709 ;0 ;3 ;6 ;0 ;92 ;
709 ;0 ;4 ;1 ;0 ;72 ;
709 ;0 ;4 ;2 ;0 ;27 ;
709 ;0 ;4 ;3 ;0 ;109 ;
709 ;0 ;4 ;4 ;0 ;129 ;
709 ;0 ;4 ;5 ;0 ;26 ;
709 ;0 ;4 ;6 ;0 ;90 ;
709 ;0 ;5 ;1 ;0 ;28 ;
709 ;0 ;5 ;2 ;0 ;33 ;
709 ;0 ;5 ;3 ;0 ;120 ;
709 ;0 ;5 ;4 ;0 ;18 ;
709 ;0 ;5 ;5 ;0 ;25 ;
709 ;0 ;5 ;6 ;0 ;70 ;
709 ;0 ;6 ;1 ;0 ;134 ;
709 ;0 ;6 ;2 ;0 ;83 ;
709 ;0 ;6 ;3 ;0 ;87 ;
709 ;0 ;6 ;4 ;0 ;21 ;
709 ;0 ;6 ;5 ;0 ;17 ;
709 ;0 ;6 ;6 ;0 ;126 ;
710 ;0 ;0 ;1 ;0 ;45 ;
710 ;0 ;0 ;2 ;0 ;74 ;
710 ;0 ;0 ;3 ;0 ;10 ;
710 ;0 ;0 ;4 ;0 ;66 ;
710 ;0 ;0 ;5 ;0 ;60 ;
710 ;0 ;0 ;6 ;0 ;116 ;
710 ;0 ;1 ;1 ;0 ;19 ;
710 ;0 ;1 ;2 ;0 ;61 ;
710 ;0 ;1 ;3 ;0 ;122 ;
710 ;0 ;1 ;4 ;0 ;113 ;
710 ;0 ;1 ;5 ;0 ;49 ;
710 ;0 ;1 ;6 ;0 ;29 ;
710 ;0 ;2 ;1 ;0 ;104 ;
710 ;0 ;2 ;2 ;0 ;58 ;
710 ;0 ;2 ;3 ;0 ;67 ;
710 ;0 ;2 ;4 ;0 ;103 ;
710 ;0 ;2 ;5 ;0 ;68 ;
710 ;0 ;2 ;6 ;0 ;23 ;
710 ;0 ;3 ;1 ;0 ;101 ;
710 ;0 ;3 ;2 ;0 ;121 ;
710 ;0 ;3 ;3 ;0 ;85 ;
710 ;0 ;3 ;4 ;0 ;102 ;
710 ;0 ;3 ;5 ;0 ;89 ;
710 ;0 ;3 ;6 ;0 ;110 ;
710 ;0 ;4 ;1 ;0 ;99 ;
710 ;0 ;4 ;2 ;0 ;71 ;
710 ;0 ;4 ;3 ;0 ;100 ;
710 ;0 ;4 ;4 ;0 ;36 ;
710 ;0 ;4 ;5 ;0 ;86 ;
710 ;0 ;4 ;6 ;0 ;1 ;
711 ;0 ;0 ;2 ;0 ;24 ;
711 ;0 ;0 ;3 ;0 ;37 ;
711 ;0 ;0 ;4 ;0 ;14 ;
711 ;0 ;1 ;2 ;0 ;93 ;
711 ;0 ;1 ;3 ;0 ;96 ;
711 ;0 ;1 ;4 ;0 ;13 ;
711 ;0 ;1 ;5 ;0 ;31 ;
711 ;0 ;2 ;1 ;0 ;35 ;
711 ;0 ;2 ;2 ;0 ;15 ;
711 ;0 ;2 ;3 ;0 ;105 ;
711 ;0 ;2 ;4 ;0 ;115 ;
711 ;0 ;2 ;5 ;0 ;6 ;
711 ;0 ;2 ;6 ;0 ;78 ;
712 ;0 ;0 ;2 ;0 ;94 ;
712 ;0 ;0 ;3 ;0 ;119 ;
712 ;0 ;0 ;4 ;0 ;8 ;
712 ;0 ;0 ;5 ;0 ;32 ;
712 ;0 ;1 ;1 ;0 ;22 ;
712 ;0 ;1 ;2 ;0 ;117 ;
712 ;0 ;1 ;3 ;0 ;30 ;
712 ;0 ;1 ;4 ;0 ;114 ;
712 ;0 ;1 ;5 ;0 ;80 ;
713 ;0 ;0 ;1 ;0 ;90 ;
