id;event;round ;heat
1 ;703 ;0 ;0 ;
2 ;703 ;0 ;1 ;
3 ;703 ;0 ;2 ;
4 ;703 ;0 ;3 ;
5 ;704 ;0 ;0 ;
6 ;704 ;0 ;1 ;
7 ;705 ;0 ;0 ;
8 ;705 ;0 ;1 ;
9 ;705 ;0 ;2 ;
10 ;706 ;0 ;0 ;
11 ;707 ;0 ;0 ;
12 ;707 ;0 ;1 ;
13 ;708 ;0 ;0 ;
14 ;708 ;0 ;0 ;
15 ;709 ;0 ;0 ;
16 ;709 ;0 ;1 ;
17 ;709 ;0 ;2 ;
18 ;709 ;0 ;3 ;
19 ;709 ;0 ;4 ;
20 ;709 ;0 ;5 ;
21 ;709 ;0 ;6 ;
22 ;710 ;0 ;0 ;
23 ;710 ;0 ;1 ;
24 ;710 ;0 ;2 ;
25 ;710 ;0 ;3 ;
26 ;710 ;0 ;4 ;
27 ;711 ;0 ;0 ;
28 ;711 ;0 ;1 ;
29 ;711 ;0 ;2 ;
30 ;712 ;0 ;0 ;
31 ;712 ;0 ;1 ;
32 ;713 ;0 ;0 ;
33 ;713 ;0 ;0 ;
34 ;713 ;0 ;1 ;
35 ;713 ;0 ;2 ;
36 ;714 ;0 ;0 ;
37 ;714 ;0 ;0 ;
38 ;714 ;0 ;1 ;
39 ;715 ;0 ;0 ;
40 ;715 ;0 ;1 ;
41 ;715 ;0 ;2 ;
42 ;716 ;0 ;0 ;
43 ;716 ;0 ;1 ;
