event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
999 ;4 ;0 ;0 ;0 ;0 ;0 ;65293880 ;" 18:08:13.88" ;"M" ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;1 ;0 ;2 ;21360 ;"       21.36" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;5 ;0 ;4 ;28570 ;"       28.57" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;0 ;0 ;0 ;0 ;66551890 ;" 18:29:11.89" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;1 ;34220 ;"       34.22" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;1 ;0 ;2 ;34420 ;"       34.42" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;3 ;35450 ;"       35.45" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;6 ;0 ;4 ;35830 ;"       35.83" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;3 ;0 ;5 ;38800 ;"       38.80" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;6 ;40490 ;"       40.49" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;1 ;0 ;1 ;73390 ;"     1:13.39" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;4 ;0 ;2 ;75580 ;"     1:15.58" ;" " ;75630 ;"     1:15.63" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;5 ;0 ;3 ;76330 ;"     1:16.33" ;" " ;76450 ;"     1:16.45" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;6 ;0 ;4 ;78900 ;"     1:18.90" ;" " ;79130 ;"     1:19.13" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;3 ;0 ;5 ;82710 ;"     1:22.71" ;" " ;82910 ;"     1:22.91" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;2 ;0 ;6 ;83790 ;"     1:23.79" ;" " ;83970 ;"     1:23.97" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;66668840 ;" 18:31:08.84" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;5 ;0 ;1 ;30020 ;"       30.02" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;2 ;30430 ;"       30.43" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;6 ;0 ;3 ;31730 ;"       31.73" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;1 ;0 ;4 ;31750 ;"       31.75" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;2 ;0 ;5 ;34460 ;"       34.46" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;6 ;70730 ;"     1:10.73" ;" " ;70870 ;"     1:10.87" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;5 ;0 ;1 ;65450 ;"     1:05.45" ;" " ;65590 ;"     1:05.59" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;4 ;0 ;2 ;66180 ;"     1:06.18" ;" " ;66260 ;"     1:06.26" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;1 ;0 ;3 ;67830 ;"     1:07.83" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;6 ;0 ;4 ;69530 ;"     1:09.53" ;" " ;69720 ;"     1:09.72" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;3 ;0 ;5 ;70730 ;"     1:10.73" ;"E" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;2 ;0 ;6 ;72790 ;"     1:12.79" ;" " ;72900 ;"     1:12.90" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;0 ;0 ;0 ;0 ;66828040 ;" 18:33:48.04" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;3 ;0 ;1 ;31410 ;"       31.41" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;1 ;0 ;2 ;41190 ;"       41.19" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;6 ;0 ;3 ;41320 ;"       41.32" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;5 ;0 ;4 ;42910 ;"       42.91" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;2 ;0 ;5 ;44720 ;"       44.72" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;3 ;0 ;1 ;68330 ;"     1:08.33" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;1 ;0 ;2 ;81690 ;"     1:21.69" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;2 ;0 ;3 ;84180 ;"     1:24.18" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;5 ;0 ;4 ;87030 ;"     1:27.03" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;6 ;0 ;5 ;87220 ;"     1:27.22" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;150 ;3 ;0 ;1 ;106420 ;"     1:46.42" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;150 ;5 ;0 ;2 ;123070 ;"     2:03.07" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;150 ;2 ;0 ;3 ;124670 ;"     2:04.67" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;150 ;1 ;0 ;4 ;125880 ;"     2:05.88" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;150 ;6 ;0 ;5 ;131110 ;"     2:11.11" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;200 ;3 ;0 ;1 ;145380 ;"     2:25.38" ;" " ;145480 ;"     2:25.48" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;200 ;2 ;0 ;2 ;157010 ;"     2:37.01" ;" " ;157120 ;"     2:37.12" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;200 ;1 ;0 ;3 ;158540 ;"     2:38.54" ;"E" ;158540 ;"     2:38.54" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;200 ;5 ;0 ;4 ;161610 ;"     2:41.61" ;" " ;161640 ;"     2:41.64" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;200 ;6 ;0 ;5 ;169540 ;"     2:49.54" ;" " ;169720 ;"     2:49.72" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;0 ;0 ;0 ;0 ;67042610 ;" 18:37:22.61" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;3 ;0 ;1 ;32190 ;"       32.19" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;1 ;0 ;2 ;35230 ;"       35.23" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;6 ;0 ;3 ;37840 ;"       37.84" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;5 ;0 ;4 ;39760 ;"       39.76" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;2 ;0 ;5 ;41080 ;"       41.08" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;100 ;3 ;0 ;1 ;69830 ;"     1:09.83" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;100 ;1 ;0 ;2 ;72930 ;"     1:12.93" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
