event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
1 ;0 ;2 ;0 ;0 ;0 ;0 ;36269410 ;" 10:04:29.41" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;0 ;8 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;8 ;0 ;1 ;23710 ;"       23.71" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;4 ;0 ;2 ;34680 ;"       34.68" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;5 ;0 ;3 ;36700 ;"       36.70" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;2 ;0 ;4 ;39320 ;"       39.32" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;6 ;0 ;5 ;40280 ;"       40.28" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;7 ;0 ;6 ;41740 ;"       41.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;3 ;0 ;7 ;44510 ;"       44.51" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;4 ;0 ;1 ;67650 ;"     1:07.65" ;" " ;67770 ;"     1:07.77" ;" " ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;2 ;0 ;2 ;72180 ;"     1:12.18" ;" " ;72300 ;"     1:12.30" ;" " ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;5 ;0 ;3 ;74120 ;"     1:14.12" ;" " ;74090 ;"     1:14.09" ;" " ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;3 ;0 ;4 ;79740 ;"     1:19.74" ;" " ;79810 ;"     1:19.81" ;" " ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;8 ;0 ;5 ;80220 ;"     1:20.22" ;" " ;80280 ;"     1:20.28" ;" " ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;7 ;0 ;6 ;81580 ;"     1:21.58" ;" " ;81530 ;"     1:21.53" ;" " ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;1 ;0 ;7 ;87370 ;"     1:27.37" ;"B" ;87370 ;"     1:27.37" ;"B" ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;6 ;0 ;8 ;92590 ;"     1:32.59" ;" " ;92720 ;"     1:32.72" ;" " ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;36465590 ;" 10:07:45.59" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;6 ;0 ;1 ;32840 ;"       32.84" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;2 ;33230 ;"       33.23" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;7 ;0 ;3 ;38190 ;"       38.19" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;4 ;39240 ;"       39.24" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;5 ;0 ;5 ;44400 ;"       44.40" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;2 ;0 ;6 ;45230 ;"       45.23" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;8 ;0 ;7 ;46610 ;"       46.61" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;6 ;0 ;1 ;64450 ;"     1:04.45" ;" " ;64520 ;"     1:04.52" ;" " ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;3 ;0 ;2 ;65690 ;"     1:05.69" ;" " ;65680 ;"     1:05.68" ;" " ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;4 ;0 ;3 ;75310 ;"     1:15.31" ;" " ;75420 ;"     1:15.42" ;" " ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;7 ;0 ;4 ;75950 ;"     1:15.95" ;" " ;75760 ;"     1:15.76" ;" " ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;2 ;0 ;5 ;77890 ;"     1:17.89" ;" " ;77910 ;"     1:17.91" ;" " ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;5 ;0 ;6 ;80260 ;"     1:20.26" ;" " ;80350 ;"     1:20.35" ;" " ;0 ;"" ;"" ;
1 ;0 ;1 ;0 ;0 ;0 ;0 ;36025110 ;" 10:00:25.11" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;7 ;0 ;1 ;31200 ;"       31.20" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;1 ;0 ;2 ;35370 ;"       35.37" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;5 ;0 ;3 ;36590 ;"       36.59" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;6 ;0 ;4 ;36800 ;"       36.80" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;3 ;0 ;5 ;39250 ;"       39.25" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;2 ;0 ;6 ;74130 ;"     1:14.13" ;" " ;72670 ;"     1:12.67" ;" " ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;4 ;0 ;7 ;80690 ;"     1:20.69" ;" " ;80930 ;"     1:20.93" ;" " ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;1 ;0 ;1 ;69800 ;"     1:09.80" ;" " ;69940 ;"     1:09.94" ;" " ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;5 ;0 ;2 ;71630 ;"     1:11.63" ;" " ;71650 ;"     1:11.65" ;" " ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;2 ;0 ;3 ;74130 ;"     1:14.13" ;"E" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;6 ;0 ;4 ;75390 ;"     1:15.39" ;" " ;75220 ;"     1:15.22" ;" " ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;3 ;0 ;5 ;76020 ;"     1:16.02" ;" " ;76070 ;"     1:16.07" ;" " ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;7 ;0 ;6 ;76140 ;"     1:16.14" ;" " ;76110 ;"     1:16.11" ;" " ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;4 ;0 ;7 ;80690 ;"     1:20.69" ;"E" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;0 ;0 ;0 ;0 ;36615150 ;" 10:10:15.15" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;0 ;6 ;128 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;25 ;6 ;128 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;4 ;0 ;1 ;22640 ;"       22.64" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;7 ;0 ;2 ;23420 ;"       23.42" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;3 ;0 ;3 ;32880 ;"       32.88" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;2 ;0 ;4 ;36540 ;"       36.54" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;5 ;0 ;5 ;37620 ;"       37.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;6 ;128 ;6 ;47060 ;"       47.06" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;75 ;6 ;128 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;3 ;0 ;1 ;65100 ;"     1:05.10" ;"B" ;65100 ;"     1:05.10" ;"B" ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;5 ;0 ;2 ;72930 ;"     1:12.93" ;" " ;72900 ;"     1:12.90" ;" " ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;2 ;0 ;3 ;75150 ;"     1:15.15" ;" " ;75100 ;"     1:15.10" ;" " ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;4 ;0 ;4 ;78060 ;"     1:18.06" ;" " ;78150 ;"     1:18.15" ;" " ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;7 ;0 ;5 ;80730 ;"     1:20.73" ;" " ;80700 ;"     1:20.70" ;" " ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;6 ;128 ;6 ;86930 ;"     1:26.93" ;"B" ;86930 ;"     1:26.93" ;"B" ;0 ;"" ;"" ;
2 ;0 ;2 ;0 ;0 ;0 ;0 ;36844000 ;" 10:14:04.00" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;2 ;0 ;7 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;2 ;0 ;6 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;2 ;50 ;6 ;0 ;1 ;37240 ;"       37.24" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;2 ;50 ;2 ;0 ;2 ;38500 ;"       38.50" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;2 ;50 ;5 ;0 ;3 ;39240 ;"       39.24" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
