event; round;heat;lane;relais;idBib;
201 ;0 ;0 ;1 ;0 ;82 ;
201 ;0 ;0 ;2 ;0 ;190 ;
201 ;0 ;0 ;3 ;0 ;11 ;
201 ;0 ;0 ;4 ;0 ;1 ;
201 ;0 ;0 ;5 ;0 ;139 ;
201 ;0 ;0 ;6 ;0 ;87 ;
201 ;0 ;1 ;1 ;0 ;67 ;
201 ;0 ;1 ;2 ;0 ;185 ;
201 ;0 ;1 ;3 ;0 ;17 ;
201 ;0 ;1 ;4 ;0 ;38 ;
201 ;0 ;1 ;5 ;0 ;33 ;
201 ;0 ;1 ;6 ;0 ;172 ;
201 ;0 ;2 ;1 ;0 ;51 ;
201 ;0 ;2 ;2 ;0 ;113 ;
201 ;0 ;2 ;3 ;0 ;88 ;
201 ;0 ;2 ;4 ;0 ;12 ;
201 ;0 ;2 ;5 ;0 ;102 ;
201 ;0 ;2 ;6 ;0 ;37 ;
201 ;0 ;3 ;1 ;0 ;166 ;
201 ;0 ;3 ;2 ;0 ;152 ;
201 ;0 ;3 ;3 ;0 ;153 ;
201 ;0 ;3 ;4 ;0 ;147 ;
201 ;0 ;3 ;5 ;0 ;56 ;
201 ;0 ;3 ;6 ;0 ;16 ;
201 ;0 ;4 ;1 ;0 ;169 ;
201 ;0 ;4 ;2 ;0 ;122 ;
201 ;0 ;4 ;3 ;0 ;96 ;
201 ;0 ;4 ;4 ;0 ;125 ;
201 ;0 ;4 ;5 ;0 ;6 ;
201 ;0 ;4 ;6 ;0 ;124 ;
201 ;0 ;5 ;1 ;0 ;28 ;
201 ;0 ;5 ;2 ;0 ;36 ;
201 ;0 ;5 ;3 ;0 ;118 ;
201 ;0 ;5 ;4 ;0 ;69 ;
201 ;0 ;5 ;5 ;0 ;9 ;
201 ;0 ;5 ;6 ;0 ;29 ;
204 ;0 ;0 ;1 ;0 ;89 ;
204 ;0 ;0 ;2 ;0 ;180 ;
204 ;0 ;0 ;3 ;0 ;83 ;
204 ;0 ;0 ;4 ;0 ;168 ;
204 ;0 ;0 ;5 ;0 ;179 ;
204 ;0 ;1 ;1 ;0 ;110 ;
204 ;0 ;1 ;2 ;0 ;41 ;
204 ;0 ;1 ;3 ;0 ;135 ;
204 ;0 ;1 ;4 ;0 ;86 ;
204 ;0 ;1 ;5 ;0 ;46 ;
204 ;0 ;2 ;1 ;0 ;14 ;
204 ;0 ;2 ;2 ;0 ;134 ;
204 ;0 ;2 ;3 ;0 ;62 ;
204 ;0 ;2 ;4 ;0 ;138 ;
204 ;0 ;2 ;5 ;0 ;72 ;
204 ;0 ;2 ;6 ;0 ;5 ;
204 ;0 ;3 ;1 ;0 ;73 ;
204 ;0 ;3 ;2 ;0 ;103 ;
204 ;0 ;3 ;3 ;0 ;165 ;
204 ;0 ;3 ;4 ;0 ;85 ;
204 ;0 ;3 ;5 ;0 ;45 ;
204 ;0 ;3 ;6 ;0 ;106 ;
204 ;0 ;4 ;1 ;0 ;24 ;
204 ;0 ;4 ;2 ;0 ;60 ;
204 ;0 ;4 ;3 ;0 ;70 ;
204 ;0 ;4 ;4 ;0 ;140 ;
204 ;0 ;4 ;5 ;0 ;15 ;
204 ;0 ;4 ;6 ;0 ;131 ;
204 ;0 ;5 ;1 ;0 ;132 ;
204 ;0 ;5 ;2 ;0 ;182 ;
204 ;0 ;5 ;3 ;0 ;105 ;
204 ;0 ;5 ;4 ;0 ;7 ;
204 ;0 ;5 ;5 ;0 ;98 ;
204 ;0 ;5 ;6 ;0 ;146 ;
207 ;0 ;0 ;1 ;0 ;82 ;
207 ;0 ;0 ;2 ;0 ;190 ;
207 ;0 ;0 ;3 ;0 ;11 ;
207 ;0 ;0 ;4 ;0 ;1 ;
207 ;0 ;0 ;5 ;0 ;185 ;
207 ;0 ;1 ;1 ;0 ;67 ;
207 ;0 ;1 ;2 ;0 ;17 ;
207 ;0 ;1 ;3 ;0 ;33 ;
207 ;0 ;1 ;4 ;0 ;38 ;
207 ;0 ;1 ;5 ;0 ;29 ;
207 ;0 ;2 ;1 ;0 ;152 ;
207 ;0 ;2 ;2 ;0 ;88 ;
207 ;0 ;2 ;3 ;0 ;166 ;
207 ;0 ;2 ;4 ;0 ;172 ;
207 ;0 ;2 ;5 ;0 ;28 ;
207 ;0 ;2 ;6 ;0 ;37 ;
207 ;0 ;3 ;1 ;0 ;12 ;
207 ;0 ;3 ;2 ;0 ;6 ;
207 ;0 ;3 ;3 ;0 ;169 ;
207 ;0 ;3 ;4 ;0 ;9 ;
207 ;0 ;3 ;5 ;0 ;118 ;
207 ;0 ;3 ;6 ;0 ;69 ;
207 ;0 ;4 ;1 ;0 ;16 ;
207 ;0 ;4 ;2 ;0 ;51 ;
207 ;0 ;4 ;3 ;0 ;153 ;
207 ;0 ;4 ;4 ;0 ;56 ;
207 ;0 ;4 ;5 ;0 ;147 ;
207 ;0 ;4 ;6 ;0 ;113 ;
207 ;0 ;5 ;1 ;0 ;139 ;
207 ;0 ;5 ;2 ;0 ;124 ;
207 ;0 ;5 ;3 ;0 ;96 ;
207 ;0 ;5 ;4 ;0 ;122 ;
207 ;0 ;5 ;5 ;0 ;125 ;
207 ;0 ;5 ;6 ;0 ;102 ;
210 ;0 ;0 ;1 ;0 ;86 ;
210 ;0 ;0 ;2 ;0 ;89 ;
210 ;0 ;0 ;3 ;0 ;168 ;
210 ;0 ;0 ;4 ;0 ;14 ;
210 ;0 ;0 ;5 ;0 ;134 ;
210 ;0 ;1 ;1 ;0 ;106 ;
210 ;0 ;1 ;2 ;0 ;73 ;
210 ;0 ;1 ;3 ;0 ;85 ;
210 ;0 ;1 ;4 ;0 ;46 ;
210 ;0 ;1 ;5 ;0 ;180 ;
210 ;0 ;2 ;1 ;0 ;5 ;
210 ;0 ;2 ;2 ;0 ;62 ;
210 ;0 ;2 ;3 ;0 ;103 ;
210 ;0 ;2 ;4 ;0 ;138 ;
210 ;0 ;2 ;5 ;0 ;165 ;
210 ;0 ;2 ;6 ;0 ;45 ;
210 ;0 ;3 ;1 ;0 ;135 ;
210 ;0 ;3 ;2 ;0 ;24 ;
210 ;0 ;3 ;3 ;0 ;70 ;
210 ;0 ;3 ;4 ;0 ;15 ;
210 ;0 ;3 ;5 ;0 ;140 ;
210 ;0 ;3 ;6 ;0 ;60 ;
210 ;0 ;4 ;1 ;0 ;182 ;
210 ;0 ;4 ;2 ;0 ;98 ;
210 ;0 ;4 ;3 ;0 ;132 ;
210 ;0 ;4 ;4 ;0 ;7 ;
210 ;0 ;4 ;5 ;0 ;105 ;
210 ;0 ;4 ;6 ;0 ;146 ;
213 ;0 ;0 ;1 ;0 ;82 ;
213 ;0 ;0 ;2 ;0 ;185 ;
213 ;0 ;0 ;3 ;0 ;11 ;
213 ;0 ;0 ;4 ;0 ;1 ;
213 ;0 ;0 ;5 ;0 ;87 ;
213 ;0 ;1 ;1 ;0 ;38 ;
213 ;0 ;1 ;2 ;0 ;67 ;
213 ;0 ;1 ;3 ;0 ;172 ;
213 ;0 ;1 ;4 ;0 ;17 ;
213 ;0 ;1 ;5 ;0 ;16 ;
213 ;0 ;1 ;6 ;0 ;56 ;
213 ;0 ;2 ;1 ;0 ;152 ;
213 ;0 ;2 ;2 ;0 ;88 ;
213 ;0 ;2 ;3 ;0 ;124 ;
213 ;0 ;2 ;4 ;0 ;125 ;
213 ;0 ;2 ;5 ;0 ;169 ;
213 ;0 ;2 ;6 ;0 ;37 ;
213 ;0 ;3 ;1 ;0 ;166 ;
213 ;0 ;3 ;2 ;0 ;33 ;
213 ;0 ;3 ;3 ;0 ;153 ;
