id;event;round ;heat
1 ;101 ;0 ;0 ;
2 ;101 ;0 ;1 ;
3 ;101 ;0 ;2 ;
4 ;101 ;0 ;3 ;
5 ;101 ;0 ;4 ;
6 ;101 ;0 ;5 ;
7 ;101 ;0 ;6 ;
8 ;101 ;0 ;7 ;
9 ;101 ;0 ;8 ;
10 ;101 ;0 ;9 ;
11 ;103 ;0 ;0 ;
12 ;103 ;0 ;1 ;
13 ;103 ;0 ;2 ;
14 ;103 ;0 ;3 ;
15 ;103 ;0 ;4 ;
16 ;103 ;0 ;5 ;
17 ;103 ;0 ;6 ;
18 ;103 ;0 ;7 ;
19 ;103 ;0 ;8 ;
20 ;105 ;0 ;0 ;
21 ;105 ;0 ;1 ;
22 ;105 ;0 ;2 ;
23 ;105 ;0 ;3 ;
24 ;105 ;0 ;4 ;
25 ;105 ;0 ;5 ;
26 ;105 ;0 ;6 ;
27 ;105 ;0 ;7 ;
28 ;105 ;0 ;8 ;
29 ;105 ;0 ;9 ;
30 ;107 ;0 ;0 ;
31 ;107 ;0 ;1 ;
32 ;107 ;0 ;2 ;
33 ;107 ;0 ;3 ;
34 ;107 ;0 ;4 ;
35 ;107 ;0 ;5 ;
36 ;107 ;0 ;6 ;
37 ;107 ;0 ;5 ;
38 ;107 ;0 ;7 ;
39 ;109 ;0 ;0 ;
40 ;109 ;0 ;1 ;
41 ;109 ;0 ;2 ;
42 ;109 ;0 ;3 ;
43 ;109 ;0 ;4 ;
44 ;109 ;0 ;5 ;
45 ;109 ;0 ;6 ;
46 ;109 ;0 ;7 ;
47 ;109 ;0 ;8 ;
48 ;109 ;0 ;9 ;
49 ;111 ;0 ;0 ;
50 ;111 ;0 ;1 ;
51 ;111 ;0 ;2 ;
52 ;111 ;0 ;3 ;
53 ;111 ;0 ;4 ;
54 ;111 ;0 ;5 ;
55 ;111 ;0 ;6 ;
56 ;111 ;0 ;7 ;
57 ;111 ;0 ;8 ;
58 ;113 ;0 ;0 ;
59 ;113 ;0 ;1 ;
60 ;113 ;0 ;2 ;
61 ;113 ;0 ;3 ;
62 ;113 ;0 ;4 ;
63 ;113 ;0 ;5 ;
64 ;113 ;0 ;6 ;
65 ;113 ;0 ;7 ;
66 ;113 ;0 ;8 ;
67 ;115 ;0 ;0 ;
68 ;115 ;0 ;1 ;
69 ;115 ;0 ;2 ;
70 ;115 ;0 ;3 ;
71 ;115 ;0 ;4 ;
72 ;115 ;0 ;5 ;
73 ;115 ;0 ;6 ;
74 ;115 ;0 ;7 ;
75 ;115 ;0 ;8 ;
76 ;201 ;0 ;0 ;
77 ;201 ;0 ;1 ;
78 ;201 ;0 ;2 ;
79 ;201 ;0 ;3 ;
80 ;201 ;0 ;4 ;
81 ;201 ;0 ;5 ;
82 ;204 ;0 ;0 ;
83 ;204 ;0 ;1 ;
84 ;204 ;0 ;2 ;
85 ;204 ;0 ;3 ;
86 ;204 ;0 ;4 ;
87 ;204 ;0 ;5 ;
88 ;207 ;0 ;0 ;
89 ;207 ;0 ;1 ;
90 ;207 ;0 ;2 ;
91 ;207 ;0 ;3 ;
92 ;207 ;0 ;4 ;
93 ;207 ;0 ;5 ;
94 ;210 ;0 ;0 ;
95 ;210 ;0 ;1 ;
96 ;210 ;0 ;2 ;
97 ;210 ;0 ;3 ;
98 ;210 ;0 ;3 ;
99 ;210 ;0 ;4 ;
100 ;213 ;0 ;0 ;
101 ;213 ;0 ;1 ;
102 ;213 ;0 ;2 ;
103 ;213 ;0 ;3 ;
104 ;213 ;0 ;4 ;
105 ;213 ;0 ;5 ;
106 ;216 ;0 ;0 ;
107 ;216 ;0 ;1 ;
108 ;216 ;0 ;2 ;
109 ;216 ;0 ;3 ;
110 ;216 ;0 ;4 ;
111 ;216 ;0 ;5 ;
112 ;219 ;0 ;0 ;
113 ;219 ;0 ;1 ;
114 ;219 ;0 ;2 ;
115 ;219 ;0 ;3 ;
116 ;219 ;0 ;4 ;
117 ;222 ;0 ;0 ;
118 ;222 ;0 ;1 ;
119 ;222 ;0 ;2 ;
120 ;222 ;0 ;3 ;
121 ;222 ;0 ;4 ;
122 ;333 ;0 ;0 ;
123 ;333 ;0 ;1 ;
124 ;333 ;0 ;2 ;
125 ;333 ;0 ;3 ;
126 ;333 ;0 ;4 ;
127 ;333 ;0 ;5 ;
128 ;333 ;0 ;6 ;
129 ;333 ;0 ;7 ;
130 ;333 ;0 ;8 ;
131 ;333 ;0 ;9 ;
