event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
999 ;4 ;0 ;0 ;0 ;0 ;0 ;35075030 ;"  9:44:35.03" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;5 ;0 ;2 ;63150 ;"     1:03.15" ;" " ;63210 ;"     1:03.21" ;"A" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;3 ;0 ;4 ;74250 ;"     1:14.25" ;" " ;74310 ;"     1:14.31" ;"A" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;1 ;0 ;6 ;81830 ;"     1:21.83" ;" " ;81860 ;"     1:21.86" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;1 ;0 ;1 ;45410 ;"       45.41" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;2 ;46240 ;"       46.24" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;3 ;48280 ;"       48.28" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;3 ;0 ;4 ;49440 ;"       49.44" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;5 ;51640 ;"       51.64" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;2 ;0 ;1 ;96550 ;"     1:36.55" ;" " ;96690 ;"     1:36.69" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;5 ;0 ;2 ;97340 ;"     1:37.34" ;" " ;97560 ;"     1:37.56" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;1 ;0 ;3 ;98140 ;"     1:38.14" ;" " ;98240 ;"     1:38.24" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;3 ;0 ;4 ;99990 ;"     1:39.99" ;" " ;100150 ;"     1:40.15" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;4 ;0 ;5 ;100480 ;"     1:40.48" ;"E" ;100480 ;"     1:40.48" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;0 ;0 ;0 ;0 ;40642490 ;" 11:17:22.49" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;5 ;0 ;1 ;34560 ;"       34.56" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;6 ;0 ;2 ;38760 ;"       38.76" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;4 ;0 ;3 ;39810 ;"       39.81" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;1 ;0 ;4 ;40430 ;"       40.43" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;2 ;0 ;5 ;41360 ;"       41.36" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;3 ;0 ;6 ;42530 ;"       42.53" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;5 ;0 ;1 ;76270 ;"     1:16.27" ;" " ;76340 ;"     1:16.34" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;6 ;0 ;2 ;83380 ;"     1:23.38" ;" " ;83520 ;"     1:23.52" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;4 ;0 ;3 ;86520 ;"     1:26.52" ;" " ;86620 ;"     1:26.62" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;3 ;0 ;4 ;87790 ;"     1:27.79" ;" " ;87890 ;"     1:27.89" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;1 ;0 ;5 ;89340 ;"     1:29.34" ;" " ;89390 ;"     1:29.39" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;2 ;0 ;6 ;90300 ;"     1:30.30" ;" " ;90310 ;"     1:30.31" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;0 ;0 ;0 ;0 ;40758990 ;" 11:19:18.99" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;6 ;0 ;1 ;36820 ;"       36.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;5 ;0 ;2 ;37050 ;"       37.05" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;3 ;0 ;3 ;37080 ;"       37.08" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;4 ;0 ;4 ;39190 ;"       39.19" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;1 ;0 ;5 ;39380 ;"       39.38" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;50 ;2 ;0 ;6 ;40500 ;"       40.50" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;6 ;0 ;1 ;80310 ;"     1:20.31" ;" " ;80470 ;"     1:20.47" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;5 ;0 ;2 ;80360 ;"     1:20.36" ;" " ;80480 ;"     1:20.48" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;3 ;0 ;3 ;80470 ;"     1:20.47" ;" " ;80680 ;"     1:20.68" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;1 ;0 ;4 ;84860 ;"     1:24.86" ;" " ;84840 ;"     1:24.84" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;4 ;0 ;5 ;84920 ;"     1:24.92" ;" " ;85000 ;"     1:25.00" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;100 ;2 ;0 ;6 ;87220 ;"     1:27.22" ;" " ;87290 ;"     1:27.29" ;"A" ;0 ;"" ;"" ;
1 ;0 ;3 ;0 ;0 ;0 ;0 ;40878320 ;" 11:21:18.32" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;3 ;50 ;3 ;0 ;1 ;33230 ;"       33.23" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;3 ;50 ;2 ;0 ;2 ;35380 ;"       35.38" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;3 ;50 ;4 ;0 ;3 ;36000 ;"       36.00" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;3 ;50 ;1 ;0 ;4 ;36740 ;"       36.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;3 ;50 ;6 ;0 ;5 ;37590 ;"       37.59" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;3 ;50 ;5 ;0 ;6 ;38600 ;"       38.60" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;3 ;100 ;3 ;0 ;1 ;71910 ;"     1:11.91" ;" " ;71960 ;"     1:11.96" ;"A" ;0 ;"" ;"" ;
1 ;0 ;3 ;100 ;4 ;0 ;2 ;75690 ;"     1:15.69" ;" " ;75830 ;"     1:15.83" ;"A" ;0 ;"" ;"" ;
1 ;0 ;3 ;100 ;2 ;0 ;3 ;75910 ;"     1:15.91" ;" " ;76010 ;"     1:16.01" ;"A" ;0 ;"" ;"" ;
1 ;0 ;3 ;100 ;1 ;0 ;4 ;77980 ;"     1:17.98" ;" " ;77950 ;"     1:17.95" ;"A" ;0 ;"" ;"" ;
1 ;0 ;3 ;100 ;6 ;0 ;5 ;80440 ;"     1:20.44" ;" " ;80390 ;"     1:20.39" ;"A" ;0 ;"" ;"" ;
1 ;0 ;3 ;100 ;5 ;0 ;6 ;81390 ;"     1:21.39" ;" " ;81460 ;"     1:21.46" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;41064440 ;" 11:24:24.44" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;1 ;0 ;1 ;41830 ;"       41.83" ;" " ;41720 ;"       41.72" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;5 ;0 ;2 ;52890 ;"       52.89" ;" " ;52910 ;"       52.91" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;3 ;58690 ;"       58.69" ;" " ;58740 ;"       58.74" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;4 ;64350 ;"     1:04.35" ;" " ;64460 ;"     1:04.46" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;2 ;0 ;5 ;68200 ;"     1:08.20" ;" " ;68290 ;"     1:08.29" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;0 ;0 ;0 ;0 ;41164840 ;" 11:26:04.84" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;5 ;0 ;1 ;46470 ;"       46.47" ;" " ;46600 ;"       46.60" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;4 ;0 ;2 ;46850 ;"       46.85" ;" " ;46850 ;"       46.85" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;3 ;0 ;3 ;48010 ;"       48.01" ;" " ;48060 ;"       48.06" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;2 ;0 ;4 ;50950 ;"       50.95" ;" " ;51020 ;"       51.02" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;1 ;0 ;5 ;55500 ;"       55.50" ;" " ;55540 ;"       55.54" ;"A" ;0 ;"" ;"" ;
2 ;0 ;2 ;0 ;0 ;0 ;0 ;41267550 ;" 11:27:47.55" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;2 ;50 ;5 ;0 ;1 ;38050 ;"       38.05" ;" " ;38060 ;"       38.06" ;"A" ;0 ;"" ;"" ;
2 ;0 ;2 ;50 ;6 ;0 ;2 ;41720 ;"       41.72" ;" " ;41630 ;"       41.63" ;"A" ;0 ;"" ;"" ;
2 ;0 ;2 ;50 ;1 ;0 ;3 ;43750 ;"       43.75" ;" " ;43820 ;"       43.82" ;"A" ;0 ;"" ;"" ;
2 ;0 ;2 ;50 ;4 ;0 ;4 ;44050 ;"       44.05" ;" " ;44120 ;"       44.12" ;"A" ;0 ;"" ;"" ;
2 ;0 ;2 ;50 ;2 ;0 ;5 ;45390 ;"       45.39" ;" " ;45460 ;"       45.46" ;"A" ;0 ;"" ;"" ;
2 ;0 ;2 ;50 ;3 ;0 ;6 ;46740 ;"       46.74" ;" " ;46920 ;"       46.92" ;"A" ;0 ;"" ;"" ;
2 ;0 ;3 ;0 ;0 ;0 ;0 ;41360990 ;" 11:29:20.99" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;3 ;50 ;6 ;0 ;1 ;39860 ;"       39.86" ;" " ;40020 ;"       40.02" ;"A" ;0 ;"" ;"" ;
2 ;0 ;3 ;50 ;3 ;0 ;2 ;40160 ;"       40.16" ;" " ;40310 ;"       40.31" ;"A" ;0 ;"" ;"" ;
2 ;0 ;3 ;50 ;5 ;0 ;3 ;40730 ;"       40.73" ;" " ;40840 ;"       40.84" ;"A" ;0 ;"" ;"" ;
