event; round;heat;lane;relais;idBib;
15 ;0 ;0 ;2 ;0 ;127 ;
15 ;0 ;0 ;3 ;0 ;147 ;
15 ;0 ;0 ;4 ;0 ;145 ;
15 ;0 ;0 ;5 ;0 ;60 ;
16 ;0 ;0 ;2 ;0 ;3 ;
16 ;0 ;0 ;3 ;0 ;124 ;
16 ;0 ;0 ;4 ;0 ;47 ;
18 ;0 ;0 ;3 ;0 ;141 ;
18 ;0 ;0 ;4 ;0 ;61 ;
19 ;0 ;0 ;1 ;0 ;21 ;
19 ;0 ;0 ;2 ;0 ;133 ;
19 ;0 ;0 ;3 ;0 ;106 ;
19 ;0 ;0 ;4 ;0 ;48 ;
19 ;0 ;0 ;5 ;0 ;112 ;
19 ;0 ;1 ;1 ;0 ;93 ;
19 ;0 ;1 ;2 ;0 ;19 ;
19 ;0 ;1 ;3 ;0 ;108 ;
19 ;0 ;1 ;4 ;0 ;136 ;
19 ;0 ;1 ;5 ;0 ;74 ;
19 ;0 ;2 ;1 ;0 ;117 ;
19 ;0 ;2 ;2 ;0 ;89 ;
19 ;0 ;2 ;3 ;0 ;41 ;
19 ;0 ;2 ;4 ;0 ;135 ;
19 ;0 ;2 ;5 ;0 ;64 ;
19 ;0 ;2 ;6 ;0 ;23 ;
19 ;0 ;3 ;1 ;0 ;27 ;
19 ;0 ;3 ;2 ;0 ;50 ;
19 ;0 ;3 ;3 ;0 ;62 ;
19 ;0 ;3 ;4 ;0 ;57 ;
19 ;0 ;3 ;5 ;0 ;129 ;
19 ;0 ;3 ;6 ;0 ;82 ;
20 ;0 ;0 ;1 ;0 ;103 ;
20 ;0 ;0 ;2 ;0 ;92 ;
20 ;0 ;0 ;3 ;0 ;8 ;
20 ;0 ;0 ;4 ;0 ;51 ;
20 ;0 ;0 ;5 ;0 ;55 ;
20 ;0 ;0 ;6 ;0 ;94 ;
20 ;0 ;1 ;1 ;0 ;32 ;
20 ;0 ;1 ;2 ;0 ;38 ;
20 ;0 ;1 ;3 ;0 ;53 ;
20 ;0 ;1 ;4 ;0 ;132 ;
20 ;0 ;1 ;5 ;0 ;84 ;
20 ;0 ;1 ;6 ;0 ;138 ;
20 ;0 ;2 ;1 ;0 ;36 ;
20 ;0 ;2 ;2 ;0 ;97 ;
20 ;0 ;2 ;3 ;0 ;1 ;
20 ;0 ;2 ;4 ;0 ;114 ;
20 ;0 ;2 ;5 ;0 ;72 ;
20 ;0 ;2 ;6 ;0 ;70 ;
20 ;0 ;3 ;1 ;0 ;40 ;
20 ;0 ;3 ;2 ;0 ;137 ;
20 ;0 ;3 ;3 ;0 ;56 ;
20 ;0 ;3 ;4 ;0 ;91 ;
20 ;0 ;3 ;5 ;0 ;121 ;
20 ;0 ;3 ;6 ;0 ;30 ;
20 ;0 ;4 ;1 ;0 ;24 ;
20 ;0 ;4 ;2 ;0 ;85 ;
20 ;0 ;4 ;3 ;0 ;75 ;
20 ;0 ;4 ;4 ;0 ;99 ;
20 ;0 ;4 ;5 ;0 ;29 ;
20 ;0 ;4 ;6 ;0 ;43 ;
20 ;0 ;5 ;1 ;0 ;88 ;
20 ;0 ;5 ;2 ;0 ;105 ;
20 ;0 ;5 ;3 ;0 ;49 ;
20 ;0 ;5 ;4 ;0 ;45 ;
20 ;0 ;5 ;5 ;0 ;122 ;
20 ;0 ;5 ;6 ;0 ;39 ;
20 ;0 ;6 ;1 ;0 ;10 ;
20 ;0 ;6 ;2 ;0 ;76 ;
20 ;0 ;6 ;3 ;0 ;14 ;
20 ;0 ;6 ;4 ;0 ;20 ;
20 ;0 ;6 ;5 ;0 ;6 ;
20 ;0 ;6 ;6 ;0 ;77 ;
20 ;0 ;7 ;1 ;0 ;16 ;
20 ;0 ;7 ;2 ;0 ;73 ;
20 ;0 ;7 ;3 ;0 ;63 ;
20 ;0 ;7 ;4 ;0 ;11 ;
20 ;0 ;7 ;5 ;0 ;28 ;
20 ;0 ;7 ;6 ;0 ;9 ;
20 ;0 ;8 ;1 ;0 ;42 ;
20 ;0 ;8 ;2 ;0 ;87 ;
20 ;0 ;8 ;3 ;0 ;101 ;
20 ;0 ;8 ;4 ;0 ;119 ;
20 ;0 ;8 ;5 ;0 ;104 ;
20 ;0 ;8 ;6 ;0 ;90 ;
21 ;0 ;0 ;2 ;0 ;2 ;
21 ;0 ;0 ;3 ;0 ;46 ;
21 ;0 ;0 ;4 ;0 ;58 ;
21 ;0 ;0 ;5 ;0 ;125 ;
21 ;0 ;1 ;2 ;0 ;143 ;
21 ;0 ;1 ;3 ;0 ;148 ;
21 ;0 ;1 ;4 ;0 ;146 ;
21 ;0 ;1 ;5 ;0 ;126 ;
22 ;0 ;0 ;2 ;0 ;59 ;
22 ;0 ;0 ;3 ;0 ;142 ;
22 ;0 ;0 ;4 ;0 ;123 ;
23 ;0 ;0 ;1 ;0 ;21 ;
23 ;0 ;0 ;2 ;0 ;107 ;
23 ;0 ;0 ;3 ;0 ;100 ;
23 ;0 ;0 ;4 ;0 ;106 ;
23 ;0 ;0 ;5 ;0 ;112 ;
23 ;0 ;1 ;1 ;0 ;19 ;
23 ;0 ;1 ;2 ;0 ;118 ;
23 ;0 ;1 ;3 ;0 ;133 ;
