id;event;round ;heat
1 ;11 ;0 ;0 ;
2 ;12 ;0 ;0 ;
3 ;13 ;0 ;0 ;
4 ;13 ;0 ;1 ;
5 ;13 ;0 ;2 ;
6 ;13 ;0 ;3 ;
7 ;13 ;0 ;4 ;
8 ;14 ;0 ;0 ;
9 ;14 ;0 ;1 ;
10 ;14 ;0 ;2 ;
11 ;14 ;0 ;3 ;
12 ;14 ;0 ;4 ;
13 ;14 ;0 ;5 ;
14 ;14 ;0 ;6 ;
15 ;14 ;0 ;7 ;
16 ;14 ;0 ;8 ;
17 ;15 ;0 ;0 ;
18 ;16 ;0 ;0 ;
19 ;18 ;0 ;0 ;
20 ;19 ;0 ;0 ;
21 ;19 ;0 ;0 ;
22 ;19 ;0 ;1 ;
23 ;19 ;0 ;2 ;
24 ;19 ;0 ;3 ;
25 ;20 ;0 ;0 ;
26 ;20 ;0 ;1 ;
27 ;20 ;0 ;2 ;
28 ;20 ;0 ;3 ;
29 ;20 ;0 ;4 ;
30 ;20 ;0 ;5 ;
31 ;20 ;0 ;6 ;
32 ;20 ;0 ;7 ;
33 ;20 ;0 ;8 ;
34 ;22 ;0 ;0 ;
35 ;21 ;0 ;0 ;
36 ;21 ;0 ;1 ;
37 ;22 ;0 ;0 ;
38 ;23 ;0 ;0 ;
39 ;23 ;0 ;1 ;
40 ;23 ;0 ;2 ;
41 ;23 ;0 ;3 ;
42 ;24 ;0 ;0 ;
43 ;24 ;0 ;1 ;
44 ;24 ;0 ;2 ;
45 ;24 ;0 ;3 ;
46 ;24 ;0 ;4 ;
47 ;24 ;0 ;5 ;
48 ;24 ;0 ;6 ;
49 ;25 ;0 ;0 ;
50 ;25 ;0 ;0 ;
51 ;26 ;0 ;0 ;
52 ;28 ;0 ;0 ;
