event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
1 ;0 ;0 ;0 ;0 ;0 ;0 ;50159550 ;" 13:55:59.55" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;1 ;32370 ;"       32.37" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;3 ;0 ;2 ;35110 ;"       35.11" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;3 ;35580 ;"       35.58" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;7 ;0 ;4 ;35800 ;"       35.80" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;1 ;0 ;5 ;38560 ;"       38.56" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;6 ;39200 ;"       39.20" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;8 ;0 ;0 ;0 ;"" ;"" ;73160 ;"     1:13.16" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;4 ;0 ;1 ;64490 ;"     1:04.49" ;" " ;64420 ;"     1:04.42" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;3 ;0 ;2 ;67920 ;"     1:07.92" ;" " ;67880 ;"     1:07.88" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;5 ;0 ;3 ;70100 ;"     1:10.10" ;" " ;70040 ;"     1:10.04" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;6 ;0 ;4 ;71640 ;"     1:11.64" ;" " ;71740 ;"     1:11.74" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;7 ;0 ;5 ;73160 ;"     1:13.16" ;" " ;73260 ;"     1:13.26" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;1 ;0 ;6 ;76060 ;"     1:16.06" ;"E" ;76060 ;"     1:16.06" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;2 ;0 ;7 ;76500 ;"     1:16.50" ;" " ;76730 ;"     1:16.73" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;0 ;0 ;0 ;0 ;50327470 ;" 13:58:47.47" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;4 ;0 ;1 ;32830 ;"       32.83" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;5 ;0 ;2 ;33980 ;"       33.98" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;3 ;0 ;3 ;34540 ;"       34.54" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;2 ;0 ;4 ;36490 ;"       36.49" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;6 ;0 ;5 ;39340 ;"       39.34" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;7 ;0 ;6 ;39990 ;"       39.99" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;4 ;0 ;1 ;64030 ;"     1:04.03" ;" " ;64270 ;"     1:04.27" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;5 ;0 ;2 ;65560 ;"     1:05.56" ;" " ;65620 ;"     1:05.62" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;3 ;0 ;3 ;69210 ;"     1:09.21" ;" " ;69330 ;"     1:09.33" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;6 ;0 ;4 ;71680 ;"     1:11.68" ;" " ;71750 ;"     1:11.75" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;2 ;0 ;5 ;74250 ;"     1:14.25" ;" " ;74400 ;"     1:14.40" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;7 ;0 ;6 ;76380 ;"     1:16.38" ;" " ;76600 ;"     1:16.60" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;50507740 ;" 14:01:47.74" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;1 ;33820 ;"       33.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;5 ;0 ;2 ;33920 ;"       33.92" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;6 ;0 ;3 ;34740 ;"       34.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;4 ;36360 ;"       36.36" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;1 ;0 ;5 ;36570 ;"       36.57" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;2 ;0 ;6 ;36590 ;"       36.59" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;8 ;0 ;7 ;36720 ;"       36.72" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;7 ;0 ;8 ;39530 ;"       39.53" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;4 ;0 ;1 ;66220 ;"     1:06.22" ;" " ;66300 ;"     1:06.30" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;5 ;0 ;2 ;68550 ;"     1:08.55" ;" " ;68350 ;"     1:08.35" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;3 ;0 ;3 ;68580 ;"     1:08.58" ;" " ;68630 ;"     1:08.63" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;6 ;0 ;4 ;69650 ;"     1:09.65" ;" " ;69810 ;"     1:09.81" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;1 ;0 ;5 ;72190 ;"     1:12.19" ;" " ;72050 ;"     1:12.05" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;2 ;0 ;6 ;72400 ;"     1:12.40" ;" " ;72630 ;"     1:12.63" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;8 ;0 ;7 ;74170 ;"     1:14.17" ;"E" ;74170 ;"     1:14.17" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;7 ;0 ;8 ;77650 ;"     1:17.65" ;" " ;77420 ;"     1:17.42" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;0 ;0 ;0 ;0 ;50673980 ;" 14:04:33.98" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;4 ;0 ;1 ;31210 ;"       31.21" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;3 ;0 ;2 ;35680 ;"       35.68" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;7 ;0 ;3 ;36130 ;"       36.13" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;5 ;0 ;4 ;36220 ;"       36.22" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;6 ;0 ;5 ;36450 ;"       36.45" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;1 ;0 ;6 ;37960 ;"       37.96" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;8 ;0 ;7 ;38080 ;"       38.08" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;4 ;0 ;1 ;66290 ;"     1:06.29" ;" " ;66430 ;"     1:06.43" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;5 ;0 ;2 ;66620 ;"     1:06.62" ;" " ;66770 ;"     1:06.77" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;6 ;0 ;3 ;69250 ;"     1:09.25" ;" " ;69390 ;"     1:09.39" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;3 ;0 ;4 ;70000 ;"     1:10.00" ;" " ;69960 ;"     1:09.96" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;7 ;0 ;5 ;70420 ;"     1:10.42" ;" " ;70690 ;"     1:10.69" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;8 ;0 ;6 ;74740 ;"     1:14.74" ;" " ;74440 ;"     1:14.44" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;1 ;0 ;7 ;76000 ;"     1:16.00" ;" " ;76030 ;"     1:16.03" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;0 ;0 ;0 ;0 ;50955170 ;" 14:09:15.17" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;8 ;0 ;1 ;20630 ;"       20.63" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;5 ;0 ;2 ;32840 ;"       32.84" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;4 ;0 ;3 ;33030 ;"       33.03" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;3 ;0 ;4 ;35200 ;"       35.20" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;2 ;0 ;5 ;36610 ;"       36.61" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;7 ;0 ;6 ;37040 ;"       37.04" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;6 ;0 ;7 ;38640 ;"       38.64" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;1 ;0 ;8 ;40760 ;"       40.76" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;4 ;0 ;1 ;64740 ;"     1:04.74" ;" " ;64880 ;"     1:04.88" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;5 ;0 ;2 ;65730 ;"     1:05.73" ;" " ;65940 ;"     1:05.94" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;3 ;0 ;3 ;68850 ;"     1:08.85" ;" " ;68900 ;"     1:08.90" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;7 ;0 ;4 ;72130 ;"     1:12.13" ;" " ;72220 ;"     1:12.22" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;6 ;0 ;5 ;72410 ;"     1:12.41" ;" " ;72490 ;"     1:12.49" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;2 ;0 ;6 ;72620 ;"     1:12.62" ;" " ;72820 ;"     1:12.82" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;8 ;0 ;7 ;73970 ;"     1:13.97" ;" " ;73950 ;"     1:13.95" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;1 ;0 ;8 ;77650 ;"     1:17.65" ;" " ;77660 ;"     1:17.66" ;"A" ;0 ;"" ;"" ;
3 ;0 ;1 ;0 ;0 ;0 ;0 ;51124090 ;" 14:12:04.09" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;1 ;50 ;4 ;0 ;1 ;33140 ;"       33.14" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;1 ;50 ;2 ;0 ;2 ;33660 ;"       33.66" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;1 ;50 ;3 ;0 ;3 ;33750 ;"       33.75" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;1 ;50 ;5 ;0 ;4 ;33820 ;"       33.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;1 ;50 ;6 ;0 ;5 ;34820 ;"       34.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;1 ;50 ;1 ;0 ;6 ;36220 ;"       36.22" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;1 ;50 ;7 ;0 ;7 ;36390 ;"       36.39" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;1 ;50 ;8 ;0 ;8 ;38700 ;"       38.70" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;1 ;100 ;4 ;0 ;1 ;63960 ;"     1:03.96" ;" " ;64060 ;"     1:04.06" ;"A" ;0 ;"" ;"" ;
3 ;0 ;1 ;100 ;2 ;0 ;2 ;64340 ;"     1:04.34" ;" " ;64460 ;"     1:04.46" ;"A" ;0 ;"" ;"" ;
3 ;0 ;1 ;100 ;5 ;0 ;3 ;66130 ;"     1:06.13" ;" " ;66260 ;"     1:06.26" ;"A" ;0 ;"" ;"" ;
3 ;0 ;1 ;100 ;3 ;0 ;4 ;67720 ;"     1:07.72" ;" " ;67670 ;"     1:07.67" ;"A" ;0 ;"" ;"" ;
3 ;0 ;1 ;100 ;6 ;0 ;5 ;69510 ;"     1:09.51" ;" " ;69610 ;"     1:09.61" ;"A" ;0 ;"" ;"" ;
3 ;0 ;1 ;100 ;1 ;0 ;6 ;71880 ;"     1:11.88" ;" " ;71930 ;"     1:11.93" ;"A" ;0 ;"" ;"" ;
3 ;0 ;1 ;100 ;7 ;0 ;7 ;72350 ;"     1:12.35" ;" " ;72580 ;"     1:12.58" ;"A" ;0 ;"" ;"" ;
3 ;0 ;1 ;100 ;8 ;0 ;8 ;75360 ;"     1:15.36" ;" " ;75440 ;"     1:15.44" ;"A" ;0 ;"" ;"" ;
4 ;3 ;0 ;0 ;0 ;0 ;0 ;51374930 ;" 14:16:14.93" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;3 ;0 ;50 ;4 ;0 ;1 ;32660 ;"       32.66" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;3 ;0 ;50 ;3 ;0 ;2 ;33160 ;"       33.16" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;3 ;0 ;50 ;5 ;0 ;3 ;33950 ;"       33.95" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;3 ;0 ;50 ;6 ;0 ;4 ;34220 ;"       34.22" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;3 ;0 ;50 ;7 ;0 ;5 ;34400 ;"       34.40" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
