event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
101 ;0 ;0 ;0 ;0 ;0 ;0 ;31649130 ;"  8:47:29.13" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;0 ;8 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;5 ;0 ;1 ;33670 ;"       33.67" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;6 ;0 ;2 ;34610 ;"       34.61" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;8 ;0 ;3 ;34630 ;"       34.63" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;1 ;0 ;4 ;34660 ;"       34.66" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;4 ;0 ;5 ;35260 ;"       35.26" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;2 ;0 ;6 ;35560 ;"       35.56" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;3 ;0 ;7 ;35610 ;"       35.61" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;5 ;0 ;1 ;70610 ;"     1:10.61" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;7 ;0 ;2 ;71250 ;"     1:11.25" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;8 ;0 ;3 ;72390 ;"     1:12.39" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;6 ;0 ;4 ;73010 ;"     1:13.01" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;5 ;0 ;1 ;109020 ;"     1:49.02" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;8 ;0 ;2 ;110620 ;"     1:50.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;4 ;0 ;3 ;112050 ;"     1:52.05" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;6 ;0 ;4 ;112580 ;"     1:52.58" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;3 ;0 ;5 ;112850 ;"     1:52.85" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;2 ;0 ;6 ;113400 ;"     1:53.40" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;650 ;8 ;0 ;1 ;187860 ;"     3:07.86" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;800 ;4 ;0 ;1 ;73790 ;"     1:13.79" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;0 ;0 ;0 ;0 ;32403760 ;"  9:00:03.76" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;4 ;0 ;1 ;34320 ;"       34.32" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;5 ;0 ;2 ;34360 ;"       34.36" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;1 ;0 ;3 ;34520 ;"       34.52" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;2 ;0 ;4 ;34540 ;"       34.54" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;8 ;0 ;5 ;34640 ;"       34.64" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;6 ;0 ;6 ;34790 ;"       34.79" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;3 ;0 ;7 ;35360 ;"       35.36" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;4 ;0 ;1 ;72220 ;"     1:12.22" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;8 ;0 ;2 ;72330 ;"     1:12.33" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;5 ;0 ;3 ;72410 ;"     1:12.41" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;6 ;0 ;4 ;72820 ;"     1:12.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;2 ;0 ;5 ;72910 ;"     1:12.91" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;1 ;0 ;6 ;72940 ;"     1:12.94" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;100 ;3 ;0 ;7 ;73630 ;"     1:13.63" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
