id;event;round ;heat
1 ;999 ;4 ;0 ;
2 ;201 ;0 ;0 ;
3 ;201 ;0 ;1 ;
4 ;201 ;0 ;2 ;
5 ;202 ;0 ;0 ;
6 ;202 ;0 ;1 ;
7 ;202 ;0 ;2 ;
8 ;203 ;0 ;0 ;
9 ;203 ;0 ;1 ;
10 ;203 ;0 ;2 ;
11 ;203 ;0 ;3 ;
12 ;203 ;0 ;4 ;
13 ;203 ;0 ;5 ;
14 ;204 ;0 ;0 ;
15 ;204 ;0 ;1 ;
16 ;204 ;0 ;2 ;
17 ;204 ;0 ;3 ;
18 ;204 ;0 ;4 ;
19 ;204 ;0 ;5 ;
20 ;204 ;0 ;6 ;
21 ;204 ;0 ;7 ;
22 ;205 ;0 ;0 ;
23 ;205 ;0 ;1 ;
24 ;205 ;0 ;2 ;
25 ;205 ;0 ;3 ;
26 ;205 ;0 ;4 ;
27 ;205 ;0 ;5 ;
28 ;205 ;0 ;6 ;
29 ;206 ;0 ;0 ;
30 ;206 ;0 ;1 ;
31 ;206 ;0 ;2 ;
32 ;206 ;0 ;3 ;
33 ;206 ;0 ;4 ;
34 ;206 ;0 ;5 ;
35 ;206 ;0 ;6 ;
36 ;207 ;0 ;0 ;
37 ;207 ;0 ;1 ;
38 ;207 ;0 ;2 ;
39 ;207 ;0 ;3 ;
40 ;208 ;0 ;0 ;
41 ;208 ;0 ;1 ;
42 ;208 ;0 ;2 ;
43 ;208 ;0 ;3 ;
44 ;208 ;0 ;4 ;
45 ;209 ;3 ;0 ;
46 ;210 ;3 ;0 ;
47 ;211 ;3 ;0 ;
48 ;212 ;3 ;0 ;
49 ;213 ;3 ;0 ;
50 ;214 ;3 ;0 ;
51 ;215 ;3 ;0 ;
52 ;216 ;3 ;0 ;
53 ;217 ;3 ;0 ;
54 ;218 ;3 ;0 ;
55 ;219 ;3 ;0 ;
56 ;220 ;3 ;0 ;
57 ;201 ;0 ;2 ;
58 ;221 ;0 ;0 ;
59 ;221 ;0 ;1 ;
60 ;222 ;0 ;0 ;
61 ;999 ;4 ;0 ;
62 ;223 ;0 ;0 ;
63 ;223 ;0 ;1 ;
64 ;223 ;0 ;2 ;
65 ;224 ;0 ;0 ;
66 ;224 ;0 ;1 ;
67 ;224 ;0 ;2 ;
68 ;224 ;0 ;3 ;
69 ;225 ;0 ;0 ;
70 ;225 ;0 ;1 ;
71 ;225 ;0 ;2 ;
72 ;225 ;0 ;3 ;
73 ;225 ;0 ;4 ;
74 ;225 ;0 ;5 ;
75 ;225 ;0 ;6 ;
76 ;226 ;0 ;0 ;
77 ;226 ;0 ;1 ;
78 ;226 ;0 ;2 ;
79 ;226 ;0 ;3 ;
80 ;226 ;0 ;4 ;
81 ;226 ;0 ;5 ;
82 ;226 ;0 ;6 ;
83 ;226 ;0 ;7 ;
84 ;226 ;0 ;8 ;
85 ;227 ;3 ;0 ;
86 ;228 ;3 ;0 ;
87 ;230 ;3 ;0 ;
88 ;231 ;3 ;0 ;
89 ;232 ;3 ;0 ;
