event; round;heat;lane;relais;idBib;
301 ;0 ;0 ;2 ;0 ;210 ;
301 ;0 ;0 ;3 ;0 ;157 ;
301 ;0 ;0 ;4 ;0 ;416 ;
301 ;0 ;0 ;5 ;0 ;358 ;
301 ;0 ;0 ;6 ;0 ;508 ;
301 ;0 ;0 ;7 ;0 ;251 ;
301 ;0 ;1 ;2 ;0 ;483 ;
301 ;0 ;1 ;3 ;0 ;312 ;
301 ;0 ;1 ;4 ;0 ;217 ;
301 ;0 ;1 ;5 ;0 ;289 ;
301 ;0 ;1 ;6 ;0 ;530 ;
301 ;0 ;1 ;7 ;0 ;301 ;
301 ;0 ;2 ;1 ;0 ;331 ;
301 ;0 ;2 ;2 ;0 ;119 ;
301 ;0 ;2 ;3 ;0 ;136 ;
301 ;0 ;2 ;4 ;0 ;346 ;
301 ;0 ;2 ;5 ;0 ;209 ;
301 ;0 ;2 ;6 ;0 ;407 ;
301 ;0 ;2 ;7 ;0 ;207 ;
301 ;0 ;2 ;8 ;0 ;110 ;
301 ;0 ;3 ;1 ;0 ;71 ;
301 ;0 ;3 ;2 ;0 ;285 ;
301 ;0 ;3 ;3 ;0 ;364 ;
301 ;0 ;3 ;4 ;0 ;107 ;
301 ;0 ;3 ;5 ;0 ;516 ;
301 ;0 ;3 ;6 ;0 ;41 ;
301 ;0 ;3 ;7 ;0 ;52 ;
301 ;0 ;3 ;8 ;0 ;449 ;
301 ;0 ;4 ;1 ;0 ;203 ;
301 ;0 ;4 ;2 ;0 ;160 ;
301 ;0 ;4 ;3 ;0 ;78 ;
301 ;0 ;4 ;4 ;0 ;79 ;
301 ;0 ;4 ;5 ;0 ;502 ;
301 ;0 ;4 ;6 ;0 ;189 ;
301 ;0 ;4 ;7 ;0 ;537 ;
301 ;0 ;4 ;8 ;0 ;91 ;
301 ;0 ;5 ;1 ;0 ;106 ;
301 ;0 ;5 ;2 ;0 ;49 ;
301 ;0 ;5 ;3 ;0 ;459 ;
301 ;0 ;5 ;4 ;0 ;205 ;
301 ;0 ;5 ;5 ;0 ;462 ;
301 ;0 ;5 ;6 ;0 ;286 ;
301 ;0 ;5 ;7 ;0 ;539 ;
301 ;0 ;5 ;8 ;0 ;275 ;
302 ;0 ;0 ;3 ;0 ;115 ;
302 ;0 ;0 ;4 ;0 ;325 ;
302 ;0 ;0 ;5 ;0 ;201 ;
302 ;0 ;0 ;6 ;0 ;176 ;
302 ;0 ;0 ;7 ;0 ;291 ;
302 ;0 ;1 ;3 ;0 ;526 ;
302 ;0 ;1 ;4 ;0 ;253 ;
302 ;0 ;1 ;5 ;0 ;122 ;
302 ;0 ;1 ;6 ;0 ;214 ;
302 ;0 ;1 ;7 ;0 ;387 ;
302 ;0 ;2 ;1 ;0 ;309 ;
302 ;0 ;2 ;2 ;0 ;403 ;
302 ;0 ;2 ;3 ;0 ;470 ;
302 ;0 ;2 ;4 ;0 ;164 ;
302 ;0 ;2 ;5 ;0 ;117 ;
302 ;0 ;2 ;6 ;0 ;329 ;
302 ;0 ;2 ;7 ;0 ;261 ;
302 ;0 ;2 ;8 ;0 ;402 ;
302 ;0 ;3 ;1 ;0 ;154 ;
302 ;0 ;3 ;2 ;0 ;431 ;
302 ;0 ;3 ;3 ;0 ;199 ;
302 ;0 ;3 ;4 ;0 ;179 ;
302 ;0 ;3 ;5 ;0 ;254 ;
302 ;0 ;3 ;6 ;0 ;1 ;
302 ;0 ;3 ;7 ;0 ;206 ;
302 ;0 ;3 ;8 ;0 ;362 ;
302 ;0 ;4 ;1 ;0 ;143 ;
302 ;0 ;4 ;2 ;0 ;174 ;
302 ;0 ;4 ;3 ;0 ;514 ;
302 ;0 ;4 ;4 ;0 ;280 ;
302 ;0 ;4 ;5 ;0 ;190 ;
302 ;0 ;4 ;6 ;0 ;382 ;
302 ;0 ;4 ;7 ;0 ;158 ;
302 ;0 ;4 ;8 ;0 ;344 ;
302 ;0 ;5 ;1 ;0 ;294 ;
302 ;0 ;5 ;2 ;0 ;405 ;
302 ;0 ;5 ;3 ;0 ;310 ;
302 ;0 ;5 ;4 ;0 ;438 ;
302 ;0 ;5 ;5 ;0 ;188 ;
302 ;0 ;5 ;6 ;0 ;24 ;
302 ;0 ;5 ;7 ;0 ;462 ;
302 ;0 ;5 ;8 ;0 ;47 ;
302 ;0 ;6 ;1 ;0 ;450 ;
302 ;0 ;6 ;2 ;0 ;392 ;
302 ;0 ;6 ;3 ;0 ;456 ;
302 ;0 ;6 ;4 ;0 ;25 ;
302 ;0 ;6 ;5 ;0 ;282 ;
302 ;0 ;6 ;6 ;0 ;141 ;
302 ;0 ;6 ;7 ;0 ;50 ;
