event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
999 ;0 ;0 ;0 ;0 ;0 ;0 ;66205890 ;" 18:23:25.89" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;6 ;0 ;2 ;22450 ;"       22.45" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;2 ;0 ;4 ;24470 ;"       24.47" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;0 ;0 ;0 ;0 ;67405640 ;" 18:43:25.64" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;3 ;0 ;1 ;34930 ;"       34.93" ;" " ;35070 ;"       35.07" ;" " ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;2 ;38340 ;"       38.34" ;" " ;38590 ;"       38.59" ;" " ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;6 ;0 ;3 ;40720 ;"       40.72" ;" " ;40890 ;"       40.89" ;" " ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;4 ;41510 ;"       41.51" ;" " ;41650 ;"       41.65" ;" " ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;1 ;0 ;5 ;42110 ;"       42.11" ;" " ;42220 ;"       42.22" ;" " ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;6 ;44360 ;"       44.36" ;" " ;44230 ;"       44.23" ;" " ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;67512090 ;" 18:45:12.09" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;1 ;0 ;1 ;35970 ;"       35.97" ;" " ;36000 ;"       36.00" ;" " ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;6 ;0 ;2 ;36200 ;"       36.20" ;" " ;36010 ;"       36.01" ;" " ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;5 ;0 ;3 ;37590 ;"       37.59" ;" " ;37710 ;"       37.71" ;" " ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;4 ;38650 ;"       38.65" ;" " ;38710 ;"       38.71" ;" " ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;2 ;0 ;5 ;39180 ;"       39.18" ;" " ;39340 ;"       39.34" ;" " ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;6 ;40630 ;"       40.63" ;" " ;40740 ;"       40.74" ;" " ;0 ;"" ;"" ;
3 ;0 ;0 ;0 ;0 ;0 ;0 ;67616410 ;" 18:46:56.41" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;3 ;0 ;1 ;39230 ;"       39.23" ;" " ;39390 ;"       39.39" ;" " ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;2 ;0 ;2 ;40190 ;"       40.19" ;" " ;40180 ;"       40.18" ;" " ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;6 ;0 ;3 ;41410 ;"       41.41" ;" " ;41520 ;"       41.52" ;" " ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;5 ;0 ;4 ;41700 ;"       41.70" ;"B" ;41700 ;"       41.70" ;"B" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;4 ;0 ;5 ;45560 ;"       45.56" ;" " ;45750 ;"       45.75" ;" " ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;1 ;0 ;6 ;45870 ;"       45.87" ;" " ;45770 ;"       45.77" ;" " ;0 ;"" ;"" ;
4 ;0 ;0 ;0 ;0 ;0 ;0 ;67715460 ;" 18:48:35.46" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;5 ;0 ;1 ;41350 ;"       41.35" ;" " ;41590 ;"       41.59" ;" " ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;6 ;0 ;2 ;41930 ;"       41.93" ;" " ;41940 ;"       41.94" ;" " ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;3 ;0 ;3 ;42060 ;"       42.06" ;" " ;42140 ;"       42.14" ;" " ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;1 ;0 ;4 ;44410 ;"       44.41" ;" " ;44220 ;"       44.22" ;" " ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;2 ;0 ;5 ;46400 ;"       46.40" ;" " ;46400 ;"       46.40" ;" " ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;4 ;0 ;6 ;50520 ;"       50.52" ;" " ;50290 ;"       50.29" ;" " ;0 ;"" ;"" ;
5 ;0 ;0 ;0 ;0 ;0 ;0 ;67808930 ;" 18:50:08.93" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;5 ;0 ;1 ;35990 ;"       35.99" ;" " ;36230 ;"       36.23" ;" " ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;2 ;0 ;2 ;37700 ;"       37.70" ;" " ;37630 ;"       37.63" ;" " ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;1 ;0 ;3 ;38050 ;"       38.05" ;" " ;38090 ;"       38.09" ;" " ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;6 ;0 ;4 ;39340 ;"       39.34" ;" " ;39480 ;"       39.48" ;" " ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;3 ;0 ;5 ;41790 ;"       41.79" ;" " ;41890 ;"       41.89" ;" " ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;4 ;0 ;6 ;47780 ;"       47.78" ;" " ;47680 ;"       47.68" ;" " ;0 ;"" ;"" ;
6 ;0 ;0 ;0 ;0 ;0 ;0 ;67895660 ;" 18:51:35.66" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;1 ;0 ;1 ;33670 ;"       33.67" ;" " ;33780 ;"       33.78" ;" " ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;3 ;0 ;2 ;37800 ;"       37.80" ;" " ;37700 ;"       37.70" ;" " ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;6 ;0 ;3 ;38440 ;"       38.44" ;" " ;38500 ;"       38.50" ;" " ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;5 ;0 ;4 ;38800 ;"       38.80" ;" " ;38770 ;"       38.77" ;" " ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;2 ;0 ;5 ;40130 ;"       40.13" ;"B" ;40130 ;"       40.13" ;"B" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;4 ;0 ;6 ;40970 ;"       40.97" ;" " ;41080 ;"       41.08" ;" " ;0 ;"" ;"" ;
7 ;0 ;0 ;0 ;0 ;0 ;0 ;67982370 ;" 18:53:02.37" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;4 ;0 ;1 ;41200 ;"       41.20" ;" " ;41310 ;"       41.31" ;" " ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;5 ;0 ;2 ;41350 ;"       41.35" ;" " ;41510 ;"       41.51" ;" " ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;1 ;0 ;3 ;42720 ;"       42.72" ;" " ;42760 ;"       42.76" ;" " ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;2 ;0 ;4 ;43720 ;"       43.72" ;" " ;43760 ;"       43.76" ;" " ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;3 ;0 ;5 ;45220 ;"       45.22" ;" " ;45310 ;"       45.31" ;" " ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;6 ;0 ;6 ;45250 ;"       45.25" ;" " ;45310 ;"       45.31" ;" " ;0 ;"" ;"" ;
8 ;0 ;0 ;0 ;0 ;0 ;0 ;68068860 ;" 18:54:28.86" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;5 ;0 ;1 ;38750 ;"       38.75" ;" " ;38940 ;"       38.94" ;" " ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;6 ;0 ;2 ;39750 ;"       39.75" ;" " ;39880 ;"       39.88" ;" " ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;2 ;0 ;3 ;42780 ;"       42.78" ;" " ;42800 ;"       42.80" ;" " ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;4 ;0 ;3 ;42780 ;"       42.78" ;" " ;42870 ;"       42.87" ;" " ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;3 ;0 ;5 ;43770 ;"       43.77" ;" " ;43890 ;"       43.89" ;" " ;0 ;"" ;"" ;
