id;event;round ;heat
1 ;107 ;0 ;2 ;
2 ;107 ;0 ;3 ;
3 ;107 ;0 ;4 ;
4 ;107 ;0 ;5 ;
5 ;108 ;0 ;0 ;
6 ;108 ;0 ;1 ;
7 ;108 ;0 ;2 ;
8 ;108 ;0 ;3 ;
9 ;108 ;0 ;4 ;
10 ;108 ;0 ;5 ;
11 ;108 ;0 ;6 ;
12 ;108 ;0 ;7 ;
13 ;108 ;0 ;8 ;
14 ;109 ;0 ;0 ;
15 ;110 ;0 ;0 ;
16 ;110 ;0 ;1 ;
17 ;110 ;0 ;2 ;
18 ;110 ;0 ;3 ;
19 ;110 ;0 ;4 ;
20 ;110 ;0 ;5 ;
21 ;110 ;0 ;6 ;
22 ;110 ;0 ;7 ;
23 ;110 ;0 ;8 ;
24 ;111 ;0 ;0 ;
25 ;111 ;0 ;1 ;
26 ;111 ;0 ;2 ;
27 ;111 ;0 ;3 ;
28 ;111 ;0 ;4 ;
29 ;111 ;0 ;5 ;
30 ;111 ;0 ;6 ;
31 ;111 ;0 ;7 ;
32 ;111 ;0 ;8 ;
33 ;111 ;0 ;9 ;
34 ;111 ;0 ;10 ;
35 ;111 ;0 ;11 ;
36 ;111 ;0 ;12 ;
37 ;111 ;0 ;13 ;
38 ;112 ;0 ;0 ;
39 ;112 ;0 ;1 ;
40 ;201 ;0 ;0 ;
41 ;201 ;0 ;1 ;
42 ;201 ;0 ;2 ;
43 ;201 ;0 ;3 ;
44 ;201 ;0 ;4 ;
45 ;201 ;0 ;5 ;
46 ;201 ;0 ;6 ;
47 ;202 ;0 ;0 ;
48 ;202 ;0 ;1 ;
49 ;203 ;0 ;0 ;
50 ;203 ;0 ;1 ;
51 ;203 ;0 ;2 ;
52 ;203 ;0 ;3 ;
53 ;203 ;0 ;4 ;
54 ;203 ;0 ;5 ;
55 ;203 ;0 ;6 ;
56 ;203 ;0 ;7 ;
57 ;203 ;0 ;8 ;
58 ;203 ;0 ;9 ;
59 ;203 ;0 ;10 ;
60 ;203 ;0 ;11 ;
61 ;204 ;0 ;0 ;
62 ;204 ;0 ;2 ;
63 ;204 ;0 ;3 ;
64 ;204 ;0 ;4 ;
65 ;205 ;0 ;0 ;
66 ;205 ;0 ;1 ;
67 ;205 ;0 ;2 ;
68 ;205 ;0 ;3 ;
69 ;206 ;0 ;0 ;
70 ;206 ;0 ;1 ;
71 ;206 ;0 ;2 ;
72 ;207 ;0 ;0 ;
73 ;207 ;0 ;1 ;
74 ;207 ;0 ;2 ;
75 ;207 ;0 ;3 ;
76 ;207 ;0 ;4 ;
77 ;207 ;0 ;5 ;
78 ;207 ;0 ;5 ;
79 ;208 ;0 ;0 ;
80 ;208 ;0 ;1 ;
81 ;208 ;0 ;2 ;
82 ;208 ;0 ;3 ;
83 ;208 ;0 ;4 ;
84 ;208 ;0 ;5 ;
85 ;208 ;0 ;6 ;
86 ;209 ;0 ;0 ;
87 ;210 ;0 ;0 ;
88 ;210 ;0 ;1 ;
89 ;210 ;0 ;2 ;
90 ;210 ;0 ;3 ;
91 ;210 ;0 ;4 ;
92 ;210 ;0 ;5 ;
93 ;210 ;0 ;6 ;
94 ;211 ;0 ;0 ;
95 ;211 ;0 ;1 ;
96 ;211 ;0 ;2 ;
97 ;211 ;0 ;3 ;
98 ;211 ;0 ;4 ;
99 ;211 ;0 ;5 ;
100 ;211 ;0 ;6 ;
101 ;211 ;0 ;7 ;
102 ;211 ;0 ;8 ;
103 ;211 ;0 ;9 ;
104 ;211 ;0 ;10 ;
105 ;211 ;0 ;11 ;
106 ;211 ;0 ;12 ;
107 ;211 ;0 ;13 ;
108 ;211 ;0 ;14 ;
109 ;212 ;0 ;0 ;
110 ;212 ;0 ;0 ;
111 ;212 ;0 ;1 ;
