event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
1 ;0 ;0 ;0 ;0 ;0 ;0 ;59474800 ;" 16:31:14.80" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;25 ;2 ;0 ;1 ;26280 ;"       26.28" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;25 ;4 ;0 ;2 ;33550 ;"       33.55" ;" " ;33760 ;"       33.76" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;25 ;3 ;0 ;3 ;39060 ;"       39.06" ;"E" ;39060 ;"       39.06" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;0 ;0 ;0 ;0 ;59589900 ;" 16:33:09.90" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;25 ;3 ;0 ;1 ;24780 ;"       24.78" ;" " ;24900 ;"       24.90" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;25 ;2 ;0 ;2 ;27850 ;"       27.85" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;25 ;4 ;0 ;3 ;29950 ;"       29.95" ;" " ;30040 ;"       30.04" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;25 ;5 ;0 ;4 ;44790 ;"       44.79" ;"E" ;44790 ;"       44.79" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;0 ;0 ;0 ;0 ;59702410 ;" 16:35:02.41" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;2 ;25 ;3 ;0 ;1 ;20770 ;"       20.77" ;" " ;20900 ;"       20.90" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;25 ;6 ;0 ;2 ;24250 ;"       24.25" ;" " ;24090 ;"       24.09" ;"A" ;0 ;"" ;"" ;
1 ;0 ;2 ;25 ;1 ;0 ;3 ;28050 ;"       28.05" ;" " ;28300 ;"       28.30" ;"A" ;0 ;"" ;"" ;
