event; round;heat;lane;relais;idBib;
1 ;0 ;0 ;2 ;0 ;20 ;
1 ;0 ;0 ;3 ;0 ;38 ;
1 ;0 ;0 ;4 ;0 ;33 ;
1 ;0 ;1 ;2 ;0 ;34 ;
1 ;0 ;1 ;3 ;0 ;3 ;
1 ;0 ;1 ;4 ;0 ;8 ;
1 ;0 ;1 ;5 ;0 ;2 ;
1 ;0 ;2 ;1 ;0 ;31 ;
1 ;0 ;2 ;2 ;0 ;28 ;
1 ;0 ;2 ;3 ;0 ;1 ;
1 ;0 ;2 ;4 ;0 ;16 ;
1 ;0 ;2 ;5 ;0 ;37 ;
1 ;0 ;2 ;6 ;0 ;30 ;
1 ;0 ;3 ;1 ;0 ;10 ;
1 ;0 ;3 ;2 ;0 ;5 ;
1 ;0 ;3 ;3 ;0 ;24 ;
1 ;0 ;3 ;4 ;0 ;23 ;
1 ;0 ;3 ;5 ;0 ;4 ;
1 ;0 ;3 ;6 ;0 ;39 ;
1 ;0 ;4 ;1 ;0 ;27 ;
1 ;0 ;4 ;2 ;0 ;35 ;
1 ;0 ;4 ;3 ;0 ;40 ;
1 ;0 ;4 ;4 ;0 ;42 ;
1 ;0 ;4 ;5 ;0 ;11 ;
1 ;0 ;4 ;6 ;0 ;12 ;
1 ;0 ;5 ;1 ;0 ;18 ;
1 ;0 ;5 ;2 ;0 ;19 ;
1 ;0 ;5 ;3 ;0 ;22 ;
1 ;0 ;5 ;4 ;0 ;26 ;
1 ;0 ;5 ;5 ;0 ;17 ;
1 ;0 ;5 ;6 ;0 ;41 ;
1 ;0 ;6 ;1 ;0 ;6 ;
1 ;0 ;6 ;2 ;0 ;43 ;
1 ;0 ;6 ;3 ;0 ;13 ;
1 ;0 ;6 ;4 ;0 ;15 ;
1 ;0 ;6 ;5 ;0 ;21 ;
1 ;0 ;6 ;6 ;0 ;14 ;
1 ;0 ;7 ;1 ;0 ;7 ;
1 ;0 ;7 ;2 ;0 ;36 ;
1 ;0 ;7 ;3 ;0 ;25 ;
1 ;0 ;7 ;4 ;0 ;9 ;
1 ;0 ;7 ;5 ;0 ;32 ;
1 ;0 ;7 ;6 ;0 ;29 ;
3 ;0 ;0 ;1 ;0 ;38 ;
3 ;0 ;0 ;2 ;0 ;43 ;
3 ;0 ;0 ;3 ;0 ;33 ;
3 ;0 ;0 ;4 ;0 ;34 ;
3 ;0 ;0 ;5 ;0 ;8 ;
3 ;0 ;0 ;6 ;0 ;13 ;
3 ;0 ;1 ;1 ;0 ;28 ;
3 ;0 ;1 ;2 ;0 ;1 ;
3 ;0 ;1 ;3 ;0 ;35 ;
3 ;0 ;1 ;4 ;0 ;14 ;
3 ;0 ;1 ;5 ;0 ;42 ;
3 ;0 ;1 ;6 ;0 ;36 ;
3 ;0 ;2 ;1 ;0 ;18 ;
3 ;0 ;2 ;2 ;0 ;9 ;
3 ;0 ;2 ;3 ;0 ;17 ;
3 ;0 ;2 ;4 ;0 ;26 ;
3 ;0 ;2 ;5 ;0 ;19 ;
3 ;0 ;2 ;6 ;0 ;11 ;
5 ;0 ;0 ;1 ;0 ;20 ;
5 ;0 ;0 ;2 ;0 ;3 ;
5 ;0 ;0 ;3 ;0 ;7 ;
5 ;0 ;0 ;4 ;0 ;2 ;
5 ;0 ;0 ;5 ;0 ;31 ;
5 ;0 ;1 ;1 ;0 ;16 ;
5 ;0 ;1 ;2 ;0 ;37 ;
5 ;0 ;1 ;3 ;0 ;30 ;
5 ;0 ;1 ;4 ;0 ;10 ;
5 ;0 ;1 ;5 ;0 ;5 ;
5 ;0 ;2 ;1 ;0 ;21 ;
5 ;0 ;2 ;2 ;0 ;32 ;
5 ;0 ;2 ;3 ;0 ;29 ;
5 ;0 ;2 ;4 ;0 ;39 ;
5 ;0 ;2 ;5 ;0 ;27 ;
5 ;0 ;2 ;6 ;0 ;40 ;
5 ;0 ;3 ;1 ;0 ;12 ;
5 ;0 ;3 ;2 ;0 ;41 ;
5 ;0 ;3 ;3 ;0 ;25 ;
5 ;0 ;3 ;4 ;0 ;6 ;
5 ;0 ;3 ;5 ;0 ;22 ;
5 ;0 ;3 ;6 ;0 ;15 ;
