event;round;nbHeat;idLen;idStyle;abCat;date;time
1 ;0 ;1 ;0 ;0 ;"G " ;"07/12/08" ;"00:00" ;
2 ;0 ;1 ;0 ;0 ;"B " ;"07/12/08" ;"00:00" ;
3 ;0 ;1 ;0 ;1 ;"G " ;"07/12/08" ;"00:00" ;
4 ;0 ;1 ;0 ;1 ;"B " ;"07/12/08" ;"00:00" ;
5 ;0 ;1 ;0 ;3 ;"G " ;"07/12/08" ;"00:00" ;
6 ;0 ;1 ;0 ;3 ;"B " ;"07/12/08" ;"00:00" ;
7 ;0 ;1 ;0 ;2 ;"G " ;"07/12/08" ;"00:00" ;
8 ;0 ;1 ;0 ;2 ;"B " ;"07/12/08" ;"00:00" ;
9 ;0 ;1 ;0 ;0 ;"G " ;"07/12/08" ;"00:00" ;
10 ;0 ;1 ;0 ;0 ;"B " ;"07/12/08" ;"00:00" ;
11 ;0 ;1 ;1 ;4 ;"B " ;"07/12/08" ;"00:00" ;
12 ;0 ;1 ;1 ;4 ;"B " ;"07/12/08" ;"00:00" ;
13 ;0 ;1 ;1 ;4 ;"B " ;"07/12/08" ;"00:00" ;
14 ;0 ;1 ;1 ;4 ;"B " ;"07/12/08" ;"00:00" ;
15 ;0 ;1 ;1 ;4 ;"B " ;"07/12/08" ;"00:00" ;
16 ;0 ;1 ;0 ;1 ;"G " ;"07/12/08" ;"00:00" ;
17 ;0 ;1 ;0 ;1 ;"B " ;"07/12/08" ;"00:00" ;
18 ;0 ;1 ;0 ;3 ;"G " ;"07/12/08" ;"00:00" ;
19 ;0 ;1 ;0 ;3 ;"B " ;"07/12/08" ;"00:00" ;
20 ;0 ;1 ;0 ;2 ;"G " ;"07/12/08" ;"00:00" ;
21 ;0 ;1 ;0 ;2 ;"B " ;"07/12/08" ;"00:00" ;
22 ;0 ;1 ;0 ;0 ;"G " ;"07/12/08" ;"00:00" ;
23 ;0 ;1 ;0 ;0 ;"B " ;"07/12/08" ;"00:00" ;
24 ;0 ;1 ;0 ;1 ;"G " ;"07/12/08" ;"00:00" ;
25 ;0 ;1 ;0 ;1 ;"B " ;"07/12/08" ;"00:00" ;
26 ;0 ;1 ;6 ;3 ;"G " ;"07/12/08" ;"00:00" ;
27 ;0 ;1 ;6 ;3 ;"B " ;"07/12/08" ;"00:00" ;
28 ;0 ;1 ;0 ;2 ;"G " ;"07/12/08" ;"00:00" ;
29 ;0 ;1 ;0 ;2 ;"B " ;"07/12/08" ;"00:00" ;
30 ;0 ;1 ;0 ;0 ;"G " ;"07/12/08" ;"00:00" ;
31 ;0 ;1 ;0 ;0 ;"B " ;"07/12/08" ;"00:00" ;
32 ;0 ;1 ;0 ;1 ;"G " ;"07/12/08" ;"00:00" ;
33 ;0 ;1 ;0 ;1 ;"B " ;"07/12/08" ;"00:00" ;
34 ;0 ;1 ;0 ;3 ;"G " ;"07/12/08" ;"00:00" ;
35 ;0 ;1 ;0 ;3 ;"B " ;"07/12/08" ;"00:00" ;
36 ;0 ;1 ;1 ;0 ;"B " ;"07/12/08" ;"00:00" ;
37 ;0 ;1 ;1 ;0 ;"B " ;"07/12/08" ;"00:00" ;
38 ;0 ;1 ;1 ;0 ;"B " ;"07/12/08" ;"00:00" ;
39 ;0 ;1 ;1 ;0 ;"B " ;"07/12/08" ;"00:00" ;
40 ;0 ;1 ;1 ;0 ;"B " ;"07/12/08" ;"00:00" ;
41 ;0 ;1 ;0 ;2 ;"G " ;"07/12/08" ;"00:00" ;
42 ;0 ;1 ;0 ;2 ;"B " ;"07/12/08" ;"00:00" ;
43 ;0 ;1 ;0 ;0 ;"G " ;"07/12/08" ;"00:00" ;
44 ;0 ;1 ;0 ;0 ;"B " ;"07/12/08" ;"00:00" ;
45 ;0 ;1 ;0 ;1 ;"G " ;"07/12/08" ;"00:00" ;
46 ;0 ;1 ;0 ;1 ;"B " ;"07/12/08" ;"00:00" ;
47 ;0 ;1 ;0 ;3 ;"G " ;"07/12/08" ;"00:00" ;
48 ;0 ;1 ;0 ;3 ;"B " ;"07/12/08" ;"00:00" ;
49 ;0 ;1 ;0 ;2 ;"G " ;"07/12/08" ;"00:00" ;
50 ;0 ;1 ;0 ;2 ;"B " ;"07/12/08" ;"00:00" ;
51 ;0 ;1 ;8 ;0 ;"X " ;"07/12/08" ;"00:00" ;
999 ;4 ;1 ;0 ;0 ;"M" ;"07/12/08" ;"00:00" ;
