event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
2 ;0 ;0 ;0 ;0 ;0 ;0 ;67005320 ;" 18:36:45.32" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;2 ;0 ;1 ;46610 ;"       46.61" ;" " ;46750 ;"       46.75" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;5 ;0 ;2 ;46650 ;"       46.65" ;" " ;46680 ;"       46.68" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;3 ;47110 ;"       47.11" ;"E" ;47110 ;"       47.11" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;0 ;0 ;0 ;0 ;67138200 ;" 18:38:58.20" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;2 ;0 ;1 ;36320 ;"       36.32" ;" " ;36480 ;"       36.48" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;5 ;0 ;2 ;40700 ;"       40.70" ;" " ;40750 ;"       40.75" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;3 ;0 ;3 ;41630 ;"       41.63" ;" " ;41740 ;"       41.74" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;4 ;0 ;4 ;44870 ;"       44.87" ;" " ;44980 ;"       44.98" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;0 ;0 ;0 ;0 ;67239630 ;" 18:40:39.63" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;3 ;0 ;1 ;38090 ;"       38.09" ;" " ;38140 ;"       38.14" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;2 ;0 ;2 ;43720 ;"       43.72" ;" " ;43840 ;"       43.84" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;5 ;0 ;3 ;47390 ;"       47.39" ;"E" ;47390 ;"       47.39" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;4 ;0 ;4 ;48790 ;"       48.79" ;" " ;48880 ;"       48.88" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;0 ;0 ;0 ;0 ;67342130 ;" 18:42:22.13" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;1 ;43120 ;"       43.12" ;" " ;43200 ;"       43.20" ;"A" ;0 ;"" ;"" ;
