event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
999 ;4 ;0 ;0 ;0 ;0 ;0 ;64201200 ;" 17:50:01.20" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;6 ;0 ;1 ;28470 ;"       28.47" ;" " ;28410 ;"       28.41" ;"A" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;5 ;0 ;2 ;33880 ;"       33.88" ;" " ;33870 ;"       33.87" ;"A" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;4 ;0 ;3 ;38940 ;"       38.94" ;" " ;38970 ;"       38.97" ;"A" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;3 ;0 ;4 ;43770 ;"       43.77" ;" " ;43810 ;"       43.81" ;"A" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;2 ;0 ;5 ;49030 ;"       49.03" ;" " ;49050 ;"       49.05" ;"A" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;1 ;0 ;6 ;54130 ;"       54.13" ;" " ;54120 ;"       54.12" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;0 ;0 ;0 ;0 ;67522980 ;" 18:45:22.98" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;1 ;44690 ;"       44.69" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;3 ;0 ;2 ;45020 ;"       45.02" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;3 ;45320 ;"       45.32" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;4 ;46100 ;"       46.10" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;5 ;0 ;1 ;94160 ;"     1:34.16" ;" " ;94410 ;"     1:34.41" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;3 ;0 ;2 ;94570 ;"     1:34.57" ;" " ;94670 ;"     1:34.67" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;2 ;0 ;3 ;96060 ;"     1:36.06" ;" " ;96260 ;"     1:36.26" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;4 ;0 ;4 ;96150 ;"     1:36.15" ;"E" ;96150 ;"     1:36.15" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;67679160 ;" 18:47:59.16" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;2 ;0 ;1 ;40110 ;"       40.11" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;2 ;40150 ;"       40.15" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;3 ;42890 ;"       42.89" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;5 ;0 ;4 ;43190 ;"       43.19" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;3 ;0 ;1 ;84060 ;"     1:24.06" ;" " ;84160 ;"     1:24.16" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;2 ;0 ;2 ;84140 ;"     1:24.14" ;" " ;84180 ;"     1:24.18" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;4 ;0 ;3 ;92650 ;"     1:32.65" ;" " ;91860 ;"     1:31.86" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;5 ;0 ;4 ;93330 ;"     1:33.33" ;" " ;93470 ;"     1:33.47" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;0 ;0 ;0 ;0 ;67815470 ;" 18:50:15.47" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;3 ;0 ;1 ;42360 ;"       42.36" ;" " ;42590 ;"       42.59" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;5 ;0 ;2 ;44360 ;"       44.36" ;" " ;44390 ;"       44.39" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;2 ;0 ;3 ;44890 ;"       44.89" ;" " ;45050 ;"       45.05" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;4 ;0 ;4 ;48450 ;"       48.45" ;" " ;48560 ;"       48.56" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;0 ;0 ;0 ;0 ;67944540 ;" 18:52:24.54" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;3 ;0 ;1 ;40470 ;"       40.47" ;" " ;40530 ;"       40.53" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;2 ;0 ;2 ;43870 ;"       43.87" ;" " ;44020 ;"       44.02" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;4 ;0 ;3 ;48750 ;"       48.75" ;" " ;48870 ;"       48.87" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;5 ;0 ;4 ;49090 ;"       49.09" ;" " ;49160 ;"       49.16" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;0 ;0 ;0 ;0 ;68096900 ;" 18:54:56.90" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
5 ;0 ;0 ;25 ;5 ;0 ;1 ;19250 ;"       19.25" ;" " ;19360 ;"       19.36" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;25 ;2 ;0 ;2 ;19420 ;"       19.42" ;" " ;19590 ;"       19.59" ;"A" ;0 ;"" ;"" ;
