event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
1 ;0 ;0 ;0 ;0 ;0 ;0 ;66739400 ;" 18:32:19.40" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;1 ;32210 ;"       32.21" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;2 ;32460 ;"       32.46" ;" " ;32940 ;"       32.94" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;3 ;33510 ;"       33.51" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;3 ;0 ;4 ;34520 ;"       34.52" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;1 ;0 ;5 ;35310 ;"       35.31" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;6 ;0 ;6 ;39500 ;"       39.50" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;5 ;0 ;1 ;67780 ;"     1:07.78" ;" " ;67750 ;"     1:07.75" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;4 ;0 ;2 ;68360 ;"     1:08.36" ;" " ;68400 ;"     1:08.40" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;2 ;0 ;3 ;71770 ;"     1:11.77" ;" " ;71720 ;"     1:11.72" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;3 ;0 ;4 ;77220 ;"     1:17.22" ;" " ;77260 ;"     1:17.26" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;1 ;0 ;5 ;79810 ;"     1:19.81" ;" " ;80000 ;"     1:20.00" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;6 ;0 ;6 ;93880 ;"     1:33.88" ;" " ;94160 ;"     1:34.16" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;66866930 ;" 18:34:26.93" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;2 ;0 ;1 ;29420 ;"       29.42" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;2 ;29610 ;"       29.61" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;5 ;0 ;3 ;30140 ;"       30.14" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;6 ;0 ;4 ;30320 ;"       30.32" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;1 ;0 ;5 ;30460 ;"       30.46" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;6 ;30950 ;"       30.95" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;5 ;0 ;1 ;63100 ;"     1:03.10" ;"E" ;63100 ;"     1:03.10" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;2 ;0 ;2 ;63210 ;"     1:03.21" ;" " ;63350 ;"     1:03.35" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;1 ;0 ;3 ;64530 ;"     1:04.53" ;" " ;64470 ;"     1:04.47" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;6 ;0 ;4 ;64640 ;"     1:04.64" ;" " ;64620 ;"     1:04.62" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;3 ;0 ;5 ;64780 ;"     1:04.78" ;" " ;64860 ;"     1:04.86" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;4 ;0 ;6 ;65700 ;"     1:05.70" ;" " ;65720 ;"     1:05.72" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;0 ;0 ;0 ;0 ;66997620 ;" 18:36:37.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;2 ;0 ;1 ;38870 ;"       38.87" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;5 ;0 ;2 ;39320 ;"       39.32" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;4 ;0 ;3 ;39620 ;"       39.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;3 ;0 ;4 ;41030 ;"       41.03" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;1 ;0 ;5 ;41120 ;"       41.12" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;6 ;0 ;6 ;45350 ;"       45.35" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;5 ;0 ;1 ;83120 ;"     1:23.12" ;" " ;83160 ;"     1:23.16" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;4 ;0 ;2 ;84180 ;"     1:24.18" ;" " ;84150 ;"     1:24.15" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;2 ;0 ;3 ;85040 ;"     1:25.04" ;" " ;85090 ;"     1:25.09" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;3 ;0 ;4 ;86090 ;"     1:26.09" ;" " ;86030 ;"     1:26.03" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;1 ;0 ;5 ;86240 ;"     1:26.24" ;" " ;86340 ;"     1:26.34" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;6 ;0 ;6 ;96170 ;"     1:36.17" ;" " ;96170 ;"     1:36.17" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;0 ;0 ;0 ;0 ;67126800 ;" 18:38:46.80" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;6 ;0 ;1 ;36030 ;"       36.03" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;2 ;0 ;2 ;36990 ;"       36.99" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;3 ;0 ;3 ;37730 ;"       37.73" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;5 ;0 ;4 ;41130 ;"       41.13" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;1 ;0 ;5 ;41370 ;"       41.37" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;4 ;0 ;6 ;41720 ;"       41.72" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;100 ;6 ;0 ;1 ;76520 ;"     1:16.52" ;" " ;76570 ;"     1:16.57" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;100 ;2 ;0 ;2 ;79060 ;"     1:19.06" ;" " ;79150 ;"     1:19.15" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;100 ;3 ;0 ;3 ;81310 ;"     1:21.31" ;" " ;81320 ;"     1:21.32" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;100 ;5 ;0 ;4 ;86060 ;"     1:26.06" ;" " ;86000 ;"     1:26.00" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;100 ;1 ;0 ;5 ;88020 ;"     1:28.02" ;" " ;88100 ;"     1:28.10" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;100 ;4 ;0 ;6 ;89840 ;"     1:29.84" ;" " ;89820 ;"     1:29.82" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;0 ;0 ;0 ;0 ;67254900 ;" 18:40:54.90" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;3 ;0 ;1 ;33660 ;"       33.66" ;" " ;33710 ;"       33.71" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;2 ;0 ;2 ;35600 ;"       35.60" ;" " ;35650 ;"       35.65" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;6 ;0 ;3 ;36430 ;"       36.43" ;" " ;36460 ;"       36.46" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;4 ;0 ;4 ;36710 ;"       36.71" ;" " ;36680 ;"       36.68" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;1 ;0 ;5 ;37380 ;"       37.38" ;" " ;37270 ;"       37.27" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;5 ;0 ;6 ;39580 ;"       39.58" ;" " ;39530 ;"       39.53" ;"A" ;0 ;"" ;"" ;
