event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
1 ;0 ;0 ;0 ;0 ;0 ;0 ;3452440 ;"    57:32.44" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;1 ;38710 ;"       38.71" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;2 ;40680 ;"       40.68" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;1 ;0 ;3 ;41160 ;"       41.16" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;3 ;0 ;4 ;41260 ;"       41.26" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;5 ;41630 ;"       41.63" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;6 ;0 ;6 ;41930 ;"       41.93" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;2 ;0 ;1 ;81770 ;"     1:21.77" ;" " ;81840 ;"     1:21.84" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;4 ;0 ;2 ;84630 ;"     1:24.63" ;" " ;84700 ;"     1:24.70" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;1 ;0 ;3 ;87800 ;"     1:27.80" ;" " ;87890 ;"     1:27.89" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;5 ;0 ;4 ;88600 ;"     1:28.60" ;" " ;88780 ;"     1:28.78" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;6 ;0 ;5 ;88610 ;"     1:28.61" ;" " ;88710 ;"     1:28.71" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;3 ;0 ;0 ;0 ;"" ;"" ;87030 ;"     1:27.03" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;3607570 ;"  1:00:07.57" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;1 ;37110 ;"       37.11" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;2 ;0 ;2 ;38950 ;"       38.95" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;6 ;0 ;3 ;39220 ;"       39.22" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;4 ;39350 ;"       39.35" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;1 ;0 ;5 ;41180 ;"       41.18" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;5 ;0 ;6 ;41290 ;"       41.29" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;3 ;0 ;1 ;79010 ;"     1:19.01" ;" " ;79110 ;"     1:19.11" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;2 ;0 ;2 ;81840 ;"     1:21.84" ;" " ;81990 ;"     1:21.99" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;4 ;0 ;3 ;82860 ;"     1:22.86" ;" " ;83010 ;"     1:23.01" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;6 ;0 ;4 ;83310 ;"     1:23.31" ;" " ;83300 ;"     1:23.30" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;1 ;0 ;5 ;85150 ;"     1:25.15" ;" " ;85340 ;"     1:25.34" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;5 ;0 ;6 ;87710 ;"     1:27.71" ;" " ;87810 ;"     1:27.81" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;0 ;0 ;0 ;0 ;3825280 ;"  1:03:45.28" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;2 ;0 ;1 ;41400 ;"       41.40" ;" " ;41650 ;"       41.65" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;4 ;0 ;2 ;41930 ;"       41.93" ;" " ;41960 ;"       41.96" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;5 ;0 ;3 ;43150 ;"       43.15" ;" " ;43310 ;"       43.31" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;1 ;0 ;4 ;44130 ;"       44.13" ;" " ;44270 ;"       44.27" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;6 ;0 ;5 ;44210 ;"       44.21" ;" " ;44230 ;"       44.23" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;3 ;0 ;6 ;48920 ;"       48.92" ;" " ;48820 ;"       48.82" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;0 ;0 ;0 ;0 ;3910300 ;"  1:05:10.30" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;6 ;0 ;1 ;35980 ;"       35.98" ;" " ;36050 ;"       36.05" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;1 ;0 ;2 ;40670 ;"       40.67" ;" " ;40760 ;"       40.76" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;3 ;0 ;3 ;40710 ;"       40.71" ;" " ;40760 ;"       40.76" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;4 ;0 ;4 ;40890 ;"       40.89" ;" " ;41000 ;"       41.00" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;2 ;0 ;5 ;43170 ;"       43.17" ;" " ;43290 ;"       43.29" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;5 ;0 ;6 ;43320 ;"       43.32" ;" " ;43450 ;"       43.45" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;0 ;0 ;0 ;0 ;4245310 ;"  1:10:45.31" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
5 ;0 ;0 ;25 ;5 ;0 ;1 ;18100 ;"       18.10" ;" " ;18320 ;"       18.32" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;25 ;1 ;0 ;2 ;18160 ;"       18.16" ;" " ;18320 ;"       18.32" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;25 ;2 ;0 ;2 ;18160 ;"       18.16" ;" " ;18280 ;"       18.28" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;25 ;4 ;0 ;4 ;18530 ;"       18.53" ;" " ;18590 ;"       18.59" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;25 ;6 ;0 ;5 ;18740 ;"       18.74" ;" " ;18740 ;"       18.74" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;25 ;3 ;0 ;6 ;22150 ;"       22.15" ;" " ;22200 ;"       22.20" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;0 ;0 ;0 ;0 ;4400030 ;"  1:13:20.03" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
6 ;0 ;0 ;25 ;1 ;0 ;1 ;17030 ;"       17.03" ;" " ;17210 ;"       17.21" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;25 ;4 ;0 ;2 ;18720 ;"       18.72" ;" " ;18800 ;"       18.80" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;25 ;2 ;0 ;3 ;19470 ;"       19.47" ;" " ;19650 ;"       19.65" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;25 ;6 ;0 ;4 ;19650 ;"       19.65" ;" " ;19780 ;"       19.78" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;25 ;3 ;0 ;5 ;20150 ;"       20.15" ;" " ;20210 ;"       20.21" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;25 ;5 ;0 ;6 ;21210 ;"       21.21" ;" " ;21290 ;"       21.29" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;0 ;0 ;0 ;0 ;4557460 ;"  1:15:57.46" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
