id;event;round ;heat
1 ;1 ;0 ;0 ;
2 ;2 ;0 ;0 ;
3 ;2 ;0 ;0 ;
4 ;3 ;0 ;0 ;
5 ;3 ;0 ;0 ;
6 ;4 ;0 ;0 ;
7 ;4 ;0 ;0 ;
8 ;4 ;0 ;0 ;
9 ;4 ;0 ;0 ;
10 ;5 ;0 ;0 ;
11 ;6 ;0 ;0 ;
12 ;6 ;0 ;0 ;
13 ;7 ;0 ;0 ;
14 ;8 ;0 ;0 ;
15 ;9 ;0 ;0 ;
16 ;10 ;0 ;0 ;
17 ;11 ;0 ;0 ;
18 ;12 ;0 ;0 ;
19 ;13 ;0 ;0 ;
20 ;14 ;0 ;0 ;
21 ;15 ;0 ;0 ;
22 ;16 ;0 ;0 ;
23 ;17 ;0 ;0 ;
24 ;18 ;0 ;0 ;
25 ;19 ;0 ;0 ;
26 ;20 ;0 ;0 ;
27 ;21 ;0 ;0 ;
28 ;22 ;0 ;0 ;
29 ;23 ;0 ;0 ;
30 ;24 ;0 ;0 ;
31 ;25 ;0 ;0 ;
32 ;26 ;0 ;0 ;
33 ;27 ;0 ;0 ;
34 ;28 ;0 ;0 ;
35 ;29 ;0 ;0 ;
36 ;30 ;0 ;0 ;
37 ;31 ;0 ;0 ;
38 ;32 ;0 ;0 ;
39 ;33 ;0 ;0 ;
40 ;34 ;0 ;0 ;
41 ;35 ;0 ;0 ;
42 ;36 ;0 ;0 ;
43 ;37 ;0 ;0 ;
44 ;38 ;0 ;0 ;
45 ;40 ;0 ;0 ;
46 ;40 ;0 ;0 ;
47 ;39 ;0 ;0 ;
48 ;39 ;0 ;0 ;
49 ;41 ;0 ;0 ;
50 ;42 ;0 ;0 ;
51 ;43 ;0 ;0 ;
52 ;44 ;0 ;0 ;
53 ;45 ;0 ;0 ;
54 ;46 ;0 ;0 ;
55 ;47 ;0 ;0 ;
56 ;48 ;0 ;0 ;
57 ;49 ;0 ;0 ;
58 ;50 ;0 ;0 ;
59 ;51 ;0 ;0 ;
