event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
999 ;0 ;0 ;0 ;0 ;0 ;0 ;65008010 ;" 18:03:28.01" ;"M" ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;6 ;0 ;1 ;20120 ;"       20.12" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;1 ;0 ;2 ;20640 ;"       20.64" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;4 ;0 ;3 ;21050 ;"       21.05" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;3 ;0 ;4 ;21270 ;"       21.27" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;5 ;0 ;5 ;22120 ;"       22.12" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;2 ;0 ;6 ;27870 ;"       27.87" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;1 ;30020 ;"       30.02" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;2 ;30270 ;"       30.27" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;1 ;0 ;3 ;30930 ;"       30.93" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;5 ;0 ;4 ;33110 ;"       33.11" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;6 ;0 ;5 ;33480 ;"       33.48" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;2 ;0 ;6 ;35290 ;"       35.29" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;4 ;0 ;1 ;65090 ;"     1:05.09" ;" " ;65250 ;"     1:05.25" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;1 ;0 ;2 ;65160 ;"     1:05.16" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;3 ;0 ;3 ;65440 ;"     1:05.44" ;" " ;65400 ;"     1:05.40" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;6 ;0 ;4 ;70450 ;"     1:10.45" ;" " ;70570 ;"     1:10.57" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;5 ;0 ;5 ;71470 ;"     1:11.47" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;2 ;0 ;6 ;74210 ;"     1:14.21" ;" " ;74290 ;"     1:14.29" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;0 ;0 ;0 ;0 ;67625110 ;" 18:47:05.11" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;3 ;0 ;1 ;32670 ;"       32.67" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;4 ;0 ;2 ;35650 ;"       35.65" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;2 ;0 ;3 ;37770 ;"       37.77" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;1 ;0 ;4 ;38030 ;"       38.03" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;6 ;0 ;5 ;38160 ;"       38.16" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;5 ;0 ;6 ;39550 ;"       39.55" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;3 ;0 ;1 ;68140 ;"     1:08.14" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;4 ;0 ;2 ;72430 ;"     1:12.43" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
