event;round;nbHeat;idLen;idStyle;abCat;date;time
601 ;0 ;1 ;3 ;0 ;"G" ;"12/07/08" ;"00:00" ;
603 ;0 ;5 ;1 ;4 ;"G" ;"12/07/08" ;"00:00" ;
607 ;0 ;4 ;1 ;4 ;"B" ;"12/07/08" ;"00:00" ;
611 ;0 ;3 ;2 ;4 ;"G" ;"12/07/08" ;"00:00" ;
615 ;0 ;2 ;2 ;4 ;"B" ;"12/07/08" ;"00:00" ;
701 ;0 ;1 ;0 ;2 ;"G" ;"12/07/08" ;"00:00" ;
702 ;0 ;1 ;0 ;2 ;"B" ;"12/07/08" ;"00:00" ;
703 ;0 ;3 ;1 ;3 ;"G" ;"12/07/08" ;"00:00" ;
707 ;0 ;2 ;1 ;3 ;"B" ;"12/07/08" ;"00:00" ;
710 ;0 ;2 ;1 ;1 ;"G" ;"12/07/08" ;"00:00" ;
714 ;0 ;2 ;1 ;1 ;"B" ;"12/07/08" ;"00:00" ;
718 ;0 ;5 ;0 ;0 ;"G" ;"12/07/08" ;"00:00" ;
722 ;0 ;4 ;0 ;0 ;"B" ;"12/07/08" ;"00:00" ;
726 ;0 ;2 ;0 ;2 ;"G" ;"12/07/08" ;"00:00" ;
730 ;0 ;3 ;0 ;2 ;"B" ;"12/07/08" ;"00:00" ;
734 ;0 ;1 ;2 ;3 ;"G" ;"12/07/08" ;"00:00" ;
735 ;0 ;0 ;2 ;3 ;"B" ;"12/07/08" ;"00:00" ;
736 ;0 ;4 ;2 ;2 ;"G" ;"12/07/08" ;"00:00" ;
740 ;0 ;3 ;2 ;2 ;"B" ;"12/07/08" ;"00:00" ;
744 ;0 ;2 ;2 ;3 ;"G" ;"12/07/08" ;"00:00" ;
748 ;0 ;2 ;2 ;3 ;"B" ;"12/07/08" ;"00:00" ;
801 ;0 ;1 ;0 ;0 ;"G" ;"12/07/08" ;"00:00" ;
802 ;0 ;2 ;0 ;0 ;"B" ;"12/07/08" ;"00:00" ;
803 ;0 ;4 ;1 ;1 ;"G" ;"12/07/08" ;"00:00" ;
807 ;0 ;4 ;1 ;1 ;"B" ;"12/07/08" ;"00:00" ;
810 ;0 ;2 ;1 ;3 ;"G" ;"12/07/08" ;"00:00" ;
814 ;0 ;2 ;1 ;3 ;"B" ;"12/07/08" ;"00:00" ;
818 ;0 ;5 ;0 ;2 ;"G" ;"12/07/08" ;"00:00" ;
822 ;0 ;4 ;0 ;2 ;"B" ;"12/07/08" ;"00:00" ;
826 ;0 ;3 ;0 ;0 ;"G" ;"12/07/08" ;"00:00" ;
830 ;0 ;4 ;0 ;0 ;"B" ;"12/07/08" ;"00:00" ;
834 ;0 ;1 ;2 ;1 ;"G" ;"12/07/08" ;"00:00" ;
836 ;0 ;3 ;2 ;3 ;"G" ;"12/07/08" ;"00:00" ;
840 ;0 ;2 ;2 ;3 ;"B" ;"12/07/08" ;"00:00" ;
844 ;0 ;2 ;2 ;1 ;"G" ;"12/07/08" ;"00:00" ;
848 ;0 ;2 ;2 ;1 ;"B" ;"12/07/08" ;"00:00" ;
901 ;0 ;2 ;3 ;4 ;"G" ;"12/07/08" ;"00:00" ;
905 ;0 ;2 ;3 ;4 ;"B" ;"12/07/08" ;"00:00" ;
908 ;0 ;2 ;3 ;4 ;"G" ;"12/07/08" ;"00:00" ;
912 ;0 ;2 ;3 ;4 ;"B" ;"12/07/08" ;"00:00" ;
999 ;4 ;1 ;0 ;0 ;"M" ;"12/07/08" ;"00:00" ;
