event; round;heat;lane;relais;idBib;
601 ;0 ;0 ;2 ;0 ;109 ;
601 ;0 ;0 ;3 ;0 ;102 ;
601 ;0 ;0 ;4 ;0 ;103 ;
603 ;0 ;0 ;2 ;0 ;97 ;
603 ;0 ;0 ;3 ;0 ;36 ;
603 ;0 ;0 ;4 ;0 ;19 ;
603 ;0 ;0 ;5 ;0 ;69 ;
603 ;0 ;1 ;2 ;0 ;111 ;
603 ;0 ;1 ;3 ;0 ;49 ;
603 ;0 ;1 ;4 ;0 ;92 ;
603 ;0 ;1 ;5 ;0 ;76 ;
603 ;0 ;2 ;1 ;0 ;98 ;
603 ;0 ;2 ;2 ;0 ;40 ;
603 ;0 ;2 ;3 ;0 ;94 ;
603 ;0 ;2 ;4 ;0 ;85 ;
603 ;0 ;2 ;5 ;0 ;55 ;
603 ;0 ;2 ;6 ;0 ;86 ;
603 ;0 ;3 ;1 ;0 ;74 ;
603 ;0 ;3 ;2 ;0 ;61 ;
603 ;0 ;3 ;3 ;0 ;110 ;
603 ;0 ;3 ;4 ;0 ;113 ;
603 ;0 ;3 ;5 ;0 ;95 ;
603 ;0 ;3 ;6 ;0 ;5 ;
603 ;0 ;4 ;1 ;0 ;18 ;
603 ;0 ;4 ;2 ;0 ;81 ;
603 ;0 ;4 ;3 ;0 ;41 ;
603 ;0 ;4 ;4 ;0 ;54 ;
603 ;0 ;4 ;5 ;0 ;17 ;
603 ;0 ;4 ;6 ;0 ;4 ;
607 ;0 ;0 ;1 ;0 ;42 ;
607 ;0 ;0 ;2 ;0 ;65 ;
607 ;0 ;0 ;3 ;0 ;101 ;
607 ;0 ;0 ;4 ;0 ;77 ;
607 ;0 ;0 ;5 ;0 ;23 ;
607 ;0 ;1 ;1 ;0 ;25 ;
607 ;0 ;1 ;2 ;0 ;105 ;
607 ;0 ;1 ;3 ;0 ;67 ;
607 ;0 ;1 ;4 ;0 ;26 ;
607 ;0 ;1 ;5 ;0 ;80 ;
607 ;0 ;2 ;1 ;0 ;14 ;
607 ;0 ;2 ;2 ;0 ;1 ;
607 ;0 ;2 ;3 ;0 ;53 ;
607 ;0 ;2 ;4 ;0 ;7 ;
607 ;0 ;2 ;5 ;0 ;29 ;
607 ;0 ;2 ;6 ;0 ;13 ;
607 ;0 ;3 ;1 ;0 ;37 ;
607 ;0 ;3 ;2 ;0 ;38 ;
607 ;0 ;3 ;3 ;0 ;44 ;
607 ;0 ;3 ;4 ;0 ;73 ;
607 ;0 ;3 ;5 ;0 ;22 ;
607 ;0 ;3 ;6 ;0 ;51 ;
611 ;0 ;0 ;2 ;0 ;27 ;
611 ;0 ;0 ;3 ;0 ;104 ;
611 ;0 ;0 ;4 ;0 ;72 ;
611 ;0 ;1 ;2 ;0 ;35 ;
611 ;0 ;1 ;3 ;0 ;9 ;
611 ;0 ;1 ;4 ;0 ;43 ;
611 ;0 ;1 ;5 ;0 ;39 ;
611 ;0 ;2 ;1 ;0 ;8 ;
611 ;0 ;2 ;2 ;0 ;12 ;
611 ;0 ;2 ;3 ;0 ;3 ;
611 ;0 ;2 ;4 ;0 ;10 ;
611 ;0 ;2 ;5 ;0 ;24 ;
611 ;0 ;2 ;6 ;0 ;71 ;
615 ;0 ;0 ;1 ;0 ;91 ;
615 ;0 ;0 ;2 ;0 ;45 ;
615 ;0 ;0 ;3 ;0 ;93 ;
615 ;0 ;0 ;4 ;0 ;16 ;
615 ;0 ;0 ;5 ;0 ;59 ;
615 ;0 ;1 ;1 ;0 ;84 ;
615 ;0 ;1 ;2 ;0 ;2 ;
615 ;0 ;1 ;3 ;0 ;68 ;
615 ;0 ;1 ;4 ;0 ;58 ;
615 ;0 ;1 ;5 ;0 ;15 ;
615 ;0 ;1 ;6 ;0 ;48 ;
701 ;0 ;0 ;2 ;0 ;114 ;
701 ;0 ;0 ;3 ;0 ;102 ;
701 ;0 ;0 ;4 ;0 ;88 ;
701 ;0 ;0 ;5 ;0 ;33 ;
702 ;0 ;0 ;1 ;0 ;60 ;
702 ;0 ;0 ;2 ;0 ;109 ;
702 ;0 ;0 ;3 ;0 ;89 ;
702 ;0 ;0 ;4 ;0 ;103 ;
702 ;0 ;0 ;5 ;0 ;75 ;
703 ;0 ;0 ;1 ;0 ;30 ;
703 ;0 ;0 ;2 ;0 ;111 ;
703 ;0 ;0 ;3 ;0 ;49 ;
703 ;0 ;0 ;4 ;0 ;74 ;
703 ;0 ;0 ;5 ;0 ;55 ;
703 ;0 ;1 ;1 ;0 ;86 ;
703 ;0 ;1 ;2 ;0 ;110 ;
703 ;0 ;1 ;3 ;0 ;61 ;
703 ;0 ;1 ;4 ;0 ;113 ;
703 ;0 ;1 ;5 ;0 ;5 ;
703 ;0 ;1 ;6 ;0 ;18 ;
703 ;0 ;2 ;1 ;0 ;95 ;
703 ;0 ;2 ;2 ;0 ;81 ;
703 ;0 ;2 ;3 ;0 ;54 ;
703 ;0 ;2 ;4 ;0 ;17 ;
703 ;0 ;2 ;5 ;0 ;41 ;
703 ;0 ;2 ;6 ;0 ;4 ;
707 ;0 ;0 ;1 ;0 ;80 ;
707 ;0 ;0 ;2 ;0 ;23 ;
707 ;0 ;0 ;3 ;0 ;13 ;
707 ;0 ;0 ;4 ;0 ;14 ;
707 ;0 ;0 ;5 ;0 ;7 ;
707 ;0 ;1 ;1 ;0 ;29 ;
707 ;0 ;1 ;2 ;0 ;22 ;
707 ;0 ;1 ;3 ;0 ;44 ;
707 ;0 ;1 ;4 ;0 ;51 ;
707 ;0 ;1 ;5 ;0 ;38 ;
707 ;0 ;1 ;6 ;0 ;53 ;
710 ;0 ;0 ;1 ;0 ;27 ;
710 ;0 ;0 ;2 ;0 ;35 ;
710 ;0 ;0 ;3 ;0 ;104 ;
710 ;0 ;0 ;4 ;0 ;71 ;
710 ;0 ;0 ;5 ;0 ;39 ;
710 ;0 ;1 ;1 ;0 ;8 ;
710 ;0 ;1 ;2 ;0 ;24 ;
710 ;0 ;1 ;3 ;0 ;3 ;
710 ;0 ;1 ;4 ;0 ;10 ;
710 ;0 ;1 ;5 ;0 ;34 ;
710 ;0 ;1 ;6 ;0 ;21 ;
714 ;0 ;0 ;1 ;0 ;115 ;
714 ;0 ;0 ;2 ;0 ;6 ;
714 ;0 ;0 ;3 ;0 ;91 ;
714 ;0 ;0 ;4 ;0 ;87 ;
714 ;0 ;0 ;5 ;0 ;48 ;
714 ;0 ;1 ;1 ;0 ;15 ;
714 ;0 ;1 ;2 ;0 ;58 ;
