id;event;round ;heat
1 ;999 ;4 ;0 ;
2 ;601 ;0 ;0 ;
3 ;603 ;0 ;0 ;
4 ;607 ;0 ;0 ;
5 ;603 ;0 ;1 ;
6 ;603 ;0 ;2 ;
7 ;603 ;0 ;3 ;
8 ;603 ;0 ;4 ;
9 ;607 ;0 ;0 ;
10 ;607 ;0 ;0 ;
11 ;607 ;0 ;1 ;
12 ;607 ;0 ;2 ;
13 ;607 ;0 ;3 ;
14 ;611 ;0 ;0 ;
15 ;611 ;0 ;1 ;
16 ;611 ;0 ;2 ;
17 ;615 ;0 ;0 ;
18 ;615 ;0 ;1 ;
19 ;701 ;0 ;0 ;
20 ;701 ;0 ;0 ;
21 ;702 ;0 ;0 ;
22 ;703 ;0 ;0 ;
23 ;703 ;0 ;1 ;
24 ;703 ;0 ;2 ;
25 ;707 ;0 ;0 ;
26 ;707 ;0 ;1 ;
27 ;710 ;0 ;0 ;
28 ;710 ;0 ;1 ;
29 ;714 ;0 ;0 ;
30 ;714 ;0 ;1 ;
31 ;718 ;0 ;0 ;
32 ;718 ;0 ;1 ;
33 ;718 ;0 ;2 ;
34 ;718 ;0 ;3 ;
35 ;718 ;0 ;4 ;
36 ;722 ;0 ;0 ;
37 ;722 ;0 ;1 ;
38 ;722 ;0 ;2 ;
39 ;722 ;0 ;3 ;
40 ;726 ;0 ;0 ;
41 ;726 ;0 ;1 ;
42 ;730 ;0 ;0 ;
43 ;730 ;0 ;1 ;
44 ;730 ;0 ;2 ;
45 ;736 ;0 ;0 ;
46 ;736 ;0 ;1 ;
47 ;736 ;0 ;2 ;
48 ;736 ;0 ;3 ;
49 ;740 ;0 ;0 ;
50 ;740 ;0 ;1 ;
51 ;740 ;0 ;2 ;
52 ;744 ;0 ;0 ;
53 ;744 ;0 ;1 ;
54 ;748 ;0 ;0 ;
55 ;748 ;0 ;1 ;
56 ;801 ;0 ;0 ;
57 ;802 ;0 ;0 ;
58 ;802 ;0 ;1 ;
59 ;803 ;0 ;0 ;
60 ;803 ;0 ;1 ;
61 ;803 ;0 ;2 ;
62 ;803 ;0 ;3 ;
63 ;807 ;0 ;0 ;
64 ;807 ;0 ;1 ;
65 ;807 ;0 ;2 ;
66 ;807 ;0 ;3 ;
67 ;810 ;0 ;0 ;
68 ;810 ;0 ;1 ;
69 ;814 ;0 ;0 ;
70 ;814 ;0 ;1 ;
71 ;818 ;0 ;0 ;
72 ;818 ;0 ;1 ;
73 ;818 ;0 ;2 ;
74 ;818 ;0 ;3 ;
75 ;818 ;0 ;4 ;
76 ;822 ;0 ;0 ;
77 ;822 ;0 ;1 ;
78 ;822 ;0 ;2 ;
79 ;822 ;0 ;3 ;
80 ;826 ;0 ;0 ;
81 ;826 ;0 ;1 ;
82 ;826 ;0 ;2 ;
83 ;830 ;0 ;0 ;
84 ;830 ;0 ;1 ;
85 ;830 ;0 ;2 ;
86 ;830 ;0 ;3 ;
87 ;834 ;0 ;0 ;
88 ;836 ;0 ;0 ;
89 ;836 ;0 ;1 ;
90 ;836 ;0 ;2 ;
91 ;840 ;0 ;0 ;
92 ;840 ;0 ;1 ;
93 ;844 ;0 ;0 ;
94 ;844 ;0 ;1 ;
95 ;848 ;0 ;0 ;
96 ;848 ;0 ;1 ;
97 ;901 ;0 ;0 ;
98 ;901 ;0 ;1 ;
99 ;905 ;0 ;0 ;
100 ;905 ;0 ;1 ;
101 ;908 ;0 ;0 ;
102 ;908 ;0 ;1 ;
103 ;912 ;0 ;0 ;
104 ;912 ;0 ;1 ;
