event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
999 ;0 ;0 ;0 ;0 ;0 ;0 ;65106220 ;" 18:05:06.22" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;4 ;0 ;1 ;19990 ;"       19.99" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;5 ;0 ;2 ;20130 ;"       20.13" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;3 ;0 ;3 ;20580 ;"       20.58" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;6 ;0 ;4 ;22050 ;"       22.05" ;" " ;20640 ;"       20.64" ;"A" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;2 ;0 ;5 ;22110 ;"       22.11" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;1 ;0 ;6 ;42610 ;"       42.61" ;" " ;34570 ;"       34.57" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;0 ;0 ;0 ;0 ;66605230 ;" 18:30:05.23" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;3 ;0 ;1 ;230 ;"        0.23" ;"E" ;230 ;"        0.23" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;2 ;36050 ;"       36.05" ;" " ;36080 ;"       36.08" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;1 ;0 ;3 ;40330 ;"       40.33" ;" " ;40410 ;"       40.41" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;4 ;41820 ;"       41.82" ;" " ;41940 ;"       41.94" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;5 ;43690 ;"       43.69" ;" " ;43740 ;"       43.74" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;6 ;0 ;6 ;49690 ;"       49.69" ;"E" ;49690 ;"       49.69" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;66728790 ;" 18:32:08.79" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;5 ;0 ;1 ;38640 ;"       38.64" ;" " ;38690 ;"       38.69" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;1 ;0 ;2 ;42890 ;"       42.89" ;" " ;40670 ;"       40.67" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;2 ;0 ;3 ;44240 ;"       44.24" ;" " ;43160 ;"       43.16" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;4 ;45250 ;"       45.25" ;" " ;45360 ;"       45.36" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;6 ;0 ;5 ;52160 ;"       52.16" ;"E" ;52160 ;"       52.16" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;0 ;0 ;"" ;"" ;200 ;"        0.20" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;0 ;0 ;0 ;0 ;66971740 ;" 18:36:11.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;1 ;0 ;1 ;37230 ;"       37.23" ;" " ;37320 ;"       37.32" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;2 ;0 ;2 ;37530 ;"       37.53" ;" " ;37550 ;"       37.55" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;5 ;0 ;3 ;38480 ;"       38.48" ;" " ;38470 ;"       38.47" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;6 ;0 ;4 ;38540 ;"       38.54" ;" " ;38630 ;"       38.63" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;4 ;0 ;5 ;38680 ;"       38.68" ;" " ;38770 ;"       38.77" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;3 ;0 ;6 ;41600 ;"       41.60" ;" " ;41720 ;"       41.72" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;0 ;0 ;0 ;0 ;67089990 ;" 18:38:09.99" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;5 ;0 ;1 ;37430 ;"       37.43" ;" " ;37470 ;"       37.47" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;2 ;0 ;2 ;39770 ;"       39.77" ;" " ;39850 ;"       39.85" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;4 ;0 ;3 ;40860 ;"       40.86" ;"E" ;40860 ;"       40.86" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;3 ;0 ;4 ;42050 ;"       42.05" ;" " ;42130 ;"       42.13" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;1 ;0 ;5 ;46500 ;"       46.50" ;" " ;46640 ;"       46.64" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;6 ;0 ;6 ;48400 ;"       48.40" ;" " ;47830 ;"       47.83" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;0 ;0 ;0 ;0 ;67178310 ;" 18:39:38.31" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;2 ;0 ;1 ;32350 ;"       32.35" ;" " ;32430 ;"       32.43" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;5 ;0 ;2 ;32570 ;"       32.57" ;" " ;32610 ;"       32.61" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;1 ;0 ;3 ;33530 ;"       33.53" ;" " ;33590 ;"       33.59" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;4 ;0 ;4 ;33620 ;"       33.62" ;" " ;33700 ;"       33.70" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;3 ;0 ;5 ;35650 ;"       35.65" ;" " ;35700 ;"       35.70" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;6 ;0 ;6 ;40360 ;"       40.36" ;" " ;40410 ;"       40.41" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;0 ;0 ;0 ;0 ;67256450 ;" 18:40:56.45" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;2 ;0 ;1 ;27030 ;"       27.03" ;" " ;27030 ;"       27.03" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;5 ;0 ;2 ;33200 ;"       33.20" ;" " ;33260 ;"       33.26" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;1 ;0 ;3 ;35480 ;"       35.48" ;" " ;35470 ;"       35.47" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;3 ;0 ;4 ;35520 ;"       35.52" ;" " ;35590 ;"       35.59" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;4 ;0 ;5 ;35680 ;"       35.68" ;" " ;35720 ;"       35.72" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;6 ;0 ;6 ;37560 ;"       37.56" ;" " ;37480 ;"       37.48" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;0 ;0 ;0 ;0 ;67392620 ;" 18:43:12.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;2 ;0 ;1 ;45590 ;"       45.59" ;" " ;45670 ;"       45.67" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;4 ;0 ;2 ;47740 ;"       47.74" ;" " ;47860 ;"       47.86" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;1 ;0 ;3 ;51600 ;"       51.60" ;" " ;51510 ;"       51.51" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;5 ;0 ;4 ;53040 ;"       53.04" ;" " ;53130 ;"       53.13" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;6 ;0 ;5 ;70210 ;"     1:10.21" ;"E" ;70210 ;"     1:10.21" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;0 ;0 ;0 ;0 ;67497180 ;" 18:44:57.18" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;2 ;0 ;1 ;42250 ;"       42.25" ;" " ;42370 ;"       42.37" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;5 ;0 ;2 ;44090 ;"       44.09" ;" " ;44190 ;"       44.19" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;3 ;0 ;3 ;46700 ;"       46.70" ;" " ;46780 ;"       46.78" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;4 ;0 ;4 ;49280 ;"       49.28" ;" " ;49390 ;"       49.39" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;1 ;0 ;5 ;49660 ;"       49.66" ;" " ;49690 ;"       49.69" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;6 ;0 ;6 ;58430 ;"       58.43" ;" " ;58510 ;"       58.51" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;0 ;0 ;0 ;0 ;67590870 ;" 18:46:30.87" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;5 ;0 ;1 ;30870 ;"       30.87" ;" " ;30930 ;"       30.93" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;2 ;0 ;2 ;31260 ;"       31.26" ;" " ;31300 ;"       31.30" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;1 ;0 ;3 ;32090 ;"       32.09" ;" " ;32230 ;"       32.23" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;4 ;0 ;4 ;32190 ;"       32.19" ;" " ;32220 ;"       32.22" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;3 ;0 ;5 ;36650 ;"       36.65" ;" " ;36550 ;"       36.55" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;6 ;0 ;6 ;43390 ;"       43.39" ;" " ;43110 ;"       43.11" ;"A" ;0 ;"" ;"" ;
10 ;0 ;0 ;0 ;0 ;0 ;0 ;67667150 ;" 18:47:47.15" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
