event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
101 ;0 ;0 ;0 ;0 ;0 ;0 ;50645830 ;" 14:04:05.83" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;0 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;25 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;3 ;0 ;1 ;42610 ;"       42.61" ;"E" ;42610 ;"       42.61" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;5 ;0 ;2 ;44490 ;"       44.49" ;" " ;44540 ;"       44.54" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;4 ;0 ;3 ;46130 ;"       46.13" ;"E" ;46130 ;"       46.13" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;0 ;0 ;0 ;0 ;50810530 ;" 14:06:50.53" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;4 ;0 ;1 ;44800 ;"       44.80" ;" " ;45060 ;"       45.06" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;3 ;0 ;2 ;46210 ;"       46.21" ;"E" ;46210 ;"       46.21" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;5 ;0 ;3 ;46640 ;"       46.64" ;" " ;46430 ;"       46.43" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;2 ;0 ;4 ;52640 ;"       52.64" ;"E" ;52640 ;"       52.64" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;0 ;0 ;0 ;0 ;50916890 ;" 14:08:36.89" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;5 ;0 ;1 ;40520 ;"       40.52" ;" " ;40550 ;"       40.55" ;"A" ;0 ;"" ;"" ;
