event; round;heat;lane;relais;idBib;
201 ;0 ;0 ;1 ;0 ;73 ;
201 ;0 ;0 ;2 ;0 ;57 ;
201 ;0 ;0 ;3 ;0 ;147 ;
201 ;0 ;0 ;4 ;0 ;105 ;
201 ;0 ;0 ;5 ;0 ;149 ;
201 ;0 ;0 ;6 ;0 ;150 ;
201 ;0 ;1 ;1 ;0 ;135 ;
201 ;0 ;1 ;2 ;0 ;168 ;
201 ;0 ;1 ;3 ;0 ;86 ;
201 ;0 ;1 ;4 ;0 ;9 ;
201 ;0 ;1 ;5 ;0 ;142 ;
201 ;0 ;1 ;6 ;0 ;31 ;
201 ;0 ;2 ;1 ;0 ;106 ;
201 ;0 ;2 ;2 ;0 ;4 ;
201 ;0 ;2 ;3 ;0 ;182 ;
201 ;0 ;2 ;4 ;0 ;17 ;
201 ;0 ;2 ;5 ;0 ;46 ;
201 ;0 ;2 ;6 ;0 ;121 ;
201 ;0 ;3 ;1 ;0 ;154 ;
201 ;0 ;3 ;2 ;0 ;96 ;
201 ;0 ;3 ;3 ;0 ;14 ;
201 ;0 ;3 ;4 ;0 ;5 ;
201 ;0 ;3 ;5 ;0 ;88 ;
201 ;0 ;3 ;6 ;0 ;181 ;
201 ;0 ;4 ;1 ;0 ;165 ;
201 ;0 ;4 ;2 ;0 ;72 ;
201 ;0 ;4 ;3 ;0 ;60 ;
201 ;0 ;4 ;4 ;0 ;32 ;
201 ;0 ;4 ;5 ;0 ;122 ;
201 ;0 ;4 ;6 ;0 ;107 ;
201 ;0 ;5 ;1 ;0 ;94 ;
201 ;0 ;5 ;2 ;0 ;110 ;
201 ;0 ;5 ;3 ;0 ;33 ;
201 ;0 ;5 ;4 ;0 ;176 ;
201 ;0 ;5 ;5 ;0 ;6 ;
201 ;0 ;5 ;6 ;0 ;162 ;
204 ;0 ;0 ;1 ;0 ;18 ;
204 ;0 ;0 ;2 ;0 ;7 ;
204 ;0 ;0 ;3 ;0 ;25 ;
204 ;0 ;0 ;4 ;0 ;98 ;
204 ;0 ;0 ;5 ;0 ;83 ;
204 ;0 ;1 ;1 ;0 ;29 ;
204 ;0 ;1 ;2 ;0 ;143 ;
204 ;0 ;1 ;3 ;0 ;111 ;
204 ;0 ;1 ;4 ;0 ;70 ;
204 ;0 ;1 ;5 ;0 ;151 ;
204 ;0 ;1 ;6 ;0 ;2 ;
204 ;0 ;2 ;1 ;0 ;20 ;
204 ;0 ;2 ;2 ;0 ;167 ;
204 ;0 ;2 ;3 ;0 ;77 ;
204 ;0 ;2 ;4 ;0 ;187 ;
204 ;0 ;2 ;5 ;0 ;15 ;
204 ;0 ;2 ;6 ;0 ;92 ;
204 ;0 ;3 ;1 ;0 ;76 ;
204 ;0 ;3 ;2 ;0 ;159 ;
