id;event;round ;heat
1 ;101 ;0 ;0 ;
2 ;101 ;0 ;1 ;
3 ;101 ;0 ;2 ;
4 ;101 ;0 ;3 ;
5 ;101 ;0 ;4 ;
6 ;101 ;0 ;5 ;
7 ;101 ;0 ;6 ;
8 ;101 ;0 ;7 ;
9 ;101 ;0 ;8 ;
10 ;101 ;0 ;8 ;
11 ;101 ;0 ;9 ;
12 ;101 ;0 ;10 ;
13 ;103 ;0 ;0 ;
14 ;103 ;0 ;1 ;
15 ;103 ;0 ;2 ;
16 ;103 ;0 ;3 ;
17 ;103 ;0 ;4 ;
18 ;103 ;0 ;5 ;
19 ;105 ;0 ;0 ;
20 ;105 ;0 ;1 ;
21 ;105 ;0 ;2 ;
22 ;105 ;0 ;3 ;
23 ;105 ;0 ;4 ;
24 ;105 ;0 ;5 ;
25 ;105 ;0 ;6 ;
26 ;105 ;0 ;7 ;
27 ;105 ;0 ;8 ;
28 ;105 ;0 ;9 ;
29 ;107 ;0 ;0 ;
30 ;107 ;0 ;1 ;
31 ;107 ;0 ;2 ;
32 ;107 ;0 ;3 ;
33 ;107 ;0 ;4 ;
34 ;109 ;0 ;0 ;
35 ;109 ;0 ;1 ;
36 ;109 ;0 ;2 ;
37 ;109 ;0 ;3 ;
38 ;109 ;0 ;4 ;
39 ;109 ;0 ;5 ;
40 ;109 ;0 ;6 ;
41 ;109 ;0 ;7 ;
42 ;109 ;0 ;8 ;
43 ;109 ;0 ;9 ;
44 ;109 ;0 ;10 ;
45 ;111 ;0 ;0 ;
46 ;111 ;0 ;1 ;
47 ;111 ;0 ;2 ;
48 ;111 ;0 ;3 ;
49 ;111 ;0 ;4 ;
50 ;111 ;0 ;5 ;
51 ;111 ;0 ;6 ;
52 ;113 ;0 ;0 ;
53 ;113 ;0 ;1 ;
54 ;113 ;0 ;2 ;
55 ;113 ;0 ;3 ;
56 ;113 ;0 ;4 ;
57 ;113 ;0 ;5 ;
58 ;113 ;0 ;6 ;
59 ;115 ;0 ;0 ;
60 ;115 ;0 ;1 ;
61 ;115 ;0 ;2 ;
62 ;115 ;0 ;3 ;
63 ;115 ;0 ;4 ;
64 ;115 ;0 ;5 ;
65 ;201 ;0 ;0 ;
66 ;201 ;0 ;1 ;
67 ;201 ;0 ;2 ;
68 ;201 ;0 ;3 ;
69 ;201 ;0 ;4 ;
70 ;201 ;0 ;5 ;
71 ;204 ;0 ;0 ;
72 ;204 ;0 ;1 ;
73 ;204 ;0 ;2 ;
74 ;204 ;0 ;3 ;
75 ;204 ;0 ;4 ;
76 ;207 ;0 ;0 ;
77 ;207 ;0 ;1 ;
78 ;207 ;0 ;2 ;
79 ;207 ;0 ;3 ;
80 ;207 ;0 ;4 ;
81 ;207 ;0 ;5 ;
82 ;207 ;0 ;6 ;
83 ;210 ;0 ;0 ;
84 ;210 ;0 ;1 ;
85 ;210 ;0 ;2 ;
86 ;210 ;0 ;3 ;
87 ;210 ;0 ;4 ;
88 ;213 ;0 ;0 ;
89 ;213 ;0 ;1 ;
90 ;213 ;0 ;2 ;
91 ;213 ;0 ;3 ;
92 ;213 ;0 ;4 ;
93 ;213 ;0 ;5 ;
94 ;216 ;0 ;0 ;
95 ;216 ;0 ;0 ;
96 ;216 ;0 ;1 ;
97 ;216 ;0 ;2 ;
98 ;216 ;0 ;3 ;
99 ;216 ;0 ;4 ;
100 ;216 ;0 ;5 ;
101 ;219 ;0 ;0 ;
102 ;219 ;0 ;1 ;
103 ;219 ;0 ;2 ;
104 ;219 ;0 ;3 ;
105 ;219 ;0 ;4 ;
106 ;219 ;0 ;5 ;
107 ;222 ;0 ;0 ;
108 ;222 ;0 ;1 ;
109 ;222 ;0 ;2 ;
110 ;222 ;0 ;3 ;
111 ;222 ;0 ;4 ;
112 ;222 ;0 ;5 ;
113 ;300 ;0 ;0 ;
114 ;300 ;0 ;1 ;
115 ;300 ;0 ;2 ;
116 ;300 ;0 ;3 ;
117 ;300 ;0 ;4 ;
118 ;300 ;0 ;5 ;
119 ;300 ;0 ;6 ;
120 ;300 ;0 ;7 ;
