id;event;round ;heat
1 ;101 ;0 ;0 ;
2 ;101 ;0 ;1 ;
3 ;101 ;0 ;2 ;
4 ;101 ;0 ;3 ;
5 ;101 ;0 ;4 ;
6 ;104 ;0 ;0 ;
7 ;104 ;0 ;1 ;
8 ;104 ;0 ;2 ;
9 ;104 ;0 ;3 ;
10 ;104 ;0 ;4 ;
11 ;107 ;0 ;0 ;
12 ;107 ;0 ;1 ;
13 ;107 ;0 ;2 ;
14 ;107 ;0 ;3 ;
15 ;110 ;0 ;0 ;
16 ;110 ;0 ;1 ;
17 ;110 ;0 ;2 ;
18 ;114 ;0 ;0 ;
19 ;114 ;0 ;1 ;
20 ;114 ;0 ;2 ;
21 ;114 ;0 ;3 ;
22 ;114 ;0 ;4 ;
23 ;114 ;0 ;5 ;
24 ;114 ;0 ;6 ;
25 ;114 ;0 ;7 ;
26 ;114 ;0 ;8 ;
27 ;114 ;0 ;9 ;
28 ;120 ;0 ;0 ;
29 ;120 ;0 ;1 ;
30 ;120 ;0 ;2 ;
31 ;120 ;0 ;3 ;
32 ;120 ;0 ;4 ;
33 ;120 ;0 ;5 ;
34 ;120 ;0 ;6 ;
35 ;127 ;0 ;0 ;
36 ;127 ;0 ;1 ;
37 ;127 ;0 ;2 ;
38 ;127 ;0 ;3 ;
39 ;127 ;0 ;4 ;
40 ;131 ;0 ;0 ;
41 ;131 ;0 ;1 ;
42 ;131 ;0 ;2 ;
43 ;135 ;0 ;0 ;
44 ;135 ;0 ;1 ;
45 ;141 ;0 ;0 ;
46 ;141 ;0 ;1 ;
47 ;141 ;0 ;2 ;
48 ;201 ;0 ;0 ;
49 ;201 ;0 ;1 ;
50 ;201 ;0 ;2 ;
51 ;201 ;0 ;3 ;
52 ;204 ;0 ;0 ;
53 ;204 ;0 ;1 ;
54 ;204 ;0 ;2 ;
55 ;204 ;0 ;3 ;
56 ;204 ;0 ;4 ;
57 ;207 ;0 ;0 ;
58 ;207 ;0 ;1 ;
59 ;207 ;0 ;2 ;
60 ;207 ;0 ;3 ;
61 ;207 ;0 ;4 ;
62 ;210 ;0 ;0 ;
63 ;210 ;0 ;1 ;
64 ;214 ;0 ;0 ;
65 ;214 ;0 ;1 ;
66 ;214 ;0 ;2 ;
67 ;214 ;0 ;3 ;
68 ;214 ;0 ;4 ;
69 ;214 ;0 ;5 ;
70 ;220 ;0 ;0 ;
71 ;220 ;0 ;1 ;
72 ;220 ;0 ;2 ;
73 ;220 ;0 ;3 ;
74 ;220 ;0 ;4 ;
75 ;220 ;0 ;5 ;
76 ;220 ;0 ;6 ;
77 ;227 ;0 ;0 ;
78 ;227 ;0 ;1 ;
79 ;227 ;0 ;2 ;
80 ;227 ;0 ;3 ;
81 ;227 ;0 ;4 ;
82 ;227 ;0 ;5 ;
83 ;227 ;0 ;6 ;
84 ;231 ;0 ;0 ;
85 ;231 ;0 ;1 ;
86 ;231 ;0 ;2 ;
87 ;231 ;0 ;3 ;
