event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
999 ;0 ;0 ;0 ;0 ;0 ;0 ;39565850 ;" 10:59:25.85" ;"M" ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;5 ;0 ;1 ;20000 ;"       20.00" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;4 ;0 ;2 ;34680 ;"       34.68" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;3 ;0 ;3 ;37090 ;"       37.09" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;2 ;0 ;4 ;41810 ;"       41.81" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;1 ;0 ;5 ;42270 ;"       42.27" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;0 ;0 ;50 ;6 ;0 ;6 ;60430 ;"     1:00.43" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;0 ;0 ;0 ;0 ;39794810 ;" 11:03:14.81" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;6 ;0 ;1 ;33140 ;"       33.14" ;" " ;33110 ;"       33.11" ;"A" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;5 ;0 ;2 ;35660 ;"       35.66" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;4 ;0 ;3 ;37500 ;"       37.50" ;" " ;37450 ;"       37.45" ;"A" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;3 ;0 ;4 ;37690 ;"       37.69" ;" " ;37990 ;"       37.99" ;"A" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;2 ;0 ;5 ;39390 ;"       39.39" ;" " ;39430 ;"       39.43" ;"A" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;1 ;0 ;6 ;45260 ;"       45.26" ;" " ;45370 ;"       45.37" ;"A" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;6 ;0 ;1 ;70470 ;"     1:10.47" ;" " ;70520 ;"     1:10.52" ;"A" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;5 ;0 ;2 ;77700 ;"     1:17.70" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;4 ;0 ;3 ;79950 ;"     1:19.95" ;" " ;80100 ;"     1:20.10" ;"A" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;3 ;0 ;4 ;83810 ;"     1:23.81" ;" " ;83830 ;"     1:23.83" ;"A" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;2 ;0 ;5 ;85810 ;"     1:25.81" ;" " ;85880 ;"     1:25.88" ;"A" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;1 ;0 ;6 ;98540 ;"     1:38.54" ;" " ;98660 ;"     1:38.66" ;"A" ;0 ;"" ;"" ;
301 ;0 ;1 ;0 ;0 ;0 ;0 ;39953710 ;" 11:05:53.71" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;0 ;1 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;0 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;25 ;1 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;25 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;6 ;0 ;1 ;56060 ;"       56.06" ;" " ;55120 ;"       55.12" ;"A" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;3 ;0 ;2 ;56320 ;"       56.32" ;" " ;56370 ;"       56.37" ;"A" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;2 ;0 ;3 ;57900 ;"       57.90" ;" " ;56040 ;"       56.04" ;"A" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;5 ;0 ;4 ;60680 ;"     1:00.68" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;1 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;75 ;1 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;75 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;5 ;0 ;1 ;84970 ;"     1:24.97" ;"E" ;84970 ;"     1:24.97" ;"A" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;6 ;0 ;2 ;113920 ;"     1:53.92" ;" " ;114020 ;"     1:54.02" ;"A" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;3 ;0 ;3 ;118000 ;"     1:58.00" ;" " ;118120 ;"     1:58.12" ;"A" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;2 ;0 ;4 ;118760 ;"     1:58.76" ;"E" ;118760 ;"     1:58.76" ;"A" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;1 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;0 ;0 ;0 ;0 ;40143690 ;" 11:09:03.69" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;0 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;25 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;50 ;5 ;0 ;1 ;42740 ;"       42.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;50 ;6 ;0 ;2 ;44050 ;"       44.05" ;" " ;44160 ;"       44.16" ;"A" ;0 ;"" ;"" ;
301 ;0 ;2 ;50 ;3 ;0 ;3 ;47680 ;"       47.68" ;" " ;47760 ;"       47.76" ;"A" ;0 ;"" ;"" ;
301 ;0 ;2 ;50 ;1 ;0 ;4 ;48230 ;"       48.23" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;50 ;2 ;0 ;5 ;49200 ;"       49.20" ;" " ;49070 ;"       49.07" ;"A" ;0 ;"" ;"" ;
301 ;0 ;2 ;50 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;75 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;100 ;5 ;0 ;1 ;94350 ;"     1:34.35" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;100 ;6 ;0 ;2 ;95780 ;"     1:35.78" ;" " ;95900 ;"     1:35.90" ;"A" ;0 ;"" ;"" ;
301 ;0 ;2 ;100 ;3 ;0 ;3 ;102040 ;"     1:42.04" ;" " ;102090 ;"     1:42.09" ;"A" ;0 ;"" ;"" ;
301 ;0 ;2 ;100 ;1 ;0 ;4 ;103630 ;"     1:43.63" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;100 ;2 ;0 ;5 ;105460 ;"     1:45.46" ;" " ;105540 ;"     1:45.54" ;"A" ;0 ;"" ;"" ;
301 ;0 ;2 ;100 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;3 ;0 ;0 ;0 ;0 ;40278790 ;" 11:11:18.79" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;3 ;50 ;3 ;0 ;1 ;42860 ;"       42.86" ;" " ;43010 ;"       43.01" ;"A" ;0 ;"" ;"" ;
301 ;0 ;3 ;50 ;5 ;0 ;2 ;44250 ;"       44.25" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;3 ;50 ;6 ;0 ;3 ;47020 ;"       47.02" ;" " ;46990 ;"       46.99" ;"A" ;0 ;"" ;"" ;
301 ;0 ;3 ;50 ;4 ;0 ;4 ;47310 ;"       47.31" ;" " ;47440 ;"       47.44" ;"A" ;0 ;"" ;"" ;
301 ;0 ;3 ;50 ;2 ;0 ;5 ;47580 ;"       47.58" ;" " ;47420 ;"       47.42" ;"A" ;0 ;"" ;"" ;
301 ;0 ;3 ;50 ;1 ;0 ;6 ;47590 ;"       47.59" ;" " ;47700 ;"       47.70" ;"A" ;0 ;"" ;"" ;
301 ;0 ;3 ;100 ;3 ;0 ;1 ;92580 ;"     1:32.58" ;" " ;92650 ;"     1:32.65" ;"A" ;0 ;"" ;"" ;
301 ;0 ;3 ;100 ;5 ;0 ;2 ;95660 ;"     1:35.66" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;3 ;100 ;4 ;0 ;3 ;97470 ;"     1:37.47" ;" " ;97440 ;"     1:37.44" ;"A" ;0 ;"" ;"" ;
