event; round;heat;lane;relais;idBib;
401 ;0 ;0 ;2 ;0 ;98 ;
401 ;0 ;0 ;3 ;0 ;12 ;
401 ;0 ;1 ;1 ;0 ;72 ;
401 ;0 ;1 ;2 ;0 ;28 ;
401 ;0 ;1 ;3 ;0 ;88 ;
401 ;0 ;1 ;4 ;0 ;20 ;
401 ;0 ;1 ;5 ;0 ;96 ;
401 ;0 ;2 ;1 ;0 ;118 ;
401 ;0 ;2 ;2 ;0 ;19 ;
401 ;0 ;2 ;3 ;0 ;30 ;
401 ;0 ;2 ;4 ;0 ;35 ;
401 ;0 ;2 ;5 ;0 ;183 ;
401 ;0 ;2 ;6 ;0 ;22 ;
404 ;0 ;0 ;1 ;0 ;29 ;
404 ;0 ;0 ;2 ;0 ;165 ;
404 ;0 ;0 ;3 ;0 ;54 ;
404 ;0 ;0 ;4 ;0 ;73 ;
404 ;0 ;0 ;5 ;0 ;152 ;
404 ;0 ;1 ;1 ;0 ;135 ;
404 ;0 ;1 ;2 ;0 ;85 ;
404 ;0 ;1 ;3 ;0 ;141 ;
404 ;0 ;1 ;4 ;0 ;53 ;
404 ;0 ;1 ;5 ;0 ;4 ;
404 ;0 ;2 ;1 ;0 ;185 ;
404 ;0 ;2 ;2 ;0 ;60 ;
404 ;0 ;2 ;3 ;0 ;151 ;
404 ;0 ;2 ;4 ;0 ;89 ;
404 ;0 ;2 ;5 ;0 ;134 ;
404 ;0 ;2 ;6 ;0 ;193 ;
408 ;0 ;0 ;2 ;0 ;77 ;
408 ;0 ;0 ;3 ;0 ;50 ;
408 ;0 ;0 ;4 ;0 ;70 ;
408 ;0 ;0 ;5 ;0 ;80 ;
408 ;0 ;1 ;1 ;0 ;112 ;
408 ;0 ;1 ;2 ;0 ;155 ;
408 ;0 ;1 ;3 ;0 ;115 ;
408 ;0 ;1 ;4 ;0 ;102 ;
408 ;0 ;1 ;5 ;0 ;55 ;
408 ;0 ;2 ;1 ;0 ;31 ;
408 ;0 ;2 ;2 ;0 ;83 ;
408 ;0 ;2 ;3 ;0 ;200 ;
408 ;0 ;2 ;4 ;0 ;184 ;
408 ;0 ;2 ;5 ;0 ;201 ;
408 ;0 ;2 ;6 ;0 ;197 ;
411 ;0 ;0 ;2 ;0 ;195 ;
411 ;0 ;0 ;3 ;0 ;63 ;
411 ;0 ;0 ;4 ;0 ;75 ;
411 ;0 ;1 ;2 ;0 ;168 ;
411 ;0 ;1 ;3 ;0 ;59 ;
411 ;0 ;1 ;4 ;0 ;76 ;
411 ;0 ;1 ;5 ;0 ;90 ;
411 ;0 ;2 ;1 ;0 ;33 ;
411 ;0 ;2 ;2 ;0 ;167 ;
411 ;0 ;2 ;3 ;0 ;56 ;
411 ;0 ;2 ;4 ;0 ;133 ;
411 ;0 ;2 ;5 ;0 ;164 ;
411 ;0 ;2 ;6 ;0 ;49 ;
414 ;0 ;0 ;1 ;0 ;103 ;
