event;round;nbHeat;idLen;idStyle;abCat;date;time
501 ;0 ;10 ;1 ;0 ;"B" ;"03/14/09" ;"00:00" ;
502 ;0 ;10 ;2 ;0 ;"G" ;"03/14/09" ;"00:00" ;
503 ;0 ;4 ;0 ;2 ;"B" ;"03/14/09" ;"00:00" ;
504 ;0 ;4 ;1 ;2 ;"G" ;"03/14/09" ;"00:00" ;
505 ;0 ;2 ;3 ;4 ;"B" ;"03/14/09" ;"00:00" ;
506 ;0 ;5 ;1 ;3 ;"G" ;"03/14/09" ;"00:00" ;
507 ;0 ;4 ;1 ;1 ;"B" ;"03/14/09" ;"00:00" ;
508 ;0 ;7 ;0 ;1 ;"G" ;"03/14/09" ;"00:00" ;
509 ;0 ;2 ;2 ;3 ;"B" ;"03/14/09" ;"00:00" ;
510 ;0 ;1 ;7 ;4 ;"G" ;"03/14/09" ;"00:00" ;
512 ;0 ;1 ;2 ;0 ;"G" ;"03/14/09" ;"00:00" ;
513 ;0 ;1 ;1 ;0 ;"B" ;"03/14/09" ;"00:00" ;
514 ;0 ;1 ;1 ;2 ;"G" ;"03/14/09" ;"00:00" ;
515 ;0 ;1 ;0 ;2 ;"B" ;"03/14/09" ;"00:00" ;
516 ;0 ;1 ;1 ;3 ;"G" ;"03/14/09" ;"00:00" ;
517 ;0 ;1 ;1 ;1 ;"B" ;"03/14/09" ;"00:00" ;
518 ;0 ;1 ;0 ;1 ;"G" ;"03/14/09" ;"00:00" ;
519 ;0 ;1 ;2 ;3 ;"B" ;"03/14/09" ;"00:00" ;
551 ;0 ;4 ;1 ;4 ;"B" ;"03/14/09" ;"00:00" ;
552 ;0 ;8 ;2 ;4 ;"G" ;"03/14/09" ;"00:00" ;
553 ;0 ;4 ;3 ;0 ;"B" ;"03/14/09" ;"00:00" ;
554 ;0 ;12 ;0 ;0 ;"G" ;"03/14/09" ;"00:00" ;
555 ;0 ;2 ;2 ;2 ;"B" ;"03/14/09" ;"00:00" ;
556 ;0 ;5 ;2 ;1 ;"G" ;"03/14/09" ;"00:00" ;
557 ;0 ;8 ;0 ;3 ;"B" ;"03/14/09" ;"00:00" ;
558 ;0 ;1 ;1 ;4 ;"B" ;"03/14/09" ;"00:00" ;
559 ;0 ;1 ;2 ;4 ;"G" ;"03/14/09" ;"00:00" ;
560 ;0 ;1 ;2 ;2 ;"B" ;"03/14/09" ;"00:00" ;
561 ;0 ;1 ;0 ;0 ;"G" ;"03/14/09" ;"00:00" ;
562 ;0 ;1 ;0 ;3 ;"B" ;"03/14/09" ;"00:00" ;
563 ;0 ;1 ;2 ;1 ;"G" ;"03/14/09" ;"00:00" ;
564 ;0 ;2 ;3 ;0 ;"B" ;"03/14/09" ;"00:00" ;
565 ;0 ;1 ;3 ;0 ;"G" ;"03/14/09" ;"00:00" ;
566 ;0 ;2 ;2 ;4 ;"B" ;"03/14/09" ;"00:00" ;
567 ;0 ;3 ;2 ;4 ;"G" ;"03/14/09" ;"00:00" ;
568 ;0 ;1 ;3 ;0 ;"B" ;"03/14/09" ;"00:00" ;
569 ;0 ;1 ;3 ;0 ;"G" ;"03/14/09" ;"00:00" ;
570 ;0 ;1 ;2 ;4 ;"B" ;"03/14/09" ;"00:00" ;
571 ;0 ;1 ;2 ;4 ;"G" ;"03/14/09" ;"00:00" ;
999 ;4 ;1 ;0 ;0 ;"M" ;"03/14/09" ;"00:00" ;
