event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
501 ;0 ;0 ;0 ;0 ;0 ;0 ;32654620 ;"  9:04:14.62" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;50 ;5 ;0 ;1 ;28730 ;"       28.73" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;50 ;3 ;0 ;2 ;29240 ;"       29.24" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;50 ;7 ;0 ;3 ;29320 ;"       29.32" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;50 ;8 ;0 ;4 ;29480 ;"       29.48" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;50 ;2 ;0 ;5 ;29500 ;"       29.50" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;50 ;4 ;0 ;6 ;29690 ;"       29.69" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;50 ;6 ;0 ;6 ;29690 ;"       29.69" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;50 ;1 ;0 ;8 ;35980 ;"       35.98" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;100 ;5 ;0 ;1 ;59550 ;"       59.55" ;" " ;59630 ;"       59.63" ;"A" ;0 ;"" ;"" ;
501 ;0 ;0 ;100 ;4 ;0 ;2 ;60850 ;"     1:00.85" ;" " ;60990 ;"     1:00.99" ;"A" ;0 ;"" ;"" ;
501 ;0 ;0 ;100 ;7 ;0 ;3 ;60970 ;"     1:00.97" ;" " ;61070 ;"     1:01.07" ;"A" ;0 ;"" ;"" ;
501 ;0 ;0 ;100 ;2 ;0 ;4 ;61220 ;"     1:01.22" ;" " ;61410 ;"     1:01.41" ;"A" ;0 ;"" ;"" ;
501 ;0 ;0 ;100 ;3 ;0 ;5 ;61460 ;"     1:01.46" ;" " ;61590 ;"     1:01.59" ;"A" ;0 ;"" ;"" ;
501 ;0 ;0 ;100 ;8 ;0 ;6 ;61930 ;"     1:01.93" ;" " ;62200 ;"     1:02.20" ;"A" ;0 ;"" ;"" ;
501 ;0 ;0 ;100 ;6 ;0 ;7 ;63290 ;"     1:03.29" ;" " ;63460 ;"     1:03.46" ;"A" ;0 ;"" ;"" ;
501 ;0 ;0 ;100 ;1 ;0 ;8 ;75680 ;"     1:15.68" ;" " ;75780 ;"     1:15.78" ;"A" ;0 ;"" ;"" ;
501 ;0 ;1 ;0 ;0 ;0 ;0 ;32773560 ;"  9:06:13.56" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;1 ;50 ;6 ;0 ;1 ;27740 ;"       27.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;1 ;50 ;5 ;0 ;2 ;28820 ;"       28.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;1 ;50 ;4 ;0 ;3 ;28850 ;"       28.85" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;1 ;50 ;8 ;0 ;4 ;28900 ;"       28.90" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;1 ;50 ;2 ;0 ;5 ;29010 ;"       29.01" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;1 ;50 ;7 ;0 ;6 ;29130 ;"       29.13" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;1 ;50 ;1 ;0 ;7 ;29280 ;"       29.28" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
