event; round;heat;lane;relais;idBib;
501 ;0 ;0 ;1 ;0 ;801 ;
501 ;0 ;0 ;2 ;0 ;373 ;
501 ;0 ;0 ;3 ;0 ;379 ;
501 ;0 ;0 ;4 ;0 ;355 ;
501 ;0 ;0 ;5 ;0 ;494 ;
501 ;0 ;0 ;6 ;0 ;638 ;
501 ;0 ;0 ;7 ;0 ;489 ;
501 ;0 ;0 ;8 ;0 ;538 ;
501 ;0 ;1 ;1 ;0 ;491 ;
501 ;0 ;1 ;2 ;0 ;754 ;
501 ;0 ;1 ;3 ;0 ;567 ;
501 ;0 ;1 ;4 ;0 ;569 ;
501 ;0 ;1 ;5 ;0 ;515 ;
501 ;0 ;1 ;6 ;0 ;512 ;
501 ;0 ;1 ;7 ;0 ;546 ;
501 ;0 ;1 ;8 ;0 ;595 ;
501 ;0 ;2 ;1 ;0 ;405 ;
501 ;0 ;2 ;2 ;0 ;380 ;
501 ;0 ;2 ;3 ;0 ;412 ;
501 ;0 ;2 ;4 ;0 ;507 ;
501 ;0 ;2 ;5 ;0 ;612 ;
501 ;0 ;2 ;6 ;0 ;529 ;
501 ;0 ;2 ;7 ;0 ;552 ;
501 ;0 ;2 ;8 ;0 ;417 ;
501 ;0 ;3 ;1 ;0 ;606 ;
501 ;0 ;3 ;2 ;0 ;450 ;
501 ;0 ;3 ;3 ;0 ;753 ;
501 ;0 ;3 ;4 ;0 ;605 ;
501 ;0 ;3 ;5 ;0 ;649 ;
501 ;0 ;3 ;6 ;0 ;439 ;
501 ;0 ;3 ;7 ;0 ;383 ;
501 ;0 ;3 ;8 ;0 ;495 ;
501 ;0 ;4 ;1 ;0 ;365 ;
501 ;0 ;4 ;2 ;0 ;446 ;
501 ;0 ;4 ;3 ;0 ;601 ;
501 ;0 ;4 ;4 ;0 ;452 ;
501 ;0 ;4 ;5 ;0 ;608 ;
501 ;0 ;4 ;6 ;0 ;454 ;
501 ;0 ;4 ;7 ;0 ;418 ;
501 ;0 ;4 ;8 ;0 ;632 ;
501 ;0 ;5 ;1 ;0 ;633 ;
501 ;0 ;5 ;2 ;0 ;599 ;
501 ;0 ;5 ;3 ;0 ;442 ;
501 ;0 ;5 ;4 ;0 ;602 ;
501 ;0 ;5 ;5 ;0 ;419 ;
501 ;0 ;5 ;6 ;0 ;650 ;
501 ;0 ;5 ;7 ;0 ;399 ;
501 ;0 ;5 ;8 ;0 ;469 ;
501 ;0 ;6 ;1 ;0 ;384 ;
501 ;0 ;6 ;2 ;0 ;611 ;
501 ;0 ;6 ;3 ;0 ;447 ;
501 ;0 ;6 ;4 ;0 ;513 ;
501 ;0 ;6 ;5 ;0 ;588 ;
501 ;0 ;6 ;6 ;0 ;387 ;
501 ;0 ;6 ;7 ;0 ;408 ;
501 ;0 ;6 ;8 ;0 ;502 ;
501 ;0 ;7 ;1 ;0 ;464 ;
501 ;0 ;7 ;2 ;0 ;444 ;
501 ;0 ;7 ;3 ;0 ;571 ;
501 ;0 ;7 ;4 ;0 ;535 ;
501 ;0 ;7 ;5 ;0 ;532 ;
501 ;0 ;7 ;6 ;0 ;460 ;
501 ;0 ;7 ;7 ;0 ;470 ;
501 ;0 ;7 ;8 ;0 ;490 ;
501 ;0 ;8 ;1 ;0 ;386 ;
501 ;0 ;8 ;2 ;0 ;410 ;
501 ;0 ;8 ;3 ;0 ;586 ;
501 ;0 ;8 ;4 ;0 ;499 ;
501 ;0 ;8 ;5 ;0 ;364 ;
501 ;0 ;8 ;6 ;0 ;510 ;
501 ;0 ;8 ;7 ;0 ;610 ;
501 ;0 ;8 ;8 ;0 ;448 ;
501 ;0 ;9 ;1 ;0 ;596 ;
501 ;0 ;9 ;2 ;0 ;485 ;
501 ;0 ;9 ;3 ;0 ;458 ;
501 ;0 ;9 ;4 ;0 ;591 ;
501 ;0 ;9 ;5 ;0 ;475 ;
501 ;0 ;9 ;6 ;0 ;594 ;
501 ;0 ;9 ;7 ;0 ;600 ;
501 ;0 ;9 ;8 ;0 ;556 ;
502 ;0 ;0 ;1 ;0 ;371 ;
502 ;0 ;0 ;2 ;0 ;572 ;
502 ;0 ;0 ;3 ;0 ;523 ;
502 ;0 ;0 ;4 ;0 ;354 ;
502 ;0 ;0 ;5 ;0 ;366 ;
502 ;0 ;0 ;6 ;0 ;615 ;
502 ;0 ;0 ;7 ;0 ;389 ;
502 ;0 ;1 ;1 ;0 ;582 ;
502 ;0 ;1 ;2 ;0 ;566 ;
502 ;0 ;1 ;3 ;0 ;438 ;
502 ;0 ;1 ;4 ;0 ;497 ;
502 ;0 ;1 ;5 ;0 ;614 ;
502 ;0 ;1 ;6 ;0 ;358 ;
502 ;0 ;1 ;7 ;0 ;809 ;
502 ;0 ;1 ;8 ;0 ;581 ;
502 ;0 ;2 ;1 ;0 ;352 ;
502 ;0 ;2 ;2 ;0 ;414 ;
502 ;0 ;2 ;3 ;0 ;544 ;
502 ;0 ;2 ;4 ;0 ;429 ;
502 ;0 ;2 ;5 ;0 ;433 ;
502 ;0 ;2 ;6 ;0 ;575 ;
502 ;0 ;2 ;7 ;0 ;593 ;
502 ;0 ;2 ;8 ;0 ;536 ;
502 ;0 ;3 ;1 ;0 ;616 ;
502 ;0 ;3 ;2 ;0 ;522 ;
502 ;0 ;3 ;3 ;0 ;548 ;
502 ;0 ;3 ;4 ;0 ;578 ;
502 ;0 ;3 ;5 ;0 ;406 ;
502 ;0 ;3 ;6 ;0 ;424 ;
502 ;0 ;3 ;7 ;0 ;517 ;
502 ;0 ;3 ;8 ;0 ;430 ;
502 ;0 ;4 ;1 ;0 ;592 ;
502 ;0 ;4 ;2 ;0 ;547 ;
502 ;0 ;4 ;3 ;0 ;463 ;
502 ;0 ;4 ;4 ;0 ;482 ;
502 ;0 ;4 ;5 ;0 ;549 ;
502 ;0 ;4 ;6 ;0 ;378 ;
502 ;0 ;4 ;7 ;0 ;372 ;
502 ;0 ;4 ;8 ;0 ;750 ;
502 ;0 ;5 ;1 ;0 ;561 ;
502 ;0 ;5 ;2 ;0 ;404 ;
502 ;0 ;5 ;3 ;0 ;401 ;
502 ;0 ;5 ;4 ;0 ;514 ;
502 ;0 ;5 ;5 ;0 ;441 ;
502 ;0 ;5 ;6 ;0 ;806 ;
502 ;0 ;5 ;7 ;0 ;466 ;
502 ;0 ;5 ;8 ;0 ;524 ;
502 ;0 ;6 ;1 ;0 ;426 ;
502 ;0 ;6 ;2 ;0 ;356 ;
502 ;0 ;6 ;3 ;0 ;467 ;
502 ;0 ;6 ;4 ;0 ;431 ;
502 ;0 ;6 ;5 ;0 ;543 ;
502 ;0 ;6 ;6 ;0 ;428 ;
502 ;0 ;6 ;7 ;0 ;362 ;
502 ;0 ;6 ;8 ;0 ;613 ;
502 ;0 ;7 ;1 ;0 ;587 ;
502 ;0 ;7 ;2 ;0 ;360 ;
502 ;0 ;7 ;3 ;0 ;422 ;
502 ;0 ;7 ;4 ;0 ;474 ;
502 ;0 ;7 ;5 ;0 ;432 ;
502 ;0 ;7 ;6 ;0 ;484 ;
502 ;0 ;7 ;7 ;0 ;398 ;
502 ;0 ;7 ;8 ;0 ;434 ;
502 ;0 ;8 ;1 ;0 ;651 ;
502 ;0 ;8 ;2 ;0 ;504 ;
502 ;0 ;8 ;3 ;0 ;407 ;
502 ;0 ;8 ;4 ;0 ;377 ;
502 ;0 ;8 ;5 ;0 ;486 ;
502 ;0 ;8 ;6 ;0 ;525 ;
502 ;0 ;8 ;7 ;0 ;590 ;
502 ;0 ;8 ;8 ;0 ;539 ;
502 ;0 ;9 ;1 ;0 ;756 ;
502 ;0 ;9 ;2 ;0 ;445 ;
502 ;0 ;9 ;3 ;0 ;443 ;
502 ;0 ;9 ;4 ;0 ;483 ;
502 ;0 ;9 ;5 ;0 ;480 ;
502 ;0 ;9 ;6 ;0 ;468 ;
502 ;0 ;9 ;7 ;0 ;465 ;
502 ;0 ;9 ;8 ;0 ;427 ;
503 ;0 ;0 ;1 ;0 ;638 ;
503 ;0 ;0 ;2 ;0 ;495 ;
503 ;0 ;0 ;3 ;0 ;442 ;
503 ;0 ;0 ;4 ;0 ;595 ;
503 ;0 ;0 ;5 ;0 ;537 ;
503 ;0 ;0 ;6 ;0 ;353 ;
503 ;0 ;0 ;7 ;0 ;384 ;
503 ;0 ;0 ;8 ;0 ;417 ;
503 ;0 ;1 ;1 ;0 ;494 ;
503 ;0 ;1 ;2 ;0 ;512 ;
503 ;0 ;1 ;3 ;0 ;419 ;
503 ;0 ;1 ;4 ;0 ;444 ;
503 ;0 ;1 ;5 ;0 ;405 ;
503 ;0 ;1 ;6 ;0 ;515 ;
503 ;0 ;1 ;7 ;0 ;383 ;
503 ;0 ;1 ;8 ;0 ;608 ;
503 ;0 ;2 ;1 ;0 ;604 ;
503 ;0 ;2 ;2 ;0 ;449 ;
503 ;0 ;2 ;3 ;0 ;387 ;
503 ;0 ;2 ;4 ;0 ;439 ;
503 ;0 ;2 ;5 ;0 ;680 ;
503 ;0 ;2 ;6 ;0 ;450 ;
503 ;0 ;2 ;7 ;0 ;380 ;
503 ;0 ;2 ;8 ;0 ;588 ;
503 ;0 ;3 ;1 ;0 ;552 ;
503 ;0 ;3 ;2 ;0 ;506 ;
503 ;0 ;3 ;3 ;0 ;597 ;
503 ;0 ;3 ;4 ;0 ;456 ;
503 ;0 ;3 ;5 ;0 ;559 ;
503 ;0 ;3 ;6 ;0 ;361 ;
503 ;0 ;3 ;7 ;0 ;363 ;
503 ;0 ;3 ;8 ;0 ;476 ;
504 ;0 ;0 ;3 ;0 ;433 ;
504 ;0 ;0 ;4 ;0 ;581 ;
504 ;0 ;0 ;5 ;0 ;435 ;
504 ;0 ;0 ;6 ;0 ;474 ;
504 ;0 ;1 ;3 ;0 ;796 ;
504 ;0 ;1 ;4 ;0 ;527 ;
504 ;0 ;1 ;5 ;0 ;589 ;
504 ;0 ;1 ;6 ;0 ;440 ;
504 ;0 ;1 ;7 ;0 ;407 ;
504 ;0 ;2 ;1 ;0 ;378 ;
504 ;0 ;2 ;2 ;0 ;479 ;
504 ;0 ;2 ;3 ;0 ;614 ;
504 ;0 ;2 ;4 ;0 ;539 ;
504 ;0 ;2 ;5 ;0 ;651 ;
504 ;0 ;2 ;6 ;0 ;445 ;
504 ;0 ;2 ;7 ;0 ;483 ;
504 ;0 ;2 ;8 ;0 ;478 ;
504 ;0 ;3 ;1 ;0 ;545 ;
504 ;0 ;3 ;2 ;0 ;434 ;
504 ;0 ;3 ;3 ;0 ;514 ;
504 ;0 ;3 ;4 ;0 ;481 ;
504 ;0 ;3 ;5 ;0 ;374 ;
