id;event;round ;heat
1 ;999 ;0 ;0 ;
2 ;999 ;0 ;0 ;
3 ;601 ;0 ;0 ;
4 ;601 ;0 ;1 ;
5 ;601 ;0 ;2 ;
6 ;601 ;0 ;3 ;
7 ;601 ;0 ;0 ;
8 ;601 ;0 ;1 ;
9 ;601 ;0 ;2 ;
10 ;601 ;0 ;2 ;
11 ;601 ;0 ;3 ;
12 ;601 ;0 ;4 ;
13 ;601 ;0 ;5 ;
14 ;601 ;0 ;6 ;
15 ;601 ;0 ;7 ;
16 ;601 ;0 ;8 ;
17 ;601 ;0 ;9 ;
18 ;601 ;0 ;10 ;
19 ;601 ;0 ;11 ;
20 ;602 ;0 ;0 ;
21 ;602 ;0 ;1 ;
22 ;602 ;0 ;2 ;
23 ;602 ;0 ;3 ;
24 ;602 ;0 ;4 ;
25 ;602 ;0 ;5 ;
26 ;602 ;0 ;6 ;
27 ;603 ;0 ;0 ;
28 ;603 ;0 ;1 ;
29 ;603 ;0 ;2 ;
30 ;603 ;0 ;3 ;
31 ;604 ;0 ;0 ;
32 ;604 ;0 ;1 ;
33 ;604 ;0 ;2 ;
34 ;605 ;0 ;0 ;
35 ;605 ;0 ;1 ;
36 ;605 ;0 ;2 ;
37 ;606 ;0 ;0 ;
38 ;606 ;0 ;1 ;
39 ;606 ;0 ;2 ;
40 ;606 ;0 ;3 ;
41 ;606 ;0 ;4 ;
42 ;607 ;0 ;0 ;
43 ;607 ;0 ;1 ;
44 ;607 ;0 ;1 ;
45 ;607 ;0 ;2 ;
46 ;607 ;0 ;3 ;
47 ;607 ;0 ;4 ;
48 ;607 ;0 ;5 ;
49 ;608 ;0 ;0 ;
50 ;608 ;0 ;1 ;
51 ;608 ;0 ;2 ;
52 ;608 ;0 ;3 ;
53 ;609 ;0 ;0 ;
54 ;609 ;0 ;1 ;
55 ;609 ;0 ;2 ;
56 ;610 ;0 ;0 ;
57 ;611 ;0 ;0 ;
58 ;611 ;0 ;1 ;
59 ;611 ;0 ;1 ;
60 ;611 ;0 ;0 ;
61 ;611 ;0 ;0 ;
62 ;611 ;0 ;0 ;
63 ;611 ;0 ;0 ;
64 ;612 ;0 ;0 ;
65 ;613 ;0 ;0 ;
66 ;614 ;0 ;0 ;
67 ;615 ;0 ;0 ;
68 ;616 ;0 ;0 ;
69 ;617 ;0 ;0 ;
70 ;651 ;0 ;0 ;
71 ;651 ;0 ;0 ;
72 ;651 ;0 ;0 ;
73 ;651 ;0 ;0 ;
74 ;651 ;0 ;1 ;
75 ;651 ;0 ;2 ;
76 ;651 ;0 ;3 ;
77 ;651 ;0 ;4 ;
78 ;651 ;0 ;5 ;
79 ;651 ;0 ;6 ;
80 ;651 ;0 ;7 ;
81 ;652 ;0 ;0 ;
82 ;652 ;0 ;1 ;
83 ;652 ;0 ;2 ;
84 ;652 ;0 ;3 ;
85 ;652 ;0 ;4 ;
86 ;653 ;0 ;0 ;
87 ;653 ;0 ;1 ;
88 ;653 ;0 ;2 ;
89 ;653 ;0 ;3 ;
90 ;653 ;0 ;4 ;
91 ;653 ;0 ;5 ;
92 ;654 ;0 ;0 ;
93 ;654 ;0 ;1 ;
94 ;654 ;0 ;2 ;
95 ;654 ;0 ;3 ;
96 ;654 ;0 ;4 ;
97 ;654 ;0 ;5 ;
98 ;654 ;0 ;6 ;
99 ;654 ;0 ;7 ;
100 ;654 ;0 ;8 ;
101 ;654 ;0 ;9 ;
102 ;654 ;0 ;10 ;
103 ;654 ;0 ;10 ;
104 ;655 ;0 ;0 ;
105 ;655 ;0 ;1 ;
106 ;655 ;0 ;2 ;
107 ;656 ;0 ;0 ;
108 ;656 ;0 ;1 ;
109 ;657 ;0 ;0 ;
110 ;657 ;0 ;1 ;
111 ;657 ;0 ;2 ;
112 ;657 ;0 ;3 ;
113 ;657 ;0 ;4 ;
114 ;657 ;0 ;5 ;
115 ;658 ;0 ;0 ;
116 ;659 ;0 ;0 ;
117 ;660 ;0 ;0 ;
118 ;661 ;0 ;0 ;
119 ;662 ;0 ;0 ;
120 ;663 ;0 ;0 ;
121 ;664 ;0 ;0 ;
122 ;665 ;0 ;0 ;
123 ;665 ;0 ;1 ;
124 ;666 ;0 ;0 ;
125 ;666 ;0 ;1 ;
126 ;666 ;0 ;2 ;
127 ;667 ;0 ;0 ;
128 ;667 ;0 ;1 ;
129 ;667 ;0 ;1 ;
130 ;668 ;0 ;0 ;
131 ;670 ;0 ;0 ;
132 ;668 ;0 ;0 ;
133 ;668 ;0 ;0 ;
134 ;670 ;0 ;0 ;
135 ;671 ;0 ;0 ;
136 ;671 ;0 ;0 ;
