event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
1 ;0 ;0 ;0 ;0 ;0 ;0 ;67414380 ;" 18:43:34.38" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;6 ;0 ;1 ;38430 ;"       38.43" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;2 ;39110 ;"       39.11" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;1 ;0 ;3 ;39670 ;"       39.67" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;3 ;0 ;4 ;40790 ;"       40.79" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;5 ;43990 ;"       43.99" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;1 ;0 ;1 ;81800 ;"     1:21.80" ;" " ;81760 ;"     1:21.76" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;6 ;0 ;2 ;82440 ;"     1:22.44" ;" " ;82470 ;"     1:22.47" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;5 ;0 ;3 ;82540 ;"     1:22.54" ;" " ;82690 ;"     1:22.69" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;3 ;0 ;4 ;84860 ;"     1:24.86" ;" " ;84790 ;"     1:24.79" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;2 ;0 ;5 ;85070 ;"     1:25.07" ;"E" ;85070 ;"     1:25.07" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;4 ;0 ;6 ;92440 ;"     1:32.44" ;" " ;92480 ;"     1:32.48" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;67571630 ;" 18:46:11.63" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;6 ;0 ;1 ;34130 ;"       34.13" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;5 ;0 ;2 ;34470 ;"       34.47" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;1 ;0 ;3 ;37250 ;"       37.25" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;4 ;38850 ;"       38.85" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;5 ;42250 ;"       42.25" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;6 ;0 ;1 ;72390 ;"     1:12.39" ;" " ;72520 ;"     1:12.52" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;5 ;0 ;2 ;74930 ;"     1:14.93" ;" " ;74970 ;"     1:14.97" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;1 ;0 ;3 ;78190 ;"     1:18.19" ;" " ;78300 ;"     1:18.30" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;2 ;0 ;4 ;80090 ;"     1:20.09" ;"E" ;80090 ;"     1:20.09" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;3 ;0 ;5 ;84270 ;"     1:24.27" ;" " ;84200 ;"     1:24.20" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;4 ;0 ;6 ;90680 ;"     1:30.68" ;" " ;90720 ;"     1:30.72" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;0 ;0 ;0 ;0 ;67735650 ;" 18:48:55.65" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;6 ;0 ;1 ;36820 ;"       36.82" ;" " ;36910 ;"       36.91" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;3 ;0 ;2 ;39680 ;"       39.68" ;" " ;39730 ;"       39.73" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;4 ;0 ;3 ;45620 ;"       45.62" ;" " ;45600 ;"       45.60" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;2 ;0 ;4 ;46190 ;"       46.19" ;" " ;46080 ;"       46.08" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;1 ;0 ;5 ;46810 ;"       46.81" ;" " ;46630 ;"       46.63" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;5 ;0 ;6 ;48280 ;"       48.28" ;" " ;48410 ;"       48.41" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;0 ;0 ;0 ;0 ;67834340 ;" 18:50:34.34" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;6 ;0 ;1 ;41120 ;"       41.12" ;" " ;41220 ;"       41.22" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;3 ;0 ;2 ;41650 ;"       41.65" ;" " ;41710 ;"       41.71" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;5 ;0 ;3 ;47400 ;"       47.40" ;" " ;47450 ;"       47.45" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;2 ;0 ;4 ;48970 ;"       48.97" ;"E" ;48970 ;"       48.97" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;1 ;0 ;5 ;49700 ;"       49.70" ;" " ;49740 ;"       49.74" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;4 ;0 ;6 ;59780 ;"       59.78" ;" " ;59880 ;"       59.88" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;0 ;0 ;0 ;0 ;67932640 ;" 18:52:12.64" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;6 ;0 ;1 ;36190 ;"       36.19" ;" " ;36330 ;"       36.33" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;1 ;0 ;2 ;38240 ;"       38.24" ;" " ;38330 ;"       38.33" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;2 ;0 ;3 ;41250 ;"       41.25" ;" " ;41330 ;"       41.33" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;3 ;0 ;4 ;43750 ;"       43.75" ;" " ;43840 ;"       43.84" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;5 ;0 ;5 ;46770 ;"       46.77" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;4 ;0 ;6 ;52760 ;"       52.76" ;" " ;52810 ;"       52.81" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;0 ;0 ;0 ;0 ;68027690 ;" 18:53:47.69" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;6 ;0 ;1 ;34470 ;"       34.47" ;" " ;34440 ;"       34.44" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;3 ;0 ;2 ;39260 ;"       39.26" ;" " ;39370 ;"       39.37" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;5 ;0 ;3 ;41390 ;"       41.39" ;" " ;41590 ;"       41.59" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;4 ;0 ;4 ;43270 ;"       43.27" ;" " ;43390 ;"       43.39" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;2 ;0 ;5 ;43460 ;"       43.46" ;" " ;43510 ;"       43.51" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;1 ;0 ;6 ;44590 ;"       44.59" ;" " ;44500 ;"       44.50" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;0 ;0 ;0 ;0 ;68105620 ;" 18:55:05.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;6 ;0 ;1 ;30340 ;"       30.34" ;" " ;30450 ;"       30.45" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;5 ;0 ;2 ;32150 ;"       32.15" ;" " ;32300 ;"       32.30" ;"A" ;0 ;"" ;"" ;
