event; round;heat;lane;relais;idBib;
101 ;0 ;0 ;2 ;0 ;210 ;
101 ;0 ;0 ;3 ;0 ;54 ;
101 ;0 ;0 ;4 ;0 ;35 ;
101 ;0 ;0 ;5 ;0 ;26 ;
101 ;0 ;1 ;1 ;0 ;45 ;
101 ;0 ;1 ;2 ;0 ;68 ;
101 ;0 ;1 ;3 ;0 ;65 ;
101 ;0 ;1 ;4 ;0 ;11 ;
101 ;0 ;1 ;5 ;0 ;209 ;
101 ;0 ;2 ;1 ;0 ;71 ;
101 ;0 ;2 ;2 ;0 ;204 ;
101 ;0 ;2 ;3 ;0 ;23 ;
101 ;0 ;2 ;4 ;0 ;208 ;
101 ;0 ;2 ;5 ;0 ;69 ;
101 ;0 ;2 ;6 ;0 ;46 ;
101 ;0 ;3 ;1 ;0 ;39 ;
101 ;0 ;3 ;2 ;0 ;33 ;
101 ;0 ;3 ;3 ;0 ;43 ;
101 ;0 ;3 ;4 ;0 ;7 ;
101 ;0 ;3 ;5 ;0 ;25 ;
101 ;0 ;3 ;6 ;0 ;67 ;
105 ;0 ;0 ;1 ;0 ;73 ;
105 ;0 ;0 ;2 ;0 ;211 ;
105 ;0 ;0 ;3 ;0 ;80 ;
105 ;0 ;0 ;4 ;0 ;83 ;
105 ;0 ;0 ;5 ;0 ;72 ;
105 ;0 ;1 ;1 ;0 ;75 ;
105 ;0 ;1 ;2 ;0 ;78 ;
105 ;0 ;1 ;3 ;0 ;79 ;
105 ;0 ;1 ;4 ;0 ;74 ;
105 ;0 ;1 ;5 ;0 ;205 ;
105 ;0 ;2 ;1 ;0 ;206 ;
105 ;0 ;2 ;2 ;0 ;76 ;
105 ;0 ;2 ;4 ;0 ;77 ;
105 ;0 ;2 ;5 ;0 ;82 ;
105 ;0 ;2 ;6 ;0 ;81 ;
107 ;0 ;0 ;2 ;0 ;39 ;
107 ;0 ;0 ;3 ;0 ;210 ;
107 ;0 ;0 ;4 ;0 ;54 ;
107 ;0 ;0 ;5 ;0 ;67 ;
107 ;0 ;1 ;1 ;0 ;35 ;
107 ;0 ;1 ;2 ;0 ;26 ;
107 ;0 ;1 ;3 ;0 ;45 ;
107 ;0 ;1 ;4 ;0 ;68 ;
