event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
101 ;0 ;0 ;0 ;0 ;0 ;0 ;47016260 ;" 13:03:36.26" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;1 ;0 ;1 ;37740 ;"       37.74" ;" " ;37790 ;"       37.79" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;5 ;0 ;2 ;45130 ;"       45.13" ;" " ;45190 ;"       45.19" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;4 ;0 ;3 ;53710 ;"       53.71" ;"E" ;53710 ;"       53.71" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;2 ;0 ;4 ;59450 ;"       59.45" ;" " ;57590 ;"       57.59" ;"A" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;3 ;0 ;5 ;61940 ;"     1:01.94" ;" " ;61390 ;"     1:01.39" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;0 ;0 ;0 ;0 ;47209770 ;" 13:06:49.77" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;2 ;0 ;1 ;41670 ;"       41.67" ;" " ;41730 ;"       41.73" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;3 ;0 ;2 ;43400 ;"       43.40" ;" " ;43470 ;"       43.47" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;5 ;0 ;3 ;45170 ;"       45.17" ;" " ;45310 ;"       45.31" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;4 ;0 ;4 ;46060 ;"       46.06" ;" " ;46170 ;"       46.17" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;1 ;0 ;5 ;46510 ;"       46.51" ;"E" ;46510 ;"       46.51" ;"A" ;0 ;"" ;"" ;
101 ;0 ;1 ;50 ;6 ;0 ;6 ;46540 ;"       46.54" ;" " ;46660 ;"       46.66" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;0 ;0 ;0 ;0 ;47311870 ;" 13:08:31.87" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;6 ;0 ;1 ;40780 ;"       40.78" ;" " ;40500 ;"       40.50" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;5 ;0 ;2 ;41310 ;"       41.31" ;" " ;41320 ;"       41.32" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;1 ;0 ;3 ;41590 ;"       41.59" ;" " ;41880 ;"       41.88" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;4 ;0 ;4 ;42570 ;"       42.57" ;" " ;42290 ;"       42.29" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;2 ;0 ;5 ;44310 ;"       44.31" ;" " ;44210 ;"       44.21" ;"A" ;0 ;"" ;"" ;
101 ;0 ;2 ;50 ;3 ;0 ;6 ;47980 ;"       47.98" ;"E" ;47980 ;"       47.98" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;0 ;0 ;0 ;0 ;47405120 ;" 13:10:05.12" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;0 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;0 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;25 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;25 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;6 ;0 ;1 ;42750 ;"       42.75" ;" " ;42890 ;"       42.89" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;5 ;0 ;2 ;42930 ;"       42.93" ;" " ;43050 ;"       43.05" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;4 ;0 ;3 ;43060 ;"       43.06" ;" " ;42960 ;"       42.96" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;1 ;0 ;4 ;43670 ;"       43.67" ;" " ;43720 ;"       43.72" ;"A" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;3 ;50 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;4 ;0 ;0 ;0 ;0 ;47508690 ;" 13:11:48.69" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;6 ;0 ;1 ;38550 ;"       38.55" ;" " ;38680 ;"       38.68" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;3 ;0 ;2 ;41420 ;"       41.42" ;" " ;41340 ;"       41.34" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;4 ;0 ;3 ;41580 ;"       41.58" ;" " ;41660 ;"       41.66" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;5 ;0 ;4 ;42470 ;"       42.47" ;" " ;42510 ;"       42.51" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;2 ;0 ;5 ;44840 ;"       44.84" ;" " ;44890 ;"       44.89" ;"A" ;0 ;"" ;"" ;
101 ;0 ;4 ;50 ;1 ;0 ;6 ;45450 ;"       45.45" ;"E" ;45450 ;"       45.45" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;0 ;0 ;0 ;0 ;47589820 ;" 13:13:09.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;2 ;0 ;1 ;36510 ;"       36.51" ;" " ;36620 ;"       36.62" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;5 ;0 ;2 ;39070 ;"       39.07" ;" " ;39140 ;"       39.14" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;4 ;0 ;3 ;39790 ;"       39.79" ;" " ;39910 ;"       39.91" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;6 ;0 ;4 ;40470 ;"       40.47" ;" " ;40650 ;"       40.65" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;1 ;0 ;5 ;41320 ;"       41.32" ;" " ;41340 ;"       41.34" ;"A" ;0 ;"" ;"" ;
101 ;0 ;5 ;50 ;3 ;0 ;6 ;41590 ;"       41.59" ;" " ;41680 ;"       41.68" ;"A" ;0 ;"" ;"" ;
101 ;0 ;6 ;0 ;0 ;0 ;0 ;47674750 ;" 13:14:34.75" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;6 ;0 ;1 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;6 ;25 ;1 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;6 ;50 ;2 ;0 ;1 ;38510 ;"       38.51" ;" " ;38600 ;"       38.60" ;"A" ;0 ;"" ;"" ;
101 ;0 ;6 ;50 ;3 ;0 ;2 ;39470 ;"       39.47" ;" " ;39460 ;"       39.46" ;"A" ;0 ;"" ;"" ;
101 ;0 ;6 ;50 ;4 ;0 ;3 ;40740 ;"       40.74" ;"E" ;40740 ;"       40.74" ;"A" ;0 ;"" ;"" ;
101 ;0 ;6 ;50 ;5 ;0 ;4 ;42510 ;"       42.51" ;" " ;42610 ;"       42.61" ;"A" ;0 ;"" ;"" ;
101 ;0 ;6 ;50 ;6 ;0 ;5 ;43250 ;"       43.25" ;" " ;43320 ;"       43.32" ;"A" ;0 ;"" ;"" ;
101 ;0 ;6 ;50 ;1 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;7 ;0 ;0 ;0 ;0 ;47752300 ;" 13:15:52.30" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;7 ;50 ;6 ;0 ;1 ;36700 ;"       36.70" ;" " ;36860 ;"       36.86" ;"A" ;0 ;"" ;"" ;
101 ;0 ;7 ;50 ;5 ;0 ;2 ;37370 ;"       37.37" ;" " ;37530 ;"       37.53" ;"A" ;0 ;"" ;"" ;
101 ;0 ;7 ;50 ;1 ;0 ;3 ;39620 ;"       39.62" ;" " ;39630 ;"       39.63" ;"A" ;0 ;"" ;"" ;
101 ;0 ;7 ;50 ;4 ;0 ;4 ;40560 ;"       40.56" ;" " ;40660 ;"       40.66" ;"A" ;0 ;"" ;"" ;
101 ;0 ;7 ;50 ;2 ;0 ;5 ;40640 ;"       40.64" ;" " ;40320 ;"       40.32" ;"A" ;0 ;"" ;"" ;
101 ;0 ;7 ;50 ;3 ;0 ;6 ;41140 ;"       41.14" ;" " ;41140 ;"       41.14" ;"A" ;0 ;"" ;"" ;
101 ;0 ;8 ;0 ;0 ;0 ;0 ;47831820 ;" 13:17:11.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;8 ;50 ;6 ;0 ;1 ;36990 ;"       36.99" ;" " ;37090 ;"       37.09" ;"A" ;0 ;"" ;"" ;
101 ;0 ;8 ;50 ;4 ;0 ;2 ;37410 ;"       37.41" ;" " ;37490 ;"       37.49" ;"A" ;0 ;"" ;"" ;
101 ;0 ;8 ;50 ;1 ;0 ;3 ;38660 ;"       38.66" ;" " ;38510 ;"       38.51" ;"A" ;0 ;"" ;"" ;
101 ;0 ;8 ;50 ;2 ;0 ;4 ;40940 ;"       40.94" ;" " ;41040 ;"       41.04" ;"A" ;0 ;"" ;"" ;
101 ;0 ;8 ;50 ;3 ;0 ;5 ;40990 ;"       40.99" ;" " ;41040 ;"       41.04" ;"A" ;0 ;"" ;"" ;
101 ;0 ;8 ;50 ;5 ;0 ;6 ;41280 ;"       41.28" ;" " ;41390 ;"       41.39" ;"A" ;0 ;"" ;"" ;
101 ;0 ;9 ;0 ;0 ;0 ;0 ;47908210 ;" 13:18:28.21" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;9 ;50 ;6 ;0 ;1 ;37130 ;"       37.13" ;" " ;37210 ;"       37.21" ;"A" ;0 ;"" ;"" ;
101 ;0 ;9 ;50 ;1 ;0 ;2 ;37610 ;"       37.61" ;" " ;37740 ;"       37.74" ;"A" ;0 ;"" ;"" ;
101 ;0 ;9 ;50 ;5 ;0 ;3 ;37850 ;"       37.85" ;" " ;38050 ;"       38.05" ;"A" ;0 ;"" ;"" ;
101 ;0 ;9 ;50 ;2 ;0 ;4 ;38550 ;"       38.55" ;" " ;38610 ;"       38.61" ;"A" ;0 ;"" ;"" ;
101 ;0 ;9 ;50 ;4 ;0 ;5 ;38830 ;"       38.83" ;" " ;38920 ;"       38.92" ;"A" ;0 ;"" ;"" ;
101 ;0 ;9 ;50 ;3 ;0 ;6 ;39270 ;"       39.27" ;" " ;39350 ;"       39.35" ;"A" ;0 ;"" ;"" ;
101 ;0 ;10 ;0 ;0 ;0 ;0 ;48074950 ;" 13:21:14.95" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;10 ;0 ;1 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
