event; round;heat;lane;relais;idBib;
101 ;0 ;0 ;1 ;0 ;189 ;
101 ;0 ;0 ;2 ;0 ;215 ;
101 ;0 ;0 ;3 ;0 ;109 ;
101 ;0 ;0 ;4 ;0 ;114 ;
101 ;0 ;0 ;5 ;0 ;54 ;
101 ;0 ;1 ;1 ;0 ;116 ;
101 ;0 ;1 ;2 ;0 ;131 ;
101 ;0 ;1 ;3 ;0 ;206 ;
101 ;0 ;1 ;4 ;0 ;128 ;
101 ;0 ;1 ;5 ;0 ;35 ;
101 ;0 ;1 ;6 ;0 ;76 ;
101 ;0 ;2 ;1 ;0 ;127 ;
101 ;0 ;2 ;2 ;0 ;63 ;
101 ;0 ;2 ;3 ;0 ;82 ;
101 ;0 ;2 ;4 ;0 ;202 ;
101 ;0 ;2 ;5 ;0 ;169 ;
101 ;0 ;2 ;6 ;0 ;166 ;
101 ;0 ;3 ;1 ;0 ;182 ;
101 ;0 ;3 ;2 ;0 ;89 ;
101 ;0 ;3 ;3 ;0 ;102 ;
101 ;0 ;3 ;4 ;0 ;106 ;
101 ;0 ;3 ;5 ;0 ;18 ;
101 ;0 ;3 ;6 ;0 ;144 ;
101 ;0 ;4 ;1 ;0 ;33 ;
101 ;0 ;4 ;2 ;0 ;38 ;
101 ;0 ;4 ;3 ;0 ;141 ;
101 ;0 ;4 ;4 ;0 ;86 ;
101 ;0 ;4 ;5 ;0 ;34 ;
101 ;0 ;4 ;6 ;0 ;104 ;
101 ;0 ;5 ;1 ;0 ;178 ;
101 ;0 ;5 ;2 ;0 ;9 ;
101 ;0 ;5 ;3 ;0 ;138 ;
101 ;0 ;5 ;4 ;0 ;150 ;
101 ;0 ;5 ;5 ;0 ;190 ;
101 ;0 ;5 ;6 ;0 ;125 ;
101 ;0 ;6 ;1 ;0 ;107 ;
101 ;0 ;6 ;2 ;0 ;53 ;
101 ;0 ;6 ;3 ;0 ;168 ;
101 ;0 ;6 ;4 ;0 ;19 ;
101 ;0 ;6 ;5 ;0 ;75 ;
101 ;0 ;6 ;6 ;0 ;135 ;
101 ;0 ;7 ;1 ;0 ;2 ;
101 ;0 ;7 ;2 ;0 ;213 ;
101 ;0 ;7 ;3 ;0 ;83 ;
101 ;0 ;7 ;4 ;0 ;164 ;
101 ;0 ;7 ;5 ;0 ;42 ;
101 ;0 ;7 ;6 ;0 ;105 ;
101 ;0 ;8 ;1 ;0 ;22 ;
101 ;0 ;8 ;2 ;0 ;85 ;
101 ;0 ;8 ;3 ;0 ;103 ;
101 ;0 ;8 ;4 ;0 ;16 ;
101 ;0 ;8 ;5 ;0 ;184 ;
101 ;0 ;8 ;6 ;0 ;87 ;
101 ;0 ;9 ;1 ;0 ;209 ;
101 ;0 ;9 ;2 ;0 ;5 ;
101 ;0 ;9 ;3 ;0 ;88 ;
101 ;0 ;9 ;4 ;0 ;191 ;
101 ;0 ;9 ;5 ;0 ;122 ;
101 ;0 ;9 ;6 ;0 ;163 ;
101 ;0 ;10 ;1 ;0 ;46 ;
101 ;0 ;10 ;2 ;0 ;126 ;
101 ;0 ;10 ;3 ;0 ;30 ;
101 ;0 ;10 ;4 ;0 ;101 ;
101 ;0 ;10 ;5 ;0 ;219 ;
101 ;0 ;10 ;6 ;0 ;160 ;
101 ;0 ;11 ;1 ;0 ;174 ;
101 ;0 ;11 ;2 ;0 ;41 ;
101 ;0 ;11 ;3 ;0 ;72 ;
101 ;0 ;11 ;4 ;0 ;26 ;
101 ;0 ;11 ;5 ;0 ;142 ;
101 ;0 ;11 ;6 ;0 ;68 ;
101 ;0 ;12 ;1 ;0 ;198 ;
