id;event;round ;heat
1 ;101 ;0 ;0 ;
2 ;101 ;0 ;1 ;
3 ;101 ;0 ;2 ;
4 ;101 ;0 ;3 ;
5 ;101 ;0 ;4 ;
6 ;101 ;0 ;5 ;
7 ;101 ;0 ;6 ;
8 ;101 ;0 ;7 ;
9 ;101 ;0 ;8 ;
10 ;101 ;0 ;9 ;
11 ;101 ;0 ;10 ;
12 ;101 ;0 ;11 ;
13 ;101 ;0 ;12 ;
14 ;101 ;0 ;13 ;
15 ;101 ;0 ;14 ;
16 ;101 ;0 ;15 ;
17 ;101 ;0 ;16 ;
18 ;101 ;0 ;17 ;
19 ;101 ;0 ;18 ;
20 ;101 ;0 ;19 ;
21 ;103 ;0 ;0 ;
22 ;103 ;0 ;1 ;
23 ;103 ;0 ;2 ;
24 ;103 ;0 ;3 ;
25 ;103 ;0 ;4 ;
26 ;103 ;0 ;5 ;
27 ;103 ;0 ;6 ;
28 ;103 ;0 ;7 ;
29 ;103 ;0 ;8 ;
30 ;103 ;0 ;9 ;
31 ;103 ;0 ;10 ;
32 ;103 ;0 ;10 ;
33 ;103 ;0 ;11 ;
34 ;103 ;0 ;12 ;
35 ;105 ;0 ;0 ;
36 ;105 ;0 ;1 ;
37 ;105 ;0 ;2 ;
38 ;105 ;0 ;3 ;
39 ;105 ;0 ;4 ;
40 ;105 ;0 ;5 ;
41 ;105 ;0 ;6 ;
42 ;105 ;0 ;7 ;
43 ;105 ;0 ;7 ;
44 ;105 ;0 ;7 ;
45 ;105 ;0 ;8 ;
46 ;105 ;0 ;9 ;
47 ;105 ;0 ;10 ;
48 ;105 ;0 ;11 ;
49 ;105 ;0 ;12 ;
50 ;105 ;0 ;13 ;
51 ;105 ;0 ;14 ;
52 ;105 ;0 ;15 ;
53 ;105 ;0 ;16 ;
54 ;105 ;0 ;17 ;
55 ;105 ;0 ;18 ;
56 ;105 ;0 ;19 ;
57 ;107 ;0 ;0 ;
58 ;107 ;0 ;1 ;
59 ;107 ;0 ;2 ;
60 ;107 ;0 ;2 ;
61 ;107 ;0 ;2 ;
62 ;107 ;0 ;3 ;
63 ;107 ;0 ;4 ;
64 ;107 ;0 ;5 ;
65 ;107 ;0 ;6 ;
66 ;107 ;0 ;7 ;
67 ;107 ;0 ;8 ;
68 ;107 ;0 ;9 ;
69 ;107 ;0 ;10 ;
70 ;109 ;0 ;1 ;
71 ;109 ;0 ;0 ;
72 ;109 ;0 ;2 ;
73 ;109 ;0 ;3 ;
74 ;109 ;0 ;4 ;
75 ;109 ;0 ;5 ;
76 ;109 ;0 ;6 ;
77 ;109 ;0 ;7 ;
78 ;109 ;0 ;8 ;
79 ;109 ;0 ;9 ;
80 ;109 ;0 ;10 ;
81 ;109 ;0 ;11 ;
82 ;109 ;0 ;12 ;
83 ;109 ;0 ;13 ;
84 ;109 ;0 ;14 ;
85 ;109 ;0 ;15 ;
86 ;109 ;0 ;16 ;
87 ;109 ;0 ;17 ;
88 ;109 ;0 ;18 ;
89 ;111 ;0 ;0 ;
90 ;111 ;0 ;0 ;
91 ;111 ;0 ;1 ;
92 ;111 ;0 ;2 ;
93 ;111 ;0 ;3 ;
94 ;111 ;0 ;4 ;
95 ;111 ;0 ;5 ;
96 ;111 ;0 ;6 ;
97 ;111 ;0 ;7 ;
98 ;111 ;0 ;8 ;
99 ;111 ;0 ;9 ;
100 ;111 ;0 ;10 ;
101 ;111 ;0 ;11 ;
102 ;111 ;0 ;12 ;
103 ;111 ;0 ;13 ;
104 ;111 ;0 ;13 ;
105 ;113 ;0 ;0 ;
106 ;113 ;0 ;0 ;
107 ;113 ;0 ;0 ;
108 ;113 ;0 ;1 ;
109 ;113 ;0 ;2 ;
110 ;113 ;0 ;2 ;
111 ;113 ;0 ;2 ;
112 ;113 ;0 ;3 ;
113 ;113 ;0 ;4 ;
114 ;113 ;0 ;5 ;
115 ;113 ;0 ;6 ;
116 ;113 ;0 ;7 ;
117 ;113 ;0 ;8 ;
118 ;113 ;0 ;9 ;
119 ;113 ;0 ;10 ;
120 ;113 ;0 ;11 ;
121 ;113 ;0 ;12 ;
122 ;113 ;0 ;13 ;
123 ;113 ;0 ;14 ;
124 ;113 ;0 ;15 ;
125 ;113 ;0 ;16 ;
126 ;113 ;0 ;17 ;
127 ;113 ;0 ;18 ;
128 ;115 ;0 ;0 ;
129 ;115 ;0 ;1 ;
130 ;115 ;0 ;2 ;
131 ;115 ;0 ;3 ;
132 ;115 ;0 ;4 ;
133 ;115 ;0 ;5 ;
134 ;115 ;0 ;6 ;
135 ;115 ;0 ;7 ;
136 ;115 ;0 ;8 ;
137 ;115 ;0 ;9 ;
138 ;115 ;0 ;10 ;
139 ;115 ;0 ;11 ;
140 ;115 ;0 ;12 ;
