event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
101 ;0 ;0 ;0 ;0 ;0 ;0 ;43191180 ;" 11:59:51.18" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;25 ;5 ;0 ;0 ;0 ;"" ;"" ;42922800 ;" 11:55:22.80" ;" " ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;5 ;0 ;1 ;34710 ;"       34.71" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;1 ;0 ;2 ;35180 ;"       35.18" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;7 ;0 ;3 ;35200 ;"       35.20" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;4 ;0 ;4 ;36880 ;"       36.88" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;6 ;0 ;5 ;37590 ;"       37.59" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;2 ;0 ;6 ;37960 ;"       37.96" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;50 ;3 ;0 ;7 ;39190 ;"       39.19" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;7 ;0 ;1 ;74550 ;"     1:14.55" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;1 ;0 ;2 ;76370 ;"     1:16.37" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;6 ;0 ;3 ;77040 ;"     1:17.04" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;4 ;0 ;4 ;78920 ;"     1:18.92" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;5 ;0 ;5 ;79280 ;"     1:19.28" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;3 ;0 ;6 ;79650 ;"     1:19.65" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;100 ;2 ;0 ;7 ;79730 ;"     1:19.73" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;7 ;0 ;1 ;120690 ;"     2:00.69" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;6 ;0 ;2 ;124830 ;"     2:04.83" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;1 ;0 ;3 ;128010 ;"     2:08.01" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;4 ;0 ;4 ;129450 ;"     2:09.45" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;2 ;0 ;5 ;131530 ;"     2:11.53" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;3 ;0 ;6 ;131580 ;"     2:11.58" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
101 ;0 ;0 ;150 ;5 ;0 ;7 ;137920 ;"     2:17.92" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
