event; round;heat;lane;relais;idBib;
101 ;0 ;0 ;1 ;0 ;70 ;
101 ;0 ;0 ;2 ;0 ;118 ;
101 ;0 ;0 ;3 ;0 ;183 ;
101 ;0 ;0 ;4 ;0 ;100 ;
101 ;0 ;0 ;5 ;0 ;171 ;
101 ;0 ;0 ;6 ;0 ;228 ;
101 ;0 ;0 ;7 ;0 ;20 ;
101 ;0 ;1 ;1 ;0 ;287 ;
101 ;0 ;1 ;2 ;0 ;177 ;
101 ;0 ;1 ;3 ;0 ;208 ;
101 ;0 ;1 ;4 ;0 ;96 ;
101 ;0 ;1 ;5 ;0 ;253 ;
101 ;0 ;1 ;6 ;0 ;110 ;
101 ;0 ;1 ;7 ;0 ;269 ;
101 ;0 ;1 ;8 ;0 ;133 ;
101 ;0 ;2 ;1 ;0 ;22 ;
101 ;0 ;2 ;2 ;0 ;186 ;
101 ;0 ;2 ;3 ;0 ;272 ;
101 ;0 ;2 ;4 ;0 ;158 ;
101 ;0 ;2 ;5 ;0 ;241 ;
101 ;0 ;2 ;6 ;0 ;105 ;
101 ;0 ;2 ;7 ;0 ;130 ;
101 ;0 ;2 ;8 ;0 ;217 ;
101 ;0 ;3 ;1 ;0 ;270 ;
101 ;0 ;3 ;2 ;0 ;249 ;
101 ;0 ;3 ;3 ;0 ;24 ;
101 ;0 ;3 ;4 ;0 ;72 ;
101 ;0 ;3 ;5 ;0 ;215 ;
101 ;0 ;3 ;6 ;0 ;131 ;
101 ;0 ;3 ;7 ;0 ;212 ;
101 ;0 ;3 ;8 ;0 ;234 ;
101 ;0 ;4 ;1 ;0 ;169 ;
101 ;0 ;4 ;2 ;0 ;17 ;
101 ;0 ;4 ;3 ;0 ;268 ;
101 ;0 ;4 ;4 ;0 ;225 ;
101 ;0 ;4 ;5 ;0 ;19 ;
101 ;0 ;4 ;6 ;0 ;155 ;
101 ;0 ;4 ;7 ;0 ;227 ;
101 ;0 ;4 ;8 ;0 ;123 ;
101 ;0 ;5 ;1 ;0 ;45 ;
101 ;0 ;5 ;2 ;0 ;290 ;
101 ;0 ;5 ;3 ;0 ;5 ;
101 ;0 ;5 ;4 ;0 ;181 ;
101 ;0 ;5 ;5 ;0 ;255 ;
101 ;0 ;5 ;6 ;0 ;6 ;
101 ;0 ;5 ;7 ;0 ;46 ;
101 ;0 ;5 ;8 ;0 ;252 ;
102 ;0 ;0 ;1 ;0 ;199 ;
102 ;0 ;0 ;2 ;0 ;39 ;
102 ;0 ;0 ;3 ;0 ;34 ;
102 ;0 ;0 ;4 ;0 ;127 ;
102 ;0 ;0 ;5 ;0 ;112 ;
102 ;0 ;0 ;6 ;0 ;128 ;
102 ;0 ;0 ;7 ;0 ;37 ;
102 ;0 ;1 ;1 ;0 ;115 ;
102 ;0 ;1 ;2 ;0 ;124 ;
102 ;0 ;1 ;3 ;0 ;157 ;
102 ;0 ;1 ;4 ;0 ;67 ;
102 ;0 ;1 ;5 ;0 ;106 ;
102 ;0 ;1 ;6 ;0 ;52 ;
102 ;0 ;1 ;7 ;0 ;91 ;
102 ;0 ;1 ;8 ;0 ;205 ;
103 ;0 ;0 ;2 ;0 ;33 ;
103 ;0 ;0 ;3 ;0 ;70 ;
103 ;0 ;0 ;4 ;0 ;266 ;
103 ;0 ;0 ;5 ;0 ;32 ;
103 ;0 ;0 ;6 ;0 ;269 ;
103 ;0 ;0 ;7 ;0 ;10 ;
103 ;0 ;0 ;8 ;0 ;241 ;
103 ;0 ;1 ;2 ;0 ;30 ;
103 ;0 ;1 ;3 ;0 ;14 ;
103 ;0 ;1 ;4 ;0 ;16 ;
103 ;0 ;1 ;5 ;0 ;113 ;
103 ;0 ;1 ;6 ;0 ;47 ;
103 ;0 ;1 ;7 ;0 ;208 ;
103 ;0 ;2 ;1 ;0 ;171 ;
103 ;0 ;2 ;2 ;0 ;72 ;
103 ;0 ;2 ;3 ;0 ;278 ;
103 ;0 ;2 ;4 ;0 ;116 ;
103 ;0 ;2 ;5 ;0 ;152 ;
103 ;0 ;2 ;6 ;0 ;130 ;
103 ;0 ;2 ;7 ;0 ;98 ;
103 ;0 ;2 ;8 ;0 ;184 ;
103 ;0 ;3 ;1 ;0 ;146 ;
103 ;0 ;3 ;2 ;0 ;73 ;
103 ;0 ;3 ;3 ;0 ;253 ;
103 ;0 ;3 ;4 ;0 ;25 ;
103 ;0 ;3 ;5 ;0 ;183 ;
103 ;0 ;3 ;6 ;0 ;20 ;
103 ;0 ;3 ;7 ;0 ;158 ;
103 ;0 ;3 ;8 ;0 ;270 ;
103 ;0 ;4 ;1 ;0 ;110 ;
103 ;0 ;4 ;2 ;0 ;272 ;
103 ;0 ;4 ;3 ;0 ;177 ;
103 ;0 ;4 ;4 ;0 ;96 ;
103 ;0 ;4 ;5 ;0 ;217 ;
103 ;0 ;4 ;6 ;0 ;213 ;
103 ;0 ;4 ;7 ;0 ;24 ;
103 ;0 ;4 ;8 ;0 ;102 ;
103 ;0 ;5 ;1 ;0 ;238 ;
103 ;0 ;5 ;2 ;0 ;51 ;
103 ;0 ;5 ;3 ;0 ;182 ;
103 ;0 ;5 ;4 ;0 ;234 ;
103 ;0 ;5 ;5 ;0 ;9 ;
103 ;0 ;5 ;6 ;0 ;271 ;
103 ;0 ;5 ;7 ;0 ;235 ;
103 ;0 ;5 ;8 ;0 ;282 ;
103 ;0 ;6 ;1 ;0 ;95 ;
103 ;0 ;6 ;2 ;0 ;242 ;
103 ;0 ;6 ;3 ;0 ;215 ;
103 ;0 ;6 ;4 ;0 ;268 ;
103 ;0 ;6 ;5 ;0 ;250 ;
103 ;0 ;6 ;6 ;0 ;273 ;
103 ;0 ;6 ;7 ;0 ;252 ;
103 ;0 ;6 ;8 ;0 ;218 ;
103 ;0 ;7 ;1 ;0 ;267 ;
103 ;0 ;7 ;2 ;0 ;131 ;
103 ;0 ;7 ;3 ;0 ;225 ;
103 ;0 ;7 ;4 ;0 ;19 ;
103 ;0 ;7 ;5 ;0 ;221 ;
103 ;0 ;7 ;6 ;0 ;4 ;
103 ;0 ;7 ;7 ;0 ;64 ;
103 ;0 ;7 ;8 ;0 ;229 ;
103 ;0 ;8 ;1 ;0 ;193 ;
103 ;0 ;8 ;2 ;0 ;71 ;
103 ;0 ;8 ;3 ;0 ;223 ;
103 ;0 ;8 ;4 ;0 ;6 ;
103 ;0 ;8 ;5 ;0 ;290 ;
103 ;0 ;8 ;6 ;0 ;291 ;
103 ;0 ;8 ;7 ;0 ;120 ;
103 ;0 ;8 ;8 ;0 ;77 ;
103 ;0 ;9 ;1 ;0 ;197 ;
103 ;0 ;9 ;2 ;0 ;198 ;
103 ;0 ;9 ;3 ;0 ;49 ;
103 ;0 ;9 ;4 ;0 ;181 ;
103 ;0 ;9 ;5 ;0 ;134 ;
103 ;0 ;9 ;6 ;0 ;35 ;
103 ;0 ;9 ;7 ;0 ;46 ;
103 ;0 ;9 ;8 ;0 ;97 ;
104 ;0 ;0 ;2 ;0 ;230 ;
104 ;0 ;0 ;3 ;0 ;251 ;
104 ;0 ;0 ;4 ;0 ;127 ;
104 ;0 ;0 ;5 ;0 ;254 ;
104 ;0 ;0 ;6 ;0 ;126 ;
104 ;0 ;0 ;7 ;0 ;86 ;
104 ;0 ;1 ;1 ;0 ;93 ;
104 ;0 ;1 ;2 ;0 ;50 ;
104 ;0 ;1 ;3 ;0 ;142 ;
104 ;0 ;1 ;4 ;0 ;231 ;
104 ;0 ;1 ;5 ;0 ;194 ;
104 ;0 ;1 ;6 ;0 ;69 ;
104 ;0 ;1 ;7 ;0 ;8 ;
104 ;0 ;2 ;1 ;0 ;139 ;
104 ;0 ;2 ;2 ;0 ;173 ;
104 ;0 ;2 ;3 ;0 ;240 ;
104 ;0 ;2 ;4 ;0 ;68 ;
104 ;0 ;2 ;5 ;0 ;191 ;
104 ;0 ;2 ;6 ;0 ;203 ;
104 ;0 ;2 ;7 ;0 ;40 ;
104 ;0 ;2 ;8 ;0 ;75 ;
104 ;0 ;3 ;1 ;0 ;124 ;
104 ;0 ;3 ;2 ;0 ;21 ;
104 ;0 ;3 ;3 ;0 ;288 ;
104 ;0 ;3 ;4 ;0 ;3 ;
104 ;0 ;3 ;5 ;0 ;232 ;
104 ;0 ;3 ;6 ;0 ;107 ;
104 ;0 ;3 ;7 ;0 ;106 ;
104 ;0 ;3 ;8 ;0 ;36 ;
105 ;0 ;0 ;3 ;0 ;16 ;
105 ;0 ;0 ;4 ;0 ;59 ;
105 ;0 ;0 ;5 ;0 ;32 ;
105 ;0 ;0 ;6 ;0 ;105 ;
105 ;0 ;0 ;7 ;0 ;204 ;
105 ;0 ;1 ;2 ;0 ;165 ;
105 ;0 ;1 ;3 ;0 ;118 ;
105 ;0 ;1 ;4 ;0 ;51 ;
105 ;0 ;1 ;5 ;0 ;183 ;
105 ;0 ;1 ;6 ;0 ;214 ;
105 ;0 ;1 ;7 ;0 ;20 ;
105 ;0 ;2 ;1 ;0 ;177 ;
105 ;0 ;2 ;2 ;0 ;158 ;
105 ;0 ;2 ;3 ;0 ;217 ;
105 ;0 ;2 ;4 ;0 ;249 ;
105 ;0 ;2 ;5 ;0 ;228 ;
105 ;0 ;2 ;6 ;0 ;182 ;
105 ;0 ;2 ;7 ;0 ;221 ;
105 ;0 ;2 ;8 ;0 ;268 ;
105 ;0 ;3 ;1 ;0 ;97 ;
105 ;0 ;3 ;2 ;0 ;120 ;
105 ;0 ;3 ;3 ;0 ;291 ;
105 ;0 ;3 ;4 ;0 ;255 ;
105 ;0 ;3 ;5 ;0 ;49 ;
105 ;0 ;3 ;6 ;0 ;123 ;
