id;event;round ;heat
1 ;999 ;4 ;0 ;
2 ;2 ;0 ;0 ;
3 ;3 ;0 ;0 ;
4 ;1 ;0 ;0 ;
5 ;1 ;0 ;0 ;
6 ;1 ;0 ;0 ;
7 ;3 ;0 ;0 ;
8 ;4 ;0 ;0 ;
9 ;5 ;0 ;0 ;
10 ;6 ;0 ;0 ;
11 ;7 ;0 ;0 ;
12 ;8 ;0 ;0 ;
13 ;9 ;0 ;0 ;
14 ;10 ;0 ;0 ;
15 ;9 ;0 ;0 ;
16 ;11 ;0 ;0 ;
17 ;12 ;0 ;0 ;
18 ;13 ;0 ;0 ;
19 ;14 ;0 ;0 ;
20 ;15 ;0 ;0 ;
21 ;16 ;0 ;0 ;
22 ;17 ;0 ;0 ;
23 ;18 ;0 ;0 ;
24 ;19 ;0 ;0 ;
25 ;20 ;0 ;0 ;
26 ;21 ;0 ;0 ;
27 ;22 ;0 ;0 ;
28 ;23 ;0 ;0 ;
29 ;24 ;0 ;0 ;
30 ;25 ;0 ;0 ;
31 ;26 ;0 ;0 ;
32 ;27 ;0 ;0 ;
33 ;28 ;0 ;0 ;
34 ;29 ;0 ;0 ;
35 ;30 ;0 ;0 ;
36 ;31 ;0 ;0 ;
37 ;32 ;0 ;0 ;
38 ;33 ;0 ;0 ;
39 ;34 ;0 ;0 ;
40 ;35 ;0 ;0 ;
41 ;36 ;0 ;0 ;
42 ;37 ;0 ;0 ;
43 ;38 ;0 ;0 ;
44 ;39 ;0 ;0 ;
45 ;40 ;0 ;0 ;
46 ;41 ;0 ;0 ;
47 ;42 ;0 ;0 ;
48 ;43 ;0 ;0 ;
49 ;44 ;0 ;0 ;
50 ;45 ;0 ;0 ;
51 ;46 ;0 ;0 ;
52 ;47 ;0 ;0 ;
53 ;48 ;0 ;0 ;
54 ;49 ;0 ;0 ;
55 ;50 ;0 ;0 ;
56 ;51 ;0 ;0 ;
