event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
1 ;0 ;0 ;0 ;0 ;0 ;0 ;61841540 ;" 17:10:41.54" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;3 ;0 ;1 ;35920 ;"       35.92" ;" " ;36150 ;"       36.15" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;2 ;39490 ;"       39.49" ;" " ;39310 ;"       39.31" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;3 ;40460 ;"       40.46" ;" " ;40170 ;"       40.17" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;4 ;43310 ;"       43.31" ;" " ;43360 ;"       43.36" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;3 ;0 ;1 ;75900 ;"     1:15.90" ;" " ;75780 ;"     1:15.78" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;4 ;0 ;2 ;82850 ;"     1:22.85" ;" " ;82600 ;"     1:22.60" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;2 ;0 ;3 ;85700 ;"     1:25.70" ;" " ;85550 ;"     1:25.55" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;5 ;0 ;4 ;91110 ;"     1:31.11" ;" " ;91240 ;"     1:31.24" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;150 ;3 ;0 ;1 ;117150 ;"     1:57.15" ;" " ;116800 ;"     1:56.80" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;150 ;4 ;0 ;2 ;127550 ;"     2:07.55" ;" " ;127210 ;"     2:07.21" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;150 ;2 ;0 ;3 ;133320 ;"     2:13.32" ;" " ;132160 ;"     2:12.16" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;150 ;5 ;0 ;4 ;139950 ;"     2:19.95" ;" " ;139960 ;"     2:19.96" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;200 ;3 ;0 ;1 ;158550 ;"     2:38.55" ;" " ;158640 ;"     2:38.64" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;200 ;4 ;0 ;2 ;173360 ;"     2:53.36" ;" " ;173310 ;"     2:53.31" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;200 ;2 ;0 ;3 ;176430 ;"     2:56.43" ;" " ;176490 ;"     2:56.49" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;200 ;5 ;0 ;4 ;187330 ;"     3:07.33" ;" " ;187320 ;"     3:07.32" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;62135990 ;" 17:15:35.99" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;1 ;34280 ;"       34.28" ;" " ;34470 ;"       34.47" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;2 ;36900 ;"       36.90" ;" " ;36790 ;"       36.79" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;3 ;0 ;1 ;72320 ;"     1:12.32" ;" " ;72420 ;"     1:12.42" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;4 ;0 ;2 ;77730 ;"     1:17.73" ;" " ;77080 ;"     1:17.08" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;150 ;3 ;0 ;1 ;111190 ;"     1:51.19" ;" " ;111190 ;"     1:51.19" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;150 ;4 ;0 ;2 ;118500 ;"     1:58.50" ;" " ;117970 ;"     1:57.97" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;200 ;3 ;0 ;1 ;148220 ;"     2:28.22" ;" " ;148200 ;"     2:28.20" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;200 ;4 ;0 ;2 ;156810 ;"     2:36.81" ;" " ;156750 ;"     2:36.75" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;0 ;0 ;0 ;0 ;62356300 ;" 17:19:16.30" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;3 ;0 ;1 ;27830 ;"       27.83" ;" " ;27880 ;"       27.88" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;4 ;0 ;2 ;30320 ;"       30.32" ;" " ;30000 ;"       30.00" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;2 ;0 ;3 ;31850 ;"       31.85" ;" " ;31890 ;"       31.89" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;5 ;0 ;4 ;32230 ;"       32.23" ;" " ;32230 ;"       32.23" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;6 ;0 ;5 ;32260 ;"       32.26" ;"E" ;32260 ;"       32.26" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;1 ;0 ;6 ;33540 ;"       33.54" ;" " ;350 ;"        0.35" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;1 ;0 ;1 ;36030 ;"       36.03" ;"E" ;36030 ;"       36.03" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;3 ;0 ;2 ;58590 ;"       58.59" ;" " ;58710 ;"       58.71" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;4 ;0 ;3 ;63730 ;"     1:03.73" ;" " ;63400 ;"     1:03.40" ;"A" ;0 ;"" ;"" ;
