event;round;heat;lane;relais;idBib
1 ;0 ;0 ;2 ;0 ;1 ;
1 ;0 ;0 ;3 ;0 ;2 ;
1 ;0 ;0 ;4 ;0 ;3 ;
1 ;0 ;0 ;5 ;0 ;4 ;
2 ;0 ;0 ;3 ;0 ;0 ;
2 ;0 ;0 ;4 ;0 ;5 ;
2 ;0 ;1 ;1 ;0 ;6 ;
2 ;0 ;1 ;2 ;0 ;7 ;
2 ;0 ;1 ;3 ;0 ;8 ;
2 ;0 ;1 ;4 ;0 ;9 ;
2 ;0 ;1 ;5 ;0 ;10 ;
2 ;0 ;1 ;6 ;0 ;11 ;
3 ;0 ;0 ;1 ;0 ;18 ;
3 ;0 ;0 ;2 ;0 ;19 ;
3 ;0 ;0 ;3 ;0 ;20 ;
3 ;0 ;0 ;4 ;0 ;21 ;
3 ;0 ;0 ;5 ;0 ;22 ;
3 ;0 ;0 ;6 ;0 ;23 ;
4 ;0 ;0 ;1 ;0 ;12 ;
4 ;0 ;0 ;2 ;0 ;13 ;
4 ;0 ;0 ;3 ;0 ;14 ;
4 ;0 ;0 ;4 ;0 ;15 ;
4 ;0 ;0 ;5 ;0 ;16 ;
4 ;0 ;0 ;6 ;0 ;17 ;
5 ;0 ;0 ;1 ;0 ;24 ;
5 ;0 ;0 ;2 ;0 ;25 ;
5 ;0 ;0 ;3 ;0 ;26 ;
5 ;0 ;0 ;4 ;0 ;27 ;
5 ;0 ;0 ;5 ;0 ;30 ;
5 ;0 ;0 ;6 ;0 ;28 ;
6 ;0 ;0 ;1 ;0 ;5 ;
6 ;0 ;0 ;2 ;0 ;4 ;
6 ;0 ;0 ;3 ;0 ;29 ;
6 ;0 ;0 ;4 ;0 ;1 ;
6 ;0 ;0 ;5 ;0 ;22 ;
7 ;0 ;0 ;2 ;0 ;27 ;
7 ;0 ;0 ;3 ;0 ;21 ;
7 ;0 ;0 ;4 ;0 ;13 ;
7 ;0 ;0 ;5 ;0 ;25 ;
7 ;0 ;1 ;1 ;0 ;19 ;
7 ;0 ;1 ;2 ;0 ;2 ;
7 ;0 ;1 ;3 ;0 ;31 ;
7 ;0 ;1 ;4 ;0 ;8 ;
7 ;0 ;1 ;5 ;0 ;9 ;
9 ;0 ;0 ;1 ;0 ;17 ;
9 ;0 ;0 ;2 ;0 ;12 ;
9 ;0 ;0 ;3 ;0 ;24 ;
9 ;0 ;0 ;4 ;0 ;18 ;
9 ;0 ;0 ;5 ;0 ;23 ;
9 ;0 ;0 ;6 ;0 ;28 ;
9 ;0 ;1 ;1 ;0 ;6 ;
9 ;0 ;1 ;2 ;0 ;15 ;
9 ;0 ;1 ;3 ;0 ;11 ;
9 ;0 ;1 ;4 ;0 ;10 ;
9 ;0 ;1 ;5 ;0 ;7 ;
9 ;0 ;1 ;6 ;0 ;16 ;
9 ;0 ;2 ;1 ;0 ;26 ;
9 ;0 ;2 ;2 ;0 ;3 ;
9 ;0 ;2 ;3 ;0 ;31 ;
9 ;0 ;2 ;4 ;0 ;20 ;
9 ;0 ;2 ;5 ;0 ;14 ;
9 ;0 ;2 ;6 ;0 ;29 ;
9 ;0 ;3 ;2 ;0 ;9 ;
9 ;0 ;3 ;3 ;0 ;8 ;
9 ;0 ;3 ;4 ;0 ;29 ;
9 ;0 ;3 ;5 ;0 ;19 ;
9 ;0 ;4 ;1 ;0 ;0 ;
9 ;0 ;4 ;2 ;0 ;4 ;
9 ;0 ;4 ;3 ;0 ;30 ;
9 ;0 ;4 ;4 ;0 ;25 ;
9 ;0 ;4 ;5 ;0 ;27 ;
9 ;0 ;4 ;6 ;0 ;5 ;
10 ;0 ;0 ;2 ;0 ;10 ;
10 ;0 ;0 ;3 ;0 ;26 ;
10 ;0 ;0 ;4 ;0 ;14 ;
10 ;0 ;0 ;5 ;0 ;15 ;
10 ;0 ;0 ;6 ;0 ;13 ;
12 ;0 ;1 ;1 ;0 ;23 ;
12 ;0 ;1 ;2 ;0 ;1 ;
12 ;0 ;1 ;3 ;0 ;22 ;
12 ;0 ;1 ;4 ;0 ;18 ;
12 ;0 ;1 ;5 ;0 ;24 ;
12 ;0 ;1 ;6 ;0 ;28 ;
11 ;0 ;0 ;2 ;0 ;12 ;
11 ;0 ;0 ;3 ;0 ;16 ;
11 ;0 ;0 ;4 ;0 ;11 ;
11 ;0 ;0 ;5 ;0 ;17 ;
8 ;0 ;0 ;2 ;0 ;32 ;
8 ;0 ;0 ;3 ;0 ;30 ;
8 ;0 ;0 ;4 ;0 ;0 ;
12 ;0 ;0 ;2 ;0 ;6 ;
12 ;0 ;0 ;3 ;0 ;20 ;
12 ;0 ;0 ;4 ;0 ;7 ;
12 ;0 ;0 ;5 ;0 ;11 ;
13 ;0 ;0 ;2 ;0 ;21 ;
13 ;0 ;0 ;3 ;0 ;31 ;
15 ;0 ;0 ;2 ;0 ;2 ;
15 ;0 ;0 ;3 ;0 ;3 ;
15 ;0 ;0 ;4 ;0 ;32 ;
