id;event;round ;heat
1 ;1 ;0 ;0 ;
2 ;1 ;0 ;0 ;
3 ;1 ;0 ;1 ;
4 ;2 ;0 ;0 ;
5 ;2 ;0 ;0 ;
6 ;2 ;0 ;0 ;
7 ;2 ;0 ;1 ;
8 ;2 ;0 ;1 ;
9 ;3 ;0 ;0 ;
10 ;3 ;0 ;0 ;
11 ;4 ;0 ;0 ;
12 ;4 ;0 ;0 ;
13 ;5 ;0 ;0 ;
14 ;5 ;0 ;0 ;
15 ;14 ;0 ;0 ;
16 ;6 ;0 ;0 ;
17 ;6 ;0 ;0 ;
18 ;6 ;0 ;0 ;
19 ;7 ;0 ;0 ;
20 ;7 ;0 ;0 ;
21 ;7 ;0 ;1 ;
22 ;7 ;0 ;1 ;
23 ;8 ;0 ;0 ;
24 ;8 ;0 ;0 ;
25 ;9 ;0 ;0 ;
26 ;9 ;0 ;0 ;
27 ;9 ;0 ;1 ;
28 ;9 ;0 ;1 ;
29 ;9 ;0 ;2 ;
30 ;9 ;0 ;2 ;
31 ;9 ;0 ;3 ;
32 ;9 ;0 ;3 ;
33 ;9 ;0 ;4 ;
34 ;9 ;0 ;4 ;
35 ;10 ;0 ;0 ;
36 ;10 ;0 ;0 ;
37 ;11 ;0 ;0 ;
38 ;12 ;0 ;0 ;
39 ;12 ;0 ;0 ;
40 ;12 ;0 ;1 ;
41 ;12 ;0 ;1 ;
42 ;13 ;0 ;0 ;
43 ;13 ;0 ;0 ;
44 ;15 ;0 ;0 ;
45 ;15 ;0 ;0 ;
