event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
21 ;0 ;0 ;0 ;0 ;0 ;0 ;34649580 ;"  9:37:29.58" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;0 ;50 ;3 ;0 ;1 ;43950 ;"       43.95" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;0 ;50 ;5 ;0 ;2 ;45370 ;"       45.37" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;0 ;50 ;4 ;0 ;3 ;51670 ;"       51.67" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;0 ;100 ;3 ;0 ;1 ;92330 ;"     1:32.33" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;0 ;100 ;5 ;0 ;2 ;93610 ;"     1:33.61" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;0 ;100 ;4 ;0 ;3 ;103800 ;"     1:43.80" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;0 ;150 ;3 ;0 ;1 ;152980 ;"     2:32.98" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;0 ;150 ;5 ;0 ;2 ;157190 ;"     2:37.19" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;0 ;150 ;4 ;0 ;3 ;167760 ;"     2:47.76" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;0 ;200 ;3 ;0 ;1 ;194270 ;"     3:14.27" ;" " ;194480 ;"     3:14.48" ;"A" ;0 ;"" ;"" ;
21 ;0 ;0 ;200 ;5 ;0 ;2 ;200980 ;"     3:20.98" ;" " ;201050 ;"     3:21.05" ;"A" ;0 ;"" ;"" ;
21 ;0 ;0 ;200 ;4 ;0 ;3 ;211770 ;"     3:31.77" ;" " ;211880 ;"     3:31.88" ;"A" ;0 ;"" ;"" ;
21 ;0 ;1 ;0 ;0 ;0 ;0 ;34891690 ;"  9:41:31.69" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;1 ;50 ;2 ;0 ;1 ;41000 ;"       41.00" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;1 ;50 ;3 ;0 ;2 ;44640 ;"       44.64" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;1 ;50 ;7 ;0 ;3 ;47050 ;"       47.05" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;1 ;50 ;4 ;0 ;4 ;47890 ;"       47.89" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;1 ;50 ;5 ;0 ;5 ;48340 ;"       48.34" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;1 ;50 ;1 ;0 ;6 ;50950 ;"       50.95" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;1 ;50 ;6 ;0 ;7 ;52350 ;"       52.35" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;1 ;100 ;2 ;0 ;1 ;88040 ;"     1:28.04" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;1 ;100 ;7 ;0 ;2 ;91880 ;"     1:31.88" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;1 ;100 ;5 ;0 ;3 ;94170 ;"     1:34.17" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
21 ;0 ;1 ;100 ;3 ;0 ;4 ;97030 ;"     1:37.03" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
