id;event;round ;heat
1 ;36 ;0 ;8 ;
2 ;36 ;0 ;9 ;
3 ;37 ;0 ;0 ;
4 ;37 ;0 ;1 ;
5 ;37 ;0 ;2 ;
6 ;37 ;0 ;3 ;
7 ;37 ;0 ;4 ;
8 ;37 ;0 ;5 ;
9 ;37 ;0 ;6 ;
10 ;38 ;0 ;0 ;
11 ;38 ;0 ;1 ;
12 ;38 ;0 ;2 ;
13 ;38 ;0 ;3 ;
14 ;38 ;0 ;4 ;
15 ;38 ;0 ;5 ;
16 ;39 ;0 ;0 ;
17 ;39 ;0 ;1 ;
18 ;39 ;0 ;2 ;
19 ;39 ;0 ;3 ;
20 ;39 ;0 ;4 ;
21 ;39 ;0 ;5 ;
22 ;39 ;0 ;6 ;
23 ;39 ;0 ;7 ;
24 ;39 ;0 ;8 ;
25 ;39 ;0 ;9 ;
26 ;39 ;0 ;10 ;
27 ;40 ;0 ;0 ;
28 ;40 ;0 ;1 ;
29 ;40 ;0 ;2 ;
30 ;40 ;0 ;3 ;
31 ;40 ;0 ;4 ;
32 ;40 ;0 ;5 ;
33 ;40 ;0 ;6 ;
34 ;40 ;0 ;7 ;
