event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
1 ;0 ;0 ;0 ;0 ;0 ;0 ;68720 ;"     1:08.72" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;0 ;2 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;1 ;42680 ;"       42.68" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;2 ;43760 ;"       43.76" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;6 ;0 ;3 ;45240 ;"       45.24" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;4 ;45930 ;"       45.93" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;1 ;0 ;5 ;53580 ;"       53.58" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;5 ;0 ;1 ;89190 ;"     1:29.19" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;4 ;0 ;2 ;91100 ;"     1:31.10" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;2 ;0 ;3 ;94940 ;"     1:34.94" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;6 ;0 ;4 ;95310 ;"     1:35.31" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;1 ;0 ;5 ;112270 ;"     1:52.27" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;150 ;5 ;0 ;1 ;136180 ;"     2:16.18" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;150 ;4 ;0 ;2 ;140010 ;"     2:20.01" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;150 ;2 ;0 ;3 ;145090 ;"     2:25.09" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;150 ;6 ;0 ;4 ;146490 ;"     2:26.49" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;200 ;5 ;0 ;1 ;183730 ;"     3:03.73" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;200 ;4 ;0 ;2 ;188550 ;"     3:08.55" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;200 ;2 ;0 ;3 ;195790 ;"     3:15.79" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;200 ;6 ;0 ;4 ;198420 ;"     3:18.42" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;200 ;1 ;0 ;5 ;234760 ;"     3:54.76" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;250 ;5 ;0 ;1 ;232050 ;"     3:52.05" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;250 ;4 ;0 ;2 ;238220 ;"     3:58.22" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;250 ;3 ;0 ;3 ;247020 ;"     4:07.02" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;250 ;6 ;0 ;4 ;249620 ;"     4:09.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;250 ;1 ;0 ;5 ;297400 ;"     4:57.40" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;300 ;5 ;0 ;1 ;279500 ;"     4:39.50" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;300 ;4 ;0 ;2 ;288220 ;"     4:48.22" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;300 ;2 ;0 ;3 ;297780 ;"     4:57.78" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;300 ;3 ;0 ;4 ;298450 ;"     4:58.45" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;300 ;6 ;0 ;5 ;301740 ;"     5:01.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
