event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
601 ;0 ;0 ;0 ;0 ;0 ;0 ;37701470 ;" 10:28:21.47" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;0 ;6 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;50 ;4 ;0 ;1 ;43910 ;"       43.91" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;50 ;3 ;0 ;2 ;44480 ;"       44.48" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;50 ;2 ;0 ;3 ;46450 ;"       46.45" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;50 ;1 ;0 ;4 ;51760 ;"       51.76" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;50 ;5 ;0 ;5 ;53210 ;"       53.21" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;50 ;6 ;0 ;6 ;55740 ;"       55.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;100 ;4 ;0 ;1 ;93620 ;"     1:33.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;100 ;3 ;0 ;2 ;95200 ;"     1:35.20" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;100 ;2 ;0 ;3 ;101160 ;"     1:41.16" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;100 ;1 ;0 ;4 ;109820 ;"     1:49.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;100 ;5 ;0 ;5 ;114660 ;"     1:54.66" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;150 ;4 ;0 ;1 ;144520 ;"     2:24.52" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;150 ;3 ;0 ;2 ;145120 ;"     2:25.12" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;150 ;2 ;0 ;3 ;154080 ;"     2:34.08" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;150 ;1 ;0 ;4 ;172000 ;"     2:52.00" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;150 ;5 ;0 ;5 ;176410 ;"     2:56.41" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;200 ;4 ;0 ;1 ;194390 ;"     3:14.39" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;200 ;3 ;0 ;2 ;195500 ;"     3:15.50" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;200 ;2 ;0 ;3 ;209740 ;"     3:29.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;200 ;1 ;0 ;4 ;235870 ;"     3:55.87" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;200 ;5 ;0 ;5 ;238670 ;"     3:58.67" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;200 ;6 ;0 ;6 ;263140 ;"     4:23.14" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;250 ;3 ;0 ;1 ;246070 ;"     4:06.07" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
601 ;0 ;0 ;250 ;2 ;0 ;2 ;263040 ;"     4:23.04" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
