event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
151 ;0 ;0 ;0 ;0 ;0 ;0 ;207660 ;"     3:27.66" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;50 ;3 ;0 ;1 ;44200 ;"       44.20" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;50 ;4 ;0 ;2 ;44560 ;"       44.56" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;50 ;2 ;0 ;3 ;46170 ;"       46.17" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;50 ;5 ;0 ;4 ;47940 ;"       47.94" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;50 ;1 ;0 ;5 ;52250 ;"       52.25" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;100 ;3 ;0 ;1 ;92620 ;"     1:32.62" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;100 ;4 ;0 ;2 ;92730 ;"     1:32.73" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;100 ;2 ;0 ;3 ;98040 ;"     1:38.04" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;100 ;5 ;0 ;4 ;100480 ;"     1:40.48" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;100 ;1 ;0 ;5 ;110030 ;"     1:50.03" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;150 ;4 ;0 ;1 ;140770 ;"     2:20.77" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;150 ;3 ;0 ;2 ;142230 ;"     2:22.23" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;150 ;2 ;0 ;3 ;153010 ;"     2:33.01" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;150 ;5 ;0 ;4 ;153970 ;"     2:33.97" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;150 ;1 ;0 ;5 ;170200 ;"     2:50.20" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;200 ;4 ;0 ;1 ;188660 ;"     3:08.66" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;200 ;3 ;0 ;2 ;191310 ;"     3:11.31" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;200 ;5 ;0 ;3 ;207810 ;"     3:27.81" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;200 ;2 ;0 ;4 ;208430 ;"     3:28.43" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;200 ;1 ;0 ;5 ;230100 ;"     3:50.10" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;250 ;4 ;0 ;1 ;236930 ;"     3:56.93" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;250 ;3 ;0 ;2 ;240250 ;"     4:00.25" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;250 ;5 ;0 ;3 ;261280 ;"     4:21.28" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;250 ;1 ;0 ;4 ;291230 ;"     4:51.23" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;300 ;4 ;0 ;1 ;284470 ;"     4:44.47" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;300 ;3 ;0 ;2 ;290410 ;"     4:50.41" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;300 ;5 ;0 ;3 ;315880 ;"     5:15.88" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;300 ;2 ;0 ;4 ;321800 ;"     5:21.80" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;300 ;1 ;0 ;5 ;352590 ;"     5:52.59" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;350 ;4 ;0 ;1 ;332900 ;"     5:32.90" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;350 ;3 ;0 ;2 ;341380 ;"     5:41.38" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;350 ;5 ;0 ;3 ;370860 ;"     6:10.86" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;350 ;2 ;0 ;4 ;377180 ;"     6:17.18" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;350 ;1 ;0 ;5 ;413960 ;"     6:53.96" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;400 ;4 ;0 ;1 ;381780 ;"     6:21.78" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;400 ;3 ;0 ;2 ;390610 ;"     6:30.61" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;400 ;5 ;0 ;3 ;424730 ;"     7:04.73" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;400 ;2 ;0 ;4 ;432940 ;"     7:12.94" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;400 ;1 ;0 ;5 ;475280 ;"     7:55.28" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;450 ;4 ;0 ;1 ;431730 ;"     7:11.73" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;450 ;3 ;0 ;2 ;441230 ;"     7:21.23" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;450 ;5 ;0 ;3 ;478960 ;"     7:58.96" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;450 ;2 ;0 ;4 ;489840 ;"     8:09.84" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;450 ;1 ;0 ;5 ;537610 ;"     8:57.61" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;500 ;4 ;0 ;1 ;480640 ;"     8:00.64" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;500 ;3 ;0 ;2 ;491610 ;"     8:11.61" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;500 ;5 ;0 ;3 ;531920 ;"     8:51.92" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;500 ;2 ;0 ;4 ;547490 ;"     9:07.49" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;500 ;1 ;0 ;5 ;598980 ;"     9:58.98" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;550 ;4 ;0 ;1 ;529980 ;"     8:49.98" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;550 ;3 ;0 ;2 ;542480 ;"     9:02.48" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;550 ;5 ;0 ;3 ;587780 ;"     9:47.78" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
151 ;0 ;0 ;550 ;2 ;0 ;4 ;603440 ;"    10:03.44" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
