event; round;heat;lane;relais;idBib;
151 ;0 ;0 ;1 ;0 ;96 ;
151 ;0 ;0 ;2 ;0 ;42 ;
151 ;0 ;0 ;3 ;0 ;78 ;
151 ;0 ;0 ;4 ;0 ;12 ;
151 ;0 ;0 ;5 ;0 ;87 ;
151 ;0 ;1 ;1 ;0 ;82 ;
151 ;0 ;1 ;2 ;0 ;9 ;
151 ;0 ;1 ;3 ;0 ;121 ;
151 ;0 ;1 ;4 ;0 ;97 ;
151 ;0 ;1 ;5 ;0 ;72 ;
151 ;0 ;1 ;6 ;0 ;28 ;
151 ;0 ;2 ;1 ;0 ;69 ;
151 ;0 ;2 ;2 ;0 ;32 ;
151 ;0 ;2 ;3 ;0 ;59 ;
151 ;0 ;2 ;4 ;0 ;30 ;
151 ;0 ;2 ;5 ;0 ;130 ;
151 ;0 ;2 ;6 ;0 ;7 ;
151 ;0 ;3 ;2 ;0 ;36 ;
151 ;0 ;3 ;3 ;0 ;68 ;
151 ;0 ;3 ;4 ;0 ;110 ;
151 ;0 ;4 ;1 ;0 ;8 ;
151 ;0 ;4 ;2 ;0 ;93 ;
151 ;0 ;4 ;3 ;0 ;79 ;
151 ;0 ;4 ;4 ;0 ;15 ;
151 ;0 ;4 ;5 ;0 ;1 ;
151 ;0 ;4 ;6 ;0 ;40 ;
151 ;0 ;5 ;1 ;0 ;46 ;
151 ;0 ;5 ;2 ;0 ;17 ;
151 ;0 ;5 ;3 ;0 ;51 ;
151 ;0 ;5 ;4 ;0 ;86 ;
151 ;0 ;5 ;5 ;0 ;3 ;
151 ;0 ;5 ;6 ;0 ;14 ;
151 ;0 ;6 ;1 ;0 ;23 ;
151 ;0 ;6 ;2 ;0 ;71 ;
151 ;0 ;6 ;3 ;0 ;77 ;
151 ;0 ;6 ;4 ;0 ;116 ;
151 ;0 ;6 ;5 ;0 ;24 ;
151 ;0 ;6 ;6 ;0 ;50 ;
151 ;0 ;7 ;1 ;0 ;123 ;
151 ;0 ;7 ;2 ;0 ;18 ;
151 ;0 ;7 ;3 ;0 ;76 ;
151 ;0 ;7 ;4 ;0 ;94 ;
151 ;0 ;7 ;5 ;0 ;2 ;
151 ;0 ;7 ;6 ;0 ;43 ;
151 ;0 ;8 ;1 ;0 ;56 ;
151 ;0 ;8 ;2 ;0 ;67 ;
151 ;0 ;8 ;3 ;0 ;45 ;
151 ;0 ;8 ;4 ;0 ;61 ;
151 ;0 ;8 ;5 ;0 ;113 ;
151 ;0 ;8 ;6 ;0 ;60 ;
