event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
999 ;4 ;0 ;0 ;0 ;0 ;0 ;46972660 ;" 13:02:52.66" ;"M" ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;1 ;0 ;1 ;2570 ;"00:00" ;"M" ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;2 ;0 ;2 ;3190 ;"00:00" ;"M" ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;3 ;0 ;3 ;3710 ;"00:00" ;"M" ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;4 ;0 ;4 ;4140 ;"00:00" ;"M" ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;5 ;0 ;5 ;4540 ;"00:00" ;"M" ;0 ;"" ;"" ;0 ;"" ;"" ;
999 ;4 ;0 ;50 ;6 ;0 ;6 ;5460 ;"00:00" ;"M" ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;0 ;0 ;0 ;0 ;49029200 ;" 13:37:09.20" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;3 ;0 ;1 ;41460 ;"       41.46" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;2 ;0 ;2 ;43490 ;"       43.49" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;4 ;0 ;3 ;44900 ;"       44.90" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;5 ;0 ;4 ;47900 ;"       47.90" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;50 ;6 ;0 ;5 ;48740 ;"       48.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;3 ;0 ;1 ;74350 ;"     1:14.35" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;2 ;0 ;2 ;79910 ;"     1:19.91" ;" " ;80040 ;"     1:20.04" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;4 ;0 ;3 ;81200 ;"     1:21.20" ;" " ;81400 ;"     1:21.40" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;6 ;0 ;4 ;87070 ;"     1:27.07" ;" " ;87270 ;"     1:27.27" ;"A" ;0 ;"" ;"" ;
1 ;0 ;0 ;100 ;5 ;0 ;5 ;88810 ;"     1:28.81" ;"E" ;88810 ;"     1:28.81" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;0 ;0 ;0 ;0 ;49167750 ;" 13:39:27.75" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;3 ;0 ;1 ;38390 ;"       38.39" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;4 ;0 ;2 ;41410 ;"       41.41" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;5 ;0 ;3 ;43100 ;"       43.10" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;6 ;0 ;4 ;45470 ;"       45.47" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;50 ;2 ;0 ;5 ;49180 ;"       49.18" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;3 ;0 ;1 ;73060 ;"     1:13.06" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;4 ;0 ;2 ;79060 ;"     1:19.06" ;" " ;79190 ;"     1:19.19" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;6 ;0 ;3 ;79610 ;"     1:19.61" ;" " ;79860 ;"     1:19.86" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;2 ;0 ;4 ;83030 ;"     1:23.03" ;" " ;83150 ;"     1:23.15" ;"A" ;0 ;"" ;"" ;
1 ;0 ;1 ;100 ;5 ;0 ;5 ;83740 ;"     1:23.74" ;" " ;83730 ;"     1:23.73" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;0 ;0 ;0 ;0 ;49331600 ;" 13:42:11.60" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;4 ;0 ;1 ;40060 ;"       40.06" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;2 ;0 ;2 ;40240 ;"       40.24" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;50 ;3 ;0 ;3 ;41220 ;"       41.22" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;3 ;0 ;1 ;73980 ;"     1:13.98" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;4 ;0 ;2 ;74990 ;"     1:14.99" ;" " ;74970 ;"     1:14.97" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;2 ;0 ;3 ;75430 ;"     1:15.43" ;" " ;75440 ;"     1:15.44" ;"A" ;0 ;"" ;"" ;
2 ;0 ;0 ;100 ;1 ;0 ;4 ;79300 ;"     1:19.30" ;" " ;79340 ;"     1:19.34" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;0 ;0 ;0 ;0 ;49472480 ;" 13:44:32.48" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;2 ;0 ;1 ;39650 ;"       39.65" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;4 ;0 ;2 ;40500 ;"       40.50" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;3 ;0 ;3 ;43460 ;"       43.46" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;1 ;0 ;4 ;47890 ;"       47.89" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;50 ;5 ;0 ;0 ;0 ;"" ;"" ;75100 ;"     1:15.10" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;4 ;0 ;1 ;73410 ;"     1:13.41" ;" " ;73570 ;"     1:13.57" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;3 ;0 ;2 ;74140 ;"     1:14.14" ;" " ;74070 ;"     1:14.07" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;2 ;0 ;3 ;74680 ;"     1:14.68" ;" " ;74850 ;"     1:14.85" ;"A" ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;5 ;0 ;4 ;75020 ;"     1:15.02" ;"*" ;0 ;"" ;"" ;0 ;"" ;"" ;
2 ;0 ;1 ;100 ;1 ;0 ;5 ;83260 ;"     1:23.26" ;" " ;83480 ;"     1:23.48" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;0 ;0 ;0 ;0 ;49641400 ;" 13:47:21.40" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;3 ;0 ;1 ;42050 ;"       42.05" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;4 ;0 ;2 ;42090 ;"       42.09" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;2 ;0 ;3 ;49580 ;"       49.58" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;50 ;5 ;0 ;4 ;51400 ;"       51.40" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;3 ;0 ;1 ;75070 ;"     1:15.07" ;" " ;75050 ;"     1:15.05" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;4 ;0 ;2 ;76120 ;"     1:16.12" ;" " ;76250 ;"     1:16.25" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;2 ;0 ;3 ;86230 ;"     1:26.23" ;"E" ;86230 ;"     1:26.23" ;"A" ;0 ;"" ;"" ;
3 ;0 ;0 ;100 ;5 ;0 ;4 ;88030 ;"     1:28.03" ;" " ;88160 ;"     1:28.16" ;"A" ;0 ;"" ;"" ;
3 ;0 ;1 ;0 ;0 ;0 ;0 ;49825120 ;" 13:50:25.12" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;1 ;50 ;3 ;0 ;1 ;40720 ;"       40.72" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;1 ;50 ;4 ;0 ;2 ;42570 ;"       42.57" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;1 ;50 ;2 ;0 ;3 ;44780 ;"       44.78" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;1 ;50 ;1 ;0 ;4 ;49460 ;"       49.46" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;1 ;50 ;5 ;0 ;5 ;49590 ;"       49.59" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
3 ;0 ;1 ;100 ;3 ;0 ;1 ;71370 ;"     1:11.37" ;" " ;71360 ;"     1:11.36" ;"A" ;0 ;"" ;"" ;
3 ;0 ;1 ;100 ;4 ;0 ;2 ;76520 ;"     1:16.52" ;" " ;76600 ;"     1:16.60" ;"A" ;0 ;"" ;"" ;
3 ;0 ;1 ;100 ;2 ;0 ;3 ;79630 ;"     1:19.63" ;" " ;79800 ;"     1:19.80" ;"A" ;0 ;"" ;"" ;
3 ;0 ;1 ;100 ;1 ;0 ;4 ;83990 ;"     1:23.99" ;" " ;84090 ;"     1:24.09" ;"A" ;0 ;"" ;"" ;
3 ;0 ;1 ;100 ;5 ;0 ;5 ;86600 ;"     1:26.60" ;" " ;86750 ;"     1:26.75" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;0 ;0 ;0 ;0 ;50060100 ;" 13:54:20.10" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;3 ;0 ;1 ;38120 ;"       38.12" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;4 ;0 ;2 ;40090 ;"       40.09" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;2 ;0 ;3 ;41440 ;"       41.44" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;6 ;0 ;4 ;44280 ;"       44.28" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;1 ;0 ;5 ;45190 ;"       45.19" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;50 ;5 ;0 ;6 ;46990 ;"       46.99" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
4 ;0 ;0 ;100 ;3 ;0 ;1 ;72300 ;"     1:12.30" ;" " ;72260 ;"     1:12.26" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;100 ;4 ;0 ;2 ;72600 ;"     1:12.60" ;" " ;72880 ;"     1:12.88" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;100 ;2 ;0 ;3 ;79680 ;"     1:19.68" ;" " ;79710 ;"     1:19.71" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;100 ;6 ;0 ;4 ;81070 ;"     1:21.07" ;" " ;81220 ;"     1:21.22" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;100 ;1 ;0 ;5 ;81380 ;"     1:21.38" ;" " ;81470 ;"     1:21.47" ;"A" ;0 ;"" ;"" ;
4 ;0 ;0 ;100 ;5 ;0 ;6 ;81390 ;"     1:21.39" ;" " ;81470 ;"     1:21.47" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;0 ;0 ;0 ;0 ;50282390 ;" 13:58:02.39" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;1 ;0 ;1 ;39260 ;"       39.26" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;5 ;0 ;2 ;39700 ;"       39.70" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;3 ;0 ;3 ;40070 ;"       40.07" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;4 ;0 ;4 ;40270 ;"       40.27" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;6 ;0 ;5 ;42460 ;"       42.46" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
5 ;0 ;0 ;50 ;2 ;0 ;6 ;43060 ;"       43.06" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
5 ;0 ;0 ;100 ;3 ;0 ;1 ;72760 ;"     1:12.76" ;" " ;72700 ;"     1:12.70" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;100 ;2 ;0 ;2 ;73820 ;"     1:13.82" ;" " ;73980 ;"     1:13.98" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;100 ;1 ;0 ;3 ;74190 ;"     1:14.19" ;" " ;74280 ;"     1:14.28" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;100 ;4 ;0 ;4 ;74520 ;"     1:14.52" ;" " ;74570 ;"     1:14.57" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;100 ;5 ;0 ;5 ;74850 ;"     1:14.85" ;" " ;75030 ;"     1:15.03" ;"A" ;0 ;"" ;"" ;
5 ;0 ;0 ;100 ;6 ;0 ;6 ;76130 ;"     1:16.13" ;" " ;76180 ;"     1:16.18" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;0 ;0 ;0 ;0 ;50504970 ;" 14:01:44.97" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
6 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;4 ;0 ;1 ;40790 ;"       40.79" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;3 ;0 ;2 ;41640 ;"       41.64" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;5 ;0 ;3 ;42580 ;"       42.58" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;2 ;0 ;4 ;42890 ;"       42.89" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;1 ;0 ;5 ;48950 ;"       48.95" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
6 ;0 ;0 ;50 ;6 ;0 ;6 ;50240 ;"       50.24" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
6 ;0 ;0 ;100 ;3 ;0 ;1 ;71990 ;"     1:11.99" ;" " ;72000 ;"     1:12.00" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;100 ;4 ;0 ;2 ;73800 ;"     1:13.80" ;"E" ;73800 ;"     1:13.80" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;100 ;5 ;0 ;3 ;76880 ;"     1:16.88" ;" " ;76910 ;"     1:16.91" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;100 ;2 ;0 ;4 ;77350 ;"     1:17.35" ;" " ;77470 ;"     1:17.47" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;100 ;1 ;0 ;5 ;84070 ;"     1:24.07" ;" " ;84240 ;"     1:24.24" ;"A" ;0 ;"" ;"" ;
6 ;0 ;0 ;100 ;6 ;0 ;6 ;88240 ;"     1:28.24" ;" " ;87890 ;"     1:27.89" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;0 ;0 ;0 ;0 ;51479860 ;" 14:17:59.86" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;3 ;0 ;1 ;33280 ;"       33.28" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;4 ;0 ;2 ;34090 ;"       34.09" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;2 ;0 ;3 ;38000 ;"       38.00" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
7 ;0 ;0 ;50 ;6 ;0 ;4 ;38500 ;"       38.50" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
7 ;0 ;0 ;100 ;3 ;0 ;1 ;64580 ;"     1:04.58" ;" " ;64590 ;"     1:04.59" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;100 ;4 ;0 ;2 ;68870 ;"     1:08.87" ;" " ;68980 ;"     1:08.98" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;100 ;6 ;0 ;3 ;74590 ;"     1:14.59" ;" " ;74760 ;"     1:14.76" ;"A" ;0 ;"" ;"" ;
7 ;0 ;0 ;100 ;2 ;0 ;4 ;75320 ;"     1:15.32" ;" " ;75590 ;"     1:15.59" ;"A" ;0 ;"" ;"" ;
7 ;0 ;1 ;0 ;0 ;0 ;0 ;51600820 ;" 14:20:00.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
7 ;0 ;1 ;50 ;3 ;0 ;1 ;32350 ;"       32.35" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
7 ;0 ;1 ;50 ;4 ;0 ;2 ;32740 ;"       32.74" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
7 ;0 ;1 ;50 ;6 ;0 ;3 ;33800 ;"       33.80" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
7 ;0 ;1 ;50 ;5 ;0 ;4 ;34540 ;"       34.54" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
7 ;0 ;1 ;50 ;1 ;0 ;5 ;40280 ;"       40.28" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
7 ;0 ;1 ;100 ;3 ;0 ;1 ;63440 ;"     1:03.44" ;" " ;63330 ;"     1:03.33" ;"A" ;0 ;"" ;"" ;
7 ;0 ;1 ;100 ;4 ;0 ;2 ;66210 ;"     1:06.21" ;" " ;66290 ;"     1:06.29" ;"A" ;0 ;"" ;"" ;
7 ;0 ;1 ;100 ;6 ;0 ;3 ;68580 ;"     1:08.58" ;" " ;68720 ;"     1:08.72" ;"A" ;0 ;"" ;"" ;
7 ;0 ;1 ;100 ;5 ;0 ;4 ;70040 ;"     1:10.04" ;" " ;70030 ;"     1:10.03" ;"A" ;0 ;"" ;"" ;
7 ;0 ;1 ;100 ;1 ;0 ;5 ;71240 ;"     1:11.24" ;" " ;71450 ;"     1:11.45" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;0 ;0 ;0 ;0 ;51748490 ;" 14:22:28.49" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;2 ;0 ;1 ;31690 ;"       31.69" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;3 ;0 ;2 ;32800 ;"       32.80" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;4 ;0 ;3 ;33610 ;"       33.61" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;1 ;0 ;4 ;34630 ;"       34.63" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
8 ;0 ;0 ;50 ;5 ;0 ;5 ;36020 ;"       36.02" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
8 ;0 ;0 ;100 ;3 ;0 ;1 ;64820 ;"     1:04.82" ;" " ;64780 ;"     1:04.78" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;100 ;2 ;0 ;2 ;65380 ;"     1:05.38" ;" " ;65500 ;"     1:05.50" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;100 ;4 ;0 ;3 ;66020 ;"     1:06.02" ;" " ;66110 ;"     1:06.11" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;100 ;1 ;0 ;4 ;67110 ;"     1:07.11" ;" " ;67220 ;"     1:07.22" ;"A" ;0 ;"" ;"" ;
8 ;0 ;0 ;100 ;5 ;0 ;5 ;70710 ;"     1:10.71" ;" " ;70750 ;"     1:10.75" ;"A" ;0 ;"" ;"" ;
8 ;0 ;1 ;0 ;0 ;0 ;0 ;51888050 ;" 14:24:48.05" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
8 ;0 ;1 ;50 ;4 ;0 ;1 ;32120 ;"       32.12" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
8 ;0 ;1 ;50 ;3 ;0 ;2 ;32270 ;"       32.27" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
8 ;0 ;1 ;50 ;2 ;0 ;3 ;33500 ;"       33.50" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
8 ;0 ;1 ;100 ;3 ;0 ;1 ;63330 ;"     1:03.33" ;" " ;63290 ;"     1:03.29" ;"A" ;0 ;"" ;"" ;
8 ;0 ;1 ;100 ;4 ;0 ;2 ;65080 ;"     1:05.08" ;" " ;65160 ;"     1:05.16" ;"A" ;0 ;"" ;"" ;
8 ;0 ;1 ;100 ;2 ;0 ;3 ;67140 ;"     1:07.14" ;" " ;67540 ;"     1:07.54" ;"A" ;0 ;"" ;"" ;
8 ;0 ;1 ;100 ;5 ;0 ;4 ;69340 ;"     1:09.34" ;" " ;69270 ;"     1:09.27" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;0 ;0 ;0 ;0 ;52014610 ;" 14:26:54.61" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;3 ;0 ;1 ;34650 ;"       34.65" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;4 ;0 ;2 ;36170 ;"       36.17" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;2 ;0 ;3 ;36830 ;"       36.83" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
9 ;0 ;0 ;50 ;5 ;0 ;4 ;40340 ;"       40.34" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
9 ;0 ;0 ;100 ;3 ;0 ;1 ;66060 ;"     1:06.06" ;" " ;66080 ;"     1:06.08" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;100 ;4 ;0 ;2 ;72450 ;"     1:12.45" ;" " ;72640 ;"     1:12.64" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;100 ;2 ;0 ;3 ;73630 ;"     1:13.63" ;"E" ;73630 ;"     1:13.63" ;"A" ;0 ;"" ;"" ;
9 ;0 ;0 ;100 ;5 ;0 ;4 ;77430 ;"     1:17.43" ;" " ;77510 ;"     1:17.51" ;"A" ;0 ;"" ;"" ;
9 ;0 ;1 ;0 ;0 ;0 ;0 ;52162980 ;" 14:29:22.98" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
9 ;0 ;1 ;0 ;1 ;0 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
9 ;0 ;1 ;50 ;3 ;0 ;1 ;34470 ;"       34.47" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
9 ;0 ;1 ;50 ;2 ;0 ;2 ;34950 ;"       34.95" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
9 ;0 ;1 ;50 ;4 ;0 ;3 ;38940 ;"       38.94" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
9 ;0 ;1 ;50 ;5 ;0 ;4 ;39080 ;"       39.08" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
