event; round;heat;lane;relais;idBib;
658 ;0 ;0 ;1 ;0 ;468 ;
658 ;0 ;0 ;2 ;0 ;411 ;
658 ;0 ;0 ;3 ;0 ;426 ;
658 ;0 ;0 ;4 ;0 ;547 ;
658 ;0 ;0 ;5 ;0 ;397 ;
658 ;0 ;0 ;6 ;0 ;423 ;
658 ;0 ;0 ;7 ;0 ;730 ;
658 ;0 ;0 ;8 ;0 ;380 ;
659 ;0 ;0 ;1 ;0 ;345 ;
659 ;0 ;0 ;2 ;0 ;434 ;
659 ;0 ;0 ;3 ;0 ;469 ;
659 ;0 ;0 ;4 ;0 ;396 ;
659 ;0 ;0 ;5 ;0 ;391 ;
659 ;0 ;0 ;6 ;0 ;481 ;
659 ;0 ;0 ;7 ;0 ;578 ;
659 ;0 ;0 ;8 ;0 ;504 ;
660 ;0 ;0 ;1 ;0 ;458 ;
660 ;0 ;0 ;2 ;0 ;503 ;
660 ;0 ;0 ;3 ;0 ;433 ;
660 ;0 ;0 ;4 ;0 ;470 ;
660 ;0 ;0 ;5 ;0 ;395 ;
660 ;0 ;0 ;6 ;0 ;466 ;
660 ;0 ;0 ;7 ;0 ;546 ;
660 ;0 ;0 ;8 ;0 ;488 ;
661 ;0 ;0 ;1 ;0 ;502 ;
661 ;0 ;0 ;2 ;0 ;353 ;
661 ;0 ;0 ;3 ;0 ;387 ;
661 ;0 ;0 ;4 ;0 ;379 ;
661 ;0 ;0 ;5 ;0 ;576 ;
661 ;0 ;0 ;6 ;0 ;375 ;
661 ;0 ;0 ;7 ;0 ;469 ;
661 ;0 ;0 ;8 ;0 ;485 ;
662 ;0 ;0 ;1 ;0 ;468 ;
662 ;0 ;0 ;2 ;0 ;380 ;
662 ;0 ;0 ;3 ;0 ;355 ;
662 ;0 ;0 ;4 ;0 ;397 ;
662 ;0 ;0 ;5 ;0 ;489 ;
662 ;0 ;0 ;6 ;0 ;456 ;
662 ;0 ;0 ;7 ;0 ;346 ;
662 ;0 ;0 ;8 ;0 ;347 ;
663 ;0 ;0 ;1 ;0 ;441 ;
663 ;0 ;0 ;2 ;0 ;481 ;
663 ;0 ;0 ;3 ;0 ;396 ;
663 ;0 ;0 ;4 ;0 ;569 ;
663 ;0 ;0 ;5 ;0 ;424 ;
663 ;0 ;0 ;6 ;0 ;374 ;
663 ;0 ;0 ;7 ;0 ;487 ;
663 ;0 ;0 ;8 ;0 ;474 ;
664 ;0 ;0 ;1 ;0 ;597 ;
664 ;0 ;0 ;2 ;0 ;613 ;
664 ;0 ;0 ;3 ;0 ;662 ;
664 ;0 ;0 ;4 ;0 ;715 ;
664 ;0 ;0 ;5 ;0 ;678 ;
664 ;0 ;0 ;6 ;0 ;654 ;
664 ;0 ;0 ;7 ;0 ;598 ;
665 ;0 ;0 ;1 ;0 ;724 ;
665 ;0 ;0 ;2 ;0 ;690 ;
665 ;0 ;0 ;3 ;0 ;589 ;
665 ;0 ;0 ;4 ;0 ;615 ;
665 ;0 ;0 ;5 ;0 ;630 ;
665 ;0 ;0 ;6 ;0 ;636 ;
665 ;0 ;0 ;7 ;0 ;655 ;
665 ;0 ;1 ;1 ;0 ;665 ;
665 ;0 ;1 ;2 ;0 ;682 ;
665 ;0 ;1 ;3 ;0 ;698 ;
665 ;0 ;1 ;4 ;0 ;601 ;
665 ;0 ;1 ;5 ;0 ;720 ;
665 ;0 ;1 ;6 ;0 ;587 ;
665 ;0 ;1 ;7 ;0 ;671 ;
666 ;0 ;0 ;3 ;0 ;735 ;
666 ;0 ;0 ;4 ;0 ;691 ;
666 ;0 ;0 ;5 ;0 ;668 ;
666 ;0 ;0 ;6 ;0 ;608 ;
666 ;0 ;0 ;7 ;0 ;700 ;
666 ;0 ;1 ;3 ;0 ;649 ;
666 ;0 ;1 ;4 ;0 ;646 ;
666 ;0 ;1 ;5 ;0 ;604 ;
666 ;0 ;1 ;6 ;0 ;653 ;
666 ;0 ;1 ;7 ;0 ;666 ;
666 ;0 ;2 ;1 ;0 ;672 ;
666 ;0 ;2 ;2 ;0 ;626 ;
666 ;0 ;2 ;3 ;0 ;633 ;
666 ;0 ;2 ;4 ;0 ;638 ;
666 ;0 ;2 ;5 ;0 ;714 ;
666 ;0 ;2 ;6 ;0 ;699 ;
666 ;0 ;2 ;7 ;0 ;677 ;
666 ;0 ;2 ;8 ;0 ;612 ;
667 ;0 ;0 ;3 ;0 ;692 ;
667 ;0 ;0 ;4 ;0 ;609 ;
667 ;0 ;0 ;5 ;0 ;659 ;
667 ;0 ;0 ;6 ;0 ;689 ;
667 ;0 ;0 ;7 ;0 ;588 ;
667 ;0 ;1 ;3 ;0 ;629 ;
667 ;0 ;1 ;4 ;0 ;635 ;
667 ;0 ;1 ;5 ;0 ;640 ;
667 ;0 ;1 ;6 ;0 ;643 ;
667 ;0 ;1 ;7 ;0 ;657 ;
667 ;0 ;2 ;1 ;0 ;664 ;
667 ;0 ;2 ;2 ;0 ;681 ;
667 ;0 ;2 ;3 ;0 ;614 ;
667 ;0 ;2 ;4 ;0 ;716 ;
667 ;0 ;2 ;5 ;0 ;697 ;
667 ;0 ;2 ;6 ;0 ;586 ;
667 ;0 ;2 ;7 ;0 ;674 ;
667 ;0 ;2 ;8 ;0 ;605 ;
