id;event;round ;heat
1 ;301 ;0 ;0 ;
2 ;301 ;0 ;0 ;
3 ;301 ;0 ;1 ;
4 ;301 ;0 ;2 ;
5 ;301 ;0 ;3 ;
6 ;301 ;0 ;4 ;
7 ;301 ;0 ;5 ;
8 ;301 ;0 ;6 ;
9 ;301 ;0 ;7 ;
10 ;301 ;0 ;8 ;
11 ;301 ;0 ;9 ;
12 ;301 ;0 ;10 ;
13 ;301 ;0 ;11 ;
14 ;301 ;0 ;12 ;
15 ;307 ;0 ;0 ;
16 ;307 ;0 ;1 ;
17 ;307 ;0 ;2 ;
18 ;307 ;0 ;3 ;
19 ;307 ;0 ;4 ;
20 ;307 ;0 ;5 ;
21 ;307 ;0 ;6 ;
22 ;307 ;0 ;7 ;
23 ;314 ;0 ;0 ;
24 ;314 ;0 ;1 ;
25 ;314 ;0 ;2 ;
26 ;314 ;0 ;3 ;
27 ;314 ;0 ;4 ;
28 ;317 ;0 ;0 ;
29 ;317 ;0 ;1 ;
30 ;320 ;0 ;0 ;
31 ;320 ;0 ;1 ;
32 ;320 ;0 ;2 ;
33 ;320 ;0 ;3 ;
34 ;320 ;0 ;4 ;
35 ;320 ;0 ;5 ;
36 ;323 ;0 ;0 ;
37 ;323 ;0 ;1 ;
38 ;323 ;0 ;2 ;
39 ;323 ;0 ;3 ;
40 ;323 ;0 ;4 ;
41 ;327 ;0 ;0 ;
42 ;327 ;0 ;1 ;
43 ;327 ;0 ;2 ;
44 ;327 ;0 ;3 ;
45 ;327 ;0 ;4 ;
46 ;327 ;0 ;5 ;
47 ;327 ;0 ;6 ;
48 ;327 ;0 ;7 ;
49 ;327 ;0 ;8 ;
50 ;327 ;0 ;9 ;
51 ;327 ;0 ;10 ;
52 ;333 ;0 ;0 ;
53 ;333 ;0 ;1 ;
54 ;333 ;0 ;2 ;
55 ;333 ;0 ;3 ;
56 ;333 ;0 ;4 ;
57 ;333 ;0 ;5 ;
58 ;333 ;0 ;6 ;
59 ;340 ;0 ;0 ;
60 ;340 ;0 ;1 ;
61 ;340 ;0 ;2 ;
62 ;340 ;0 ;3 ;
63 ;340 ;0 ;4 ;
64 ;344 ;0 ;0 ;
65 ;344 ;0 ;1 ;
66 ;344 ;0 ;2 ;
67 ;999 ;0 ;0 ;
68 ;999 ;0 ;0 ;
69 ;999 ;0 ;0 ;
70 ;999 ;0 ;1 ;
71 ;999 ;0 ;1 ;
72 ;401 ;0 ;0 ;
73 ;401 ;0 ;1 ;
74 ;401 ;0 ;2 ;
75 ;404 ;0 ;0 ;
76 ;404 ;0 ;1 ;
77 ;404 ;0 ;2 ;
78 ;408 ;0 ;0 ;
79 ;408 ;0 ;1 ;
80 ;408 ;0 ;2 ;
81 ;408 ;0 ;3 ;
82 ;411 ;0 ;0 ;
83 ;414 ;0 ;0 ;
84 ;414 ;0 ;0 ;
85 ;414 ;0 ;1 ;
86 ;414 ;0 ;2 ;
87 ;414 ;0 ;3 ;
88 ;414 ;0 ;4 ;
89 ;414 ;0 ;5 ;
90 ;414 ;0 ;6 ;
91 ;414 ;0 ;7 ;
92 ;414 ;0 ;8 ;
93 ;414 ;0 ;9 ;
94 ;414 ;0 ;10 ;
95 ;420 ;0 ;0 ;
96 ;420 ;0 ;1 ;
97 ;420 ;0 ;2 ;
98 ;420 ;0 ;3 ;
99 ;420 ;0 ;4 ;
100 ;420 ;0 ;5 ;
101 ;420 ;0 ;6 ;
102 ;420 ;0 ;7 ;
103 ;420 ;0 ;8 ;
104 ;420 ;0 ;9 ;
105 ;420 ;0 ;9 ;
106 ;427 ;0 ;0 ;
107 ;427 ;0 ;1 ;
108 ;427 ;0 ;2 ;
109 ;427 ;0 ;2 ;
110 ;427 ;0 ;3 ;
111 ;427 ;0 ;4 ;
112 ;427 ;0 ;5 ;
113 ;427 ;0 ;6 ;
114 ;427 ;0 ;6 ;
115 ;431 ;0 ;0 ;
116 ;431 ;0 ;1 ;
117 ;431 ;0 ;2 ;
118 ;431 ;0 ;3 ;
119 ;431 ;0 ;3 ;
