event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
301 ;0 ;0 ;0 ;0 ;0 ;0 ;38523580 ;" 10:42:03.58" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;0 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;0 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;25 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;25 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;5 ;0 ;1 ;51160 ;"       51.16" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;1 ;0 ;2 ;53040 ;"       53.04" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;4 ;0 ;3 ;61190 ;"     1:01.19" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;50 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;75 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;75 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;1 ;0 ;1 ;108660 ;"     1:48.66" ;" " ;108750 ;"     1:48.75" ;"A" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;5 ;0 ;2 ;109820 ;"     1:49.82" ;" " ;109950 ;"     1:49.95" ;"A" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;4 ;0 ;3 ;119740 ;"     1:59.74" ;"E" ;119740 ;"     1:59.74" ;"A" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;2 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;0 ;100 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;0 ;0 ;0 ;0 ;38688040 ;" 10:44:48.04" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;0 ;6 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;25 ;6 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;4 ;0 ;1 ;46560 ;"       46.56" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;1 ;0 ;2 ;48710 ;"       48.71" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;2 ;0 ;3 ;50240 ;"       50.24" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;3 ;0 ;4 ;51470 ;"       51.47" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;5 ;0 ;5 ;52390 ;"       52.39" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;50 ;6 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;75 ;6 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;4 ;0 ;1 ;96880 ;"     1:36.88" ;" " ;97040 ;"     1:37.04" ;"A" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;1 ;0 ;2 ;100790 ;"     1:40.79" ;" " ;100910 ;"     1:40.91" ;"A" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;3 ;0 ;3 ;109020 ;"     1:49.02" ;" " ;109080 ;"     1:49.08" ;"A" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;5 ;0 ;4 ;111300 ;"     1:51.30" ;" " ;111360 ;"     1:51.36" ;"A" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;2 ;0 ;5 ;111370 ;"     1:51.37" ;" " ;111480 ;"     1:51.48" ;"A" ;0 ;"" ;"" ;
301 ;0 ;1 ;100 ;6 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;0 ;0 ;0 ;0 ;38853950 ;" 10:47:33.95" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;0 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;0 ;6 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;25 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;25 ;6 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;50 ;2 ;0 ;1 ;44160 ;"       44.16" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;50 ;4 ;0 ;2 ;47970 ;"       47.97" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;50 ;1 ;0 ;3 ;49070 ;"       49.07" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;50 ;5 ;0 ;4 ;52760 ;"       52.76" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;50 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;50 ;6 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;75 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;75 ;6 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;100 ;2 ;0 ;1 ;96410 ;"     1:36.41" ;" " ;96410 ;"     1:36.41" ;"A" ;0 ;"" ;"" ;
301 ;0 ;2 ;100 ;4 ;0 ;2 ;106070 ;"     1:46.07" ;" " ;106170 ;"     1:46.17" ;"A" ;0 ;"" ;"" ;
301 ;0 ;2 ;100 ;5 ;0 ;3 ;109090 ;"     1:49.09" ;" " ;109250 ;"     1:49.25" ;"A" ;0 ;"" ;"" ;
301 ;0 ;2 ;100 ;1 ;0 ;4 ;110810 ;"     1:50.81" ;" " ;110930 ;"     1:50.93" ;"A" ;0 ;"" ;"" ;
301 ;0 ;2 ;100 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;2 ;100 ;6 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;3 ;0 ;0 ;0 ;0 ;39003820 ;" 10:50:03.82" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;3 ;0 ;1 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;3 ;0 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;3 ;25 ;1 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;3 ;25 ;3 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;3 ;50 ;5 ;0 ;1 ;40810 ;"       40.81" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;3 ;50 ;4 ;0 ;2 ;47190 ;"       47.19" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
301 ;0 ;3 ;50 ;6 ;0 ;3 ;49310 ;"       49.31" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
