id;event;round ;heat
1 ;301 ;0 ;0 ;
2 ;301 ;0 ;0 ;
3 ;301 ;0 ;1 ;
4 ;301 ;0 ;2 ;
5 ;301 ;0 ;3 ;
6 ;301 ;0 ;4 ;
7 ;301 ;0 ;5 ;
8 ;301 ;0 ;6 ;
9 ;301 ;0 ;7 ;
10 ;301 ;0 ;8 ;
11 ;301 ;0 ;9 ;
12 ;301 ;0 ;10 ;
13 ;301 ;0 ;11 ;
14 ;301 ;0 ;12 ;
15 ;307 ;0 ;0 ;
16 ;307 ;0 ;1 ;
17 ;307 ;0 ;2 ;
18 ;307 ;0 ;3 ;
19 ;307 ;0 ;4 ;
20 ;307 ;0 ;5 ;
21 ;307 ;0 ;6 ;
22 ;307 ;0 ;7 ;
23 ;314 ;0 ;0 ;
24 ;314 ;0 ;1 ;
25 ;314 ;0 ;2 ;
26 ;314 ;0 ;3 ;
27 ;314 ;0 ;4 ;
28 ;317 ;0 ;0 ;
29 ;317 ;0 ;1 ;
30 ;320 ;0 ;0 ;
31 ;320 ;0 ;1 ;
32 ;320 ;0 ;2 ;
33 ;320 ;0 ;3 ;
34 ;320 ;0 ;4 ;
35 ;320 ;0 ;5 ;
36 ;323 ;0 ;0 ;
37 ;323 ;0 ;1 ;
38 ;323 ;0 ;2 ;
39 ;323 ;0 ;3 ;
40 ;323 ;0 ;4 ;
41 ;327 ;0 ;0 ;
42 ;327 ;0 ;1 ;
43 ;327 ;0 ;2 ;
44 ;327 ;0 ;3 ;
45 ;327 ;0 ;4 ;
46 ;327 ;0 ;5 ;
47 ;327 ;0 ;6 ;
48 ;327 ;0 ;7 ;
49 ;327 ;0 ;8 ;
50 ;327 ;0 ;9 ;
51 ;327 ;0 ;10 ;
52 ;333 ;0 ;0 ;
53 ;333 ;0 ;1 ;
54 ;333 ;0 ;2 ;
55 ;333 ;0 ;3 ;
56 ;333 ;0 ;4 ;
57 ;333 ;0 ;5 ;
58 ;333 ;0 ;6 ;
59 ;340 ;0 ;0 ;
60 ;340 ;0 ;1 ;
61 ;340 ;0 ;2 ;
62 ;340 ;0 ;3 ;
63 ;340 ;0 ;4 ;
64 ;344 ;0 ;0 ;
65 ;344 ;0 ;1 ;
66 ;344 ;0 ;2 ;
