event;round;heat;lap;lane;idStatus;rank;time;result;mod;btime;bresult;bmod;dtime;dresult;dmod
501 ;0 ;0 ;0 ;0 ;0 ;0 ;32381300 ;"  8:59:41.30" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;0 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;25 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;50 ;6 ;0 ;1 ;40600 ;"       40.60" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;50 ;7 ;0 ;2 ;43700 ;"       43.70" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;50 ;3 ;0 ;3 ;44110 ;"       44.11" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;50 ;5 ;0 ;4 ;49270 ;"       49.27" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;50 ;1 ;0 ;5 ;52150 ;"       52.15" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;50 ;2 ;0 ;6 ;92360 ;"     1:32.36" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;50 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;75 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;100 ;6 ;0 ;1 ;86560 ;"     1:26.56" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;100 ;7 ;0 ;2 ;90280 ;"     1:30.28" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;100 ;3 ;0 ;3 ;97750 ;"     1:37.75" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;100 ;5 ;0 ;4 ;108990 ;"     1:48.99" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;100 ;1 ;0 ;5 ;113510 ;"     1:53.51" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;100 ;2 ;0 ;6 ;144440 ;"     2:24.44" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;100 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;125 ;4 ;64 ;0 ;0 ;"" ;"" ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;150 ;6 ;0 ;1 ;133640 ;"     2:13.64" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;150 ;7 ;0 ;2 ;139770 ;"     2:19.77" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;150 ;3 ;0 ;3 ;153310 ;"     2:33.31" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;150 ;1 ;0 ;4 ;177600 ;"     2:57.60" ;" " ;0 ;"" ;"" ;0 ;"" ;"" ;
501 ;0 ;0 ;150 ;2 ;0 ;5 ;191680 ;"     3:11.68" ;" " ;191010 ;"     3:11.01" ;"A" ;0 ;"" ;"" ;
