event; round;heat;lane;relais;idBib;
501 ;0 ;0 ;1 ;0 ;434 ;
501 ;0 ;0 ;2 ;0 ;436 ;
501 ;0 ;0 ;3 ;0 ;9 ;
501 ;0 ;0 ;5 ;0 ;370 ;
501 ;0 ;0 ;6 ;0 ;185 ;
501 ;0 ;0 ;7 ;0 ;166 ;
501 ;0 ;1 ;1 ;0 ;415 ;
501 ;0 ;1 ;2 ;0 ;502 ;
501 ;0 ;1 ;3 ;0 ;224 ;
501 ;0 ;1 ;4 ;0 ;284 ;
501 ;0 ;1 ;5 ;0 ;258 ;
501 ;0 ;1 ;6 ;0 ;451 ;
501 ;0 ;1 ;7 ;0 ;252 ;
501 ;0 ;1 ;8 ;0 ;217 ;
501 ;0 ;2 ;1 ;0 ;191 ;
501 ;0 ;2 ;2 ;0 ;495 ;
501 ;0 ;2 ;3 ;0 ;336 ;
501 ;0 ;2 ;4 ;0 ;167 ;
501 ;0 ;2 ;5 ;0 ;332 ;
501 ;0 ;2 ;6 ;0 ;282 ;
501 ;0 ;2 ;7 ;0 ;529 ;
501 ;0 ;2 ;8 ;0 ;245 ;
501 ;0 ;3 ;1 ;0 ;78 ;
501 ;0 ;3 ;2 ;0 ;80 ;
501 ;0 ;3 ;3 ;0 ;141 ;
501 ;0 ;3 ;4 ;0 ;335 ;
501 ;0 ;3 ;5 ;0 ;265 ;
501 ;0 ;3 ;6 ;0 ;292 ;
501 ;0 ;3 ;7 ;0 ;267 ;
501 ;0 ;3 ;8 ;0 ;105 ;
501 ;0 ;4 ;1 ;0 ;219 ;
501 ;0 ;4 ;2 ;0 ;188 ;
501 ;0 ;4 ;3 ;0 ;444 ;
501 ;0 ;4 ;4 ;0 ;53 ;
501 ;0 ;4 ;5 ;0 ;257 ;
501 ;0 ;4 ;6 ;0 ;516 ;
501 ;0 ;4 ;7 ;0 ;341 ;
501 ;0 ;4 ;8 ;0 ;378 ;
501 ;0 ;5 ;1 ;0 ;28 ;
501 ;0 ;5 ;2 ;0 ;139 ;
501 ;0 ;5 ;3 ;0 ;374 ;
501 ;0 ;5 ;4 ;0 ;187 ;
501 ;0 ;5 ;5 ;0 ;524 ;
501 ;0 ;5 ;6 ;0 ;102 ;
501 ;0 ;5 ;7 ;0 ;461 ;
501 ;0 ;5 ;8 ;0 ;513 ;
501 ;0 ;6 ;1 ;0 ;119 ;
501 ;0 ;6 ;2 ;0 ;151 ;
501 ;0 ;6 ;3 ;0 ;426 ;
501 ;0 ;6 ;4 ;0 ;216 ;
501 ;0 ;6 ;5 ;0 ;210 ;
501 ;0 ;6 ;6 ;0 ;458 ;
